City;Ward;Match ID;New ID;Mahalla Name;Settlement Name;Households;Population;Settlement Age;Condition of access roads;Availability of drains;Electricity coverage;Solid waste collection service;Access to piped water supply;Availability of hygienic toilet;Street lighting;Attendance of children at school;Households with employment;Household income;Social problems;Land tenure security;Housing condition;Risk of eviction;Land Ownership;Type of Occupancy;Total Score
Chandpur;1;130101001;12500101001;Meghna Biri Factory Merkatiz Road Uttor;Suifer Colony;55;275;80;2;1;3;1;1;1;3;2;2;2;2;2;1;2;3;1;29
Chandpur;1;130101002;12500101002;Meghna Biri Factory Merkatiz Road Uttor;Kobud Gazi Bari;50;250;100;1;1;3;1;1;1;3;2;2;2;2;4;1;4;4;4;36
Chandpur;1;130101003;12500101003;Meghna Biri Factory Merkatiz Road Uttor;Taj Bepary Bari Thaka Muslim Meda Bari Porjonto;90;450;100;1;1;3;1;1;1;3;1;2;3;3;4;1;4;4;4;37
Chandpur;1;130101004;12500101004;Meghna Biri Factory Merkatiz Road Uttor;Sadek Soyal Bari;60;300;80;1;1;3;1;1;1;3;2;2;2;2;4;1;4;4;4;36
Chandpur;1;130101005;12500101005;Meghna Biri Factory Merkatiz Road Uttor;Billal Khan Bari;80;400;90;2;1;3;1;2;1;3;2;2;2;2;4;1;4;4;4;38
Chandpur;1;130101006;12500101006;Meghna Biri Factory Merkatiz Road Uttor;Rofik Ar Bari Thaka Nur Ar Bari Pojonto;40;200;80;1;1;3;1;1;1;3;2;2;2;2;4;1;4;4;4;36
Chandpur;1;130101007;12500101007;Meghna Biri Factory Merkatiz Road Uttor;Mofej Bepary Bari Thaka Badol Khan Bari Pojonto;45;225;70;3;1;4;1;2;2;4;3;3;3;2;4;3;4;4;4;47
Chandpur;1;130101008;12500101008;Meghna Biri Factory Merkatiz Road Uttor;Nobopolli;70;300;70;2;1;3;1;2;1;3;3;2;3;3;4;1;4;4;4;41
Chandpur;1;130102001;12500102001;Moddoh Shriramdi- 03 Merkatiz Road Uttor;Sobenar Bari Thaka Samdod Bepari Bari;50;250;100;1;1;3;1;1;1;3;2;2;3;3;4;1;4;4;4;38
Chandpur;1;130102002;12500102002;Moddoh Shriramdi- 03 Merkatiz Road Uttor;Roshid Member Bari;170;850;95;2;1;3;1;1;1;3;2;2;2;3;4;1;4;4;4;38
Chandpur;1;130102003;12500102003;Moddoh Shriramdi- 03 Merkatiz Road Uttor;Anoyar Soyel Bari Thaka Islam Pato Bari Pojonto;45;225;10;2;1;3;1;1;1;3;2;2;2;3;4;1;4;4;4;38
Chandpur;1;130102004;12500102004;Moddoh Shriramdi- 03 Merkatiz Road Uttor;Sohed Loskor Thaka Tawar Pojonto;80;400;70;1;1;3;1;1;1;3;2;2;2;3;4;1;4;4;4;37
Chandpur;1;130102005;12500102005;Moddoh Shriramdi- 03 Merkatiz Road Uttor;Club Ar Pichona Momen Bepari Bari;50;250;65;2;1;3;1;1;2;3;3;2;2;3;4;2;4;4;4;41
Chandpur;1;130102006;12500102006;Moddoh Shriramdi- 03 Merkatiz Road Uttor;Dewan Abul Khayer Bari;160;800;100;2;1;3;1;2;2;3;3;2;3;3;4;1;4;4;4;42
Chandpur;1;130102007;12500102007;Moddoh Shriramdi- 03 Merkatiz Road Uttor;Roshid Pato Bari;100;500;110;1;1;3;1;1;1;3;3;2;3;3;4;1;4;4;4;39
Chandpur;1;130102008;12500102008;Moddoh Shriramdi- 03 Merkatiz Road Uttor;Sona Miya o Mobarok Bari Thaka Somed Khan Bari Pojonto;210;1050;100;1;1;2;1;1;1;3;3;2;2;2;4;1;4;4;4;36
Chandpur;1;130102009;12500102009;Moddoh Shriramdi- 03 Merkatiz Road Uttor;Monir Kaji Bari Thaka Nel Bari Pojonto;45;225;100;1;1;3;1;1;1;3;2;3;2;2;4;1;4;4;4;37
Chandpur;1;130103001;12500103001;Refuge Colony And Bakali Potti;Mach Bazar Kasu Gazi Bari Thaka Dat Chekitsa Loy Pojonto;165;825;100;1;1;3;1;2;1;3;2;3;2;3;2;1;4;4;4;37
