City;Ward;Match ID;New ID;Mahalla Name;Settlement Name;Households;Population;Settlement Age;Condition of access roads;Availability of drains;Electricity coverage;Solid waste collection service;Access to piped water supply;Availability of hygienic toilet;Street lighting;Attendance of children at school;Households with employment;Household income;Social problems;Land tenure security;Housing condition;Risk of eviction;Land Ownership;Type of Occupancy;Total Score
Chittagong;1;150101001;10100101001;Aman bazar & lalia hat;Nanu Rajar Bari;70;322;120;1;3;4;2;1;3;1;4;1;2;2;4;4;4;4;4;44
Chittagong;1;150101002;10100101002;Aman bazar & lalia hat;Toibeya Para;385;1771;150;2;3;4;2;1;3;4;3;4;4;4;4;4;4;4;4;54
Chittagong;1;150101003;10100101003;Aman bazar & lalia hat;Najim Colony;180;828;12;1;1;4;2;1;3;1;2;4;4;3;4;3;1;1;3;38
Chittagong;1;150101004;10100101004;Aman bazar & lalia hat;Dr. Yasin Ar Bari;180;828;120;2;4;3;2;1;4;3;3;4;4;3;4;4;4;4;4;53
Chittagong;1;150101005;10100101005;Aman bazar & lalia hat;Shil Para;800;3680;120;4;4;4;2;1;3;4;4;4;4;4;4;4;4;4;4;58
Chittagong;1;150101006;10100101006;Aman bazar & lalia hat;Akbor Sarak Bari;80;368;120;4;3;4;2;1;4;4;4;4;4;4;4;4;4;4;4;58
Chittagong;1;150101007;10100101007;Aman bazar & lalia hat;Shinty Colony;450;2070;15;2;1;4;2;1;2;3;3;4;4;2;4;2;1;1;2;38
Chittagong;1;150101008;10100101008;Aman bazar & lalia hat;Dr. Hamid Ar Bari;310;1426;150;2;4;4;4;1;3;4;4;4;4;4;4;4;4;4;4;58
Chittagong;1;150102001;10100102001;Hatath colony & chikon chara;Hothat Colony;200;920;5;1;1;2;1;1;2;1;2;2;1;1;1;1;1;1;1;20
Chittagong;1;150102002;10100102002;Hatath colony & chikon chara;Sah Amam Aklome;900;4140;25;1;1;4;1;4;2;1;4;2;1;1;3;3;1;1;1;31
Chittagong;1;150102003;10100102003;Hatath colony & chikon chara;Cha- Bagan;70;322;30;1;1;1;4;1;1;1;1;1;1;1;3;1;2;1;1;22
Chittagong;1;150102004;10100102004;Hatath colony & chikon chara;Bethuya;65;299;60;1;1;1;2;1;1;1;1;1;1;1;1;2;1;1;1;18
Chittagong;1;150102005;10100102005;Hatath colony & chikon chara;Hamja Colony;75;345;10;1;2;4;4;2;1;1;3;3;1;1;2;1;2;1;1;30
Chittagong;1;150102006;10100102006;Hatath colony & chikon chara;Cekom Chora (Marma Para);15;69;40;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;16
Chittagong;1;150102007;10100102007;Hatath colony & chikon chara;Bera Colony;60;276;10;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;18
Chittagong;1;150102008;10100102008;Hatath colony & chikon chara;3 No. Bahar;300;1380;35;2;1;4;2;2;4;1;3;2;2;1;2;2;2;2;2;34
Chittagong;1;150103001;10100103001;Fatehabadh college road;Boroi Tola 3 No. Bahar;95;437;45;1;1;3;1;1;2;1;3;1;2;1;2;3;3;3;3;31
Chittagong;1;150103002;10100103002;Fatehabadh college road;Sekandar Colony;160;736;25;1;1;3;1;1;2;1;2;2;2;1;2;2;2;2;3;28
Chittagong;1;150103003;10100103003;Fatehabadh college road;Thanda Chore;195;897;17;1;1;3;1;1;2;1;2;2;1;1;1;2;1;2;1;23
Chittagong;1;150103004;10100103004;Fatehabadh college road;Khella Para;170;782;35;1;1;3;1;1;3;1;1;3;4;1;3;3;3;3;3;35
Chittagong;1;150103005;10100103005;Fatehabadh college road;"Foteya Bad Nath Para 
( Kaminy Mahajon O Chowdory Bari)";205;943;100;3;2;3;1;1;3;1;3;4;4;1;4;4;4;4;4;46
Chittagong;1;150103006;10100103006;Fatehabadh college road;Foteya Bad Durga Bari;185;851;100;1;1;3;1;1;2;1;3;4;4;1;4;4;4;4;4;42
Chittagong;1;150103007;10100103007;Fatehabadh college road;Vusa Gajir Bari;220;1012;100;3;3;3;1;1;2;1;3;4;4;1;4;4;4;4;4;46
Chittagong;1;150104001;10100104001;Saeed kashem road, Sandip colony;Sumon Colony + Adorsho Para;125;575;8;1;1;1;1;1;1;1;2;2;2;1;2;2;2;3;3;26
