City;Ward;Match ID;New ID;Mahalla Name;Settlement Name;Households;Population;Settlement Age;Condition of access roads;Availability of drains;Electricity coverage;Solid waste collection service;Access to piped water supply;Availability of hygienic toilet;Street lighting;Attendance of children at school;Households with employment;Household income;Social problems;Land tenure security;Housing condition;Risk of eviction;Land Ownership;Type of Occupancy;Total Score
Cox`s Bazar;1;1500101001;;Najira Tek (Shutki Mahal, Basinna Para, Mostakpara);Basinna Para;100;560;20;1;1;3;1;1;1;1;2;2;2;2;2;1;1;4;2;27
Cox`s Bazar;1;1500101002;;Najira Tek (Shutki Mahal, Basinna Para, Mostakpara);Basina Para Muhammadiya Masjeed Elaka;250;1200;21;1;1;1;1;1;1;2;1;3;3;3;1;1;2;4;4;30
Cox`s Bazar;1;1500101003;;Najira Tek (Shutki Mahal, Basinna Para, Mostakpara);Muhammadiya Masjeed Ar Uttor Pashe;150;675;21;1;1;1;1;1;1;3;3;4;4;3;1;1;3;4;4;36
Cox`s Bazar;1;1500101004;;Najira Tek (Shutki Mahal, Basinna Para, Mostakpara);Bosinna Para Masjeed Ar Pashe;150;675;21;1;1;1;1;1;1;2;1;4;3;3;1;1;1;4;4;30
Cox`s Bazar;1;1500101005;;Najira Tek (Shutki Mahal, Basinna Para, Mostakpara);Muhammadiya Masjeed Ar Parshoborto;200;550;21;1;1;3;1;1;1;1;2;2;2;2;2;1;1;4;1;26
Cox`s Bazar;1;1500101006;;Najira Tek (Shutki Mahal, Basinna Para, Mostakpara);Kosina Para Muhammadiya Masjeed Pschim Pashe;150;676;21;1;1;3;1;1;1;1;1;4;4;3;1;1;3;4;4;34
Cox`s Bazar;1;1500101007;;Najira Tek (Shutki Mahal, Basinna Para, Mostakpara);Mosta Para 1no. Goli;50;225;20;1;1;4;1;1;1;1;3;3;4;2;1;1;1;2;1;28
Cox`s Bazar;1;1500101008;;Najira Tek (Shutki Mahal, Basinna Para, Mostakpara);Mostofa Para;300;1350;21;1;1;3;1;1;1;1;2;2;2;2;2;1;1;4;2;27
Cox`s Bazar;1;1500102001;;Moddhom Kutubdia Para (North and South);Counsilor Ar Barir Uttar Pashe;500;2000;33;2;2;4;1;1;3;1;4;4;3;2;2;2;1;1;2;35
Cox`s Bazar;1;1500102002;;Moddhom Kutubdia Para (North and South);Counsilor Ar Barir Purbo Pashe;150;600;33;2;2;4;1;1;3;1;4;4;3;2;2;2;1;2;1;35
Cox`s Bazar;1;1500102003;;Moddhom Kutubdia Para (North and South);Primary School Ar Pashe;150;500;35;2;3;4;2;1;3;1;4;2;3;2;2;2;1;4;2;38
Cox`s Bazar;1;1500102004;;Moddhom Kutubdia Para (North and South);Primary School Ar Dokhin Deka;80;360;33;2;3;4;4;3;2;1;1;2;3;2;2;2;1;4;2;38
Cox`s Bazar;1;1500102005;;Moddhom Kutubdia Para (North and South);Primary school sonjukto para;70;280;33;2;3;4;4;3;2;1;1;2;3;2;2;2;1;4;2;38
Cox`s Bazar;1;1500102006;;Moddhom Kutubdia Para (North and South);Primary School Ar Uttor Pashe Mahtul Masjeed Ar Pashe;80;310;33;2;3;4;2;1;3;1;4;2;3;2;2;2;1;4;2;38
Cox`s Bazar;1;1500102007;;Moddhom Kutubdia Para (North and South);Madrasha Sonlogno;50;205;33;2;2;4;1;1;3;1;4;4;3;2;2;2;1;2;1;35
Cox`s Bazar;1;1500102008;;Moddhom Kutubdia Para (North and South);Madrashar Uttar Pashe;80;320;33;1;1;3;1;1;1;1;1;4;4;3;1;1;3;4;4;34
Cox`s Bazar;1;1500102009;;Moddhom Kutubdia Para (North and South);Modho Kutubadiya Uttar Para;100;400;33;2;2;4;2;2;3;1;4;4;3;3;2;1;3;4;4;44
Cox`s Bazar;1;1500102010;;Moddhom Kutubdia Para (North and South);Baitul Mokarom Masjeeder Pashe;300;1350;30;2;2;4;1;1;3;1;4;2;3;2;2;2;1;4;2;36
Cox`s Bazar;1;1500103001;;Dakkhin Kutubdia Para;Dokhin Kutub Biya Para-1;100;450;40;1;1;4;1;1;1;1;3;4;3;2;1;1;1;2;1;28
Cox`s Bazar;1;1500103002;;Dakkhin Kutubdia Para;Dokhin Kutub Biya Para-2;100;450;40;1;1;4;1;1;1;1;3;4;3;2;1;1;1;2;1;28
Cox`s Bazar;1;1500103003;;Dakkhin Kutubdia Para;Dokhin Kutub Biya Para-3;80;370;40;1;1;4;1;1;1;1;3;4;3;2;1;1;1;2;1;28
Cox`s Bazar;1;1500103004;;Dakkhin Kutubdia Para;Dokhin Kutub Biya Para-4;50;225;40;1;1;4;1;1;1;1;3;4;3;2;1;1;1;2;1;28
Cox`s Bazar;1;1500103005;;Dakkhin Kutubdia Para;Dokhin Kutub Biya Para-5;50;225;40;1;1;4;1;1;1;1;3;4;3;2;1;1;1;2;1;28
Cox`s Bazar;1;1500103006;;Dakkhin Kutubdia Para;Dokhin Kutub Biya Para-6;50;220;40;1;1;4;1;1;1;1;3;4;3;2;1;1;1;2;1;28
Cox`s Bazar;1;1500103007;;Dakkhin Kutubdia Para;Dokhin Kutub Biya Para-7;100;400;40;1;1;4;1;1;1;1;3;4;3;2;1;1;1;2;1;28
Cox`s Bazar;1;1500103008;;Dakkhin Kutubdia Para;Dokhin Kutub Biya Para-8;100;450;40;1;1;4;1;1;1;1;3;4;3;2;1;1;1;2;1;28
Cox`s Bazar;1;1500103009;;Dakkhin Kutubdia Para;Dokhin Kutub Biya Para-9;300;1400;40;1;1;4;1;1;1;1;3;4;3;2;1;1;1;2;1;28
Cox`s Bazar;1;1500103010;;Dakkhin Kutubdia Para;Dokhin Kutub Biya Para-10;300;1500;40;1;1;4;1;1;1;1;3;4;3;2;1;1;1;2;1;28
Cox`s Bazar;1;1500103011;;Dakkhin Kutubdia Para;Dokhin Kutub Biya Para-11;150;675;40;2;1;4;1;1;1;1;3;4;3;3;1;1;1;2;1;30
Cox`s Bazar;1;1500103012;;Dakkhin Kutubdia Para;Dokhin Kutub Biya Para-12;250;850;40;1;1;4;1;1;1;1;3;4;3;2;1;1;1;2;1;28
Cox`s Bazar;1;1500103013;;Dakkhin Kutubdia Para;Dokhin Kutub Biya Para-13;150;700;40;1;1;4;1;1;1;1;3;4;3;2;1;1;1;2;1;28
Cox`s Bazar;1;1500103014;;Dakkhin Kutubdia Para;Dokhin Kutub Biya Para-14;50;225;40;1;1;4;1;1;1;1;3;4;3;2;1;1;1;2;1;28
