City;Ward;Match_ID;New ID;Mahalla Name;Settlement Name;Households;Population;Settlement Age;Condition of access roads;Availability of drains;Electricity coverage;Solid waste collection service;Access to piped water supply;Availability of hygienic toilet;Street lighting;Attendance of children at school;Households with employment;Household income;Social problems;Land tenure security;Housing condition;Risk of eviction;Land Ownership;Type of Occupancy;Total Score
Cumilla;1;10101001;11400101001;Munsef Quarter;Nawab Ali;15;75;45;3;3;4;1;1;3;4;2;4;3;2;4;1;4;4;4;47
Cumilla;1;10101002;11400101002;Munsef Quarter;Siraja Poddar;5;20;40;2;3;4;3;1;1;4;4;3;4;4;4;1;4;4;4;50
Cumilla;1;10101003;11400101003;Munsef Quarter;Ali Hossain;5;20;7;2;3;4;4;4;4;1;4;3;3;4;4;3;4;3;3;53
Cumilla;1;10101004;11400101004;Munsef Quarter;Koshai Potti;20;80;50;4;4;4;3;3;4;3;4;4;4;3;4;3;4;4;4;59
Cumilla;1;10101005;11400101005;Munsef Quarter;Bashani Colony;12;60;30;2;4;4;3;3;4;4;4;3;3;4;3;3;4;3;3;54
Cumilla;1;10102001;11400102001;Bishnupur Dokkhin;Masjeed Ul Falak Ar Purbo Diker Boshoty;20;100;20;2;2;4;1;3;4;2;4;3;4;4;4;2;4;4;4;51
Cumilla;1;10103001;11400103001;Moulovipara-Vatpara Choumuhuni;Vatpara Chowmuhni;5;25;20;2;4;4;2;4;4;2;4;4;4;4;4;2;4;4;4;56
Cumilla;1;10104001;11400104001;Vatpara Purbopara- Masterbari;Master Bari;40;300;200;2;3;4;1;1;2;1;3;3;2;3;1;3;1;3;3;36
Cumilla;1;10104002;11400104002;Vatpara Purbopara- Masterbari;Shafrashi Bari;70;500;200;2;1;4;1;2;2;2;4;3;2;2;3;4;3;4;4;43
Cumilla;1;10104003;11400104003;Vatpara Purbopara- Masterbari;Masjeed Goli;40;200;15;1;1;4;1;1;1;1;3;3;1;2;1;1;1;2;1;25
Cumilla;1;10104004;11400104004;Vatpara Purbopara- Masterbari;Vander Bari;50;320;15;2;1;4;1;1;2;4;4;3;2;3;3;4;2;4;4;44
Cumilla;1;10105001;11400105001;Vatpara Poschimpara;Galika Bari;18;120;300;3;1;4;3;3;2;3;4;3;1;2;4;2;4;4;4;47
Cumilla;1;10105002;11400105002;Vatpara Poschimpara;Vatpara Poschimpara Koboresthan Road;15;90;25;3;1;4;1;1;3;3;4;3;2;3;1;1;1;2;2;35
Cumilla;1;10105003;11400105003;Vatpara Poschimpara;Vatpara Poschimpara Notun Masjeed;20;120;40;2;1;4;1;1;2;3;4;3;2;3;3;3;3;4;4;43
