City;Ward;Match ID;New ID;Mahalla Name;Settlement Name;Households;Population;Settlement Age;Condition of access roads;Availability of drains;Electricity coverage;Solid waste collection service;Access to piped water supply;Availability of hygienic toilet;Street lighting;Attendance of children at school;Households with employment;Household income;Social problems;Land tenure security;Housing condition;Risk of eviction;Land Ownership;Type of Occupancy;Total Score
DNCC;3;1210301007;11210301007;Section-10,Block-C;Av-7, Road-1,11 Football camp-2;30;135;47;2;3;3;2;2;3;1;3;2;3;2;2;2;2;2;2;36
DNCC;3;1210301001;11210301001;Section-10,Block-C;10 No Road, 17 No Laner Camp;70;315;30;2;1;4;1;2;2;1;2;3;3;2;1;1;1;2;1;29
DNCC;3;1210301002;11210301002;Section-10,Block-C;Section-11,Block-C,Road -10,Lane-16 Camp;15;68;40;2;1;4;1;2;1;1;2;3;3;2;1;1;1;2;1;28
DNCC;3;1210301003;11210301003;Section-10,Block-C;Road-10,13 O 16 No Bosti;25;113;30;2;2;4;2;3;2;1;2;2;2;2;2;2;3;3;2;36
DNCC;3;1210301004;11210301004;Section-10,Block-C;Road -10, Post Office Camp;70;315;30;2;2;3;3;3;2;1;3;3;2;2;2;2;3;3;2;38
DNCC;3;1210301005;11210301005;Section-10,Block-C;City Coorporation Market Camp;25;113;30;1;2;2;2;3;3;2;2;2;2;2;3;2;1;2;2;33
DNCC;3;1210301006;11210301006;Section-10,Block-C;Football Camp-1;200;900;47;2;3;3;2;3;4;1;3;3;3;2;4;3;1;2;2;41
DNCC;3;1210301008;11210301008;Section-10,Block-C;Taltola Camp;80;360;47;2;3;4;2;2;2;2;3;3;4;3;2;1;2;2;1;38
DNCC;3;1210301009;11210301009;Section-10,Block-C;M.C.C Camp,Road-11;200;900;25;1;3;4;1;2;1;1;3;3;4;3;2;1;1;2;1;33
DNCC;3;1210305001;11210305001;Block-D,Section-10;Paka Drain r Purbo Pasar Bosti;80;360;40;1;3;4;1;2;1;1;3;3;4;3;1;1;2;2;1;33
DNCC;3;1210305002;11210305002;Block-D,Section-11;Anabik Shokti Bosti;70;315;35;3;3;4;2;2;2;2;3;2;4;3;2;1;2;2;1;38
DNCC;3;1210305003;11210305003;Block-D,Section-12;Milk Vite Bosti;175;749;36;3;3;4;2;2;2;2;3;3;4;3;2;1;2;2;1;39
DNCC;3;1210305004;11210305004;Block-D,Section-13;Wobda Building Camp;150;676;47;3;3;4;2;2;2;2;3;2;4;2;2;1;2;2;1;37
DNCC;3;1210305005;11210305005;Block-D,Section-14;Modhu Poti Bosati;90;406;30;3;3;4;2;2;2;2;3;3;4;3;2;1;2;2;1;39
DNCC;3;1210305006;11210305006;Block-D,Section-15;NimToli Bosti;30;125;20;3;3;4;2;2;2;2;3;3;4;3;2;1;2;2;1;39
DNCC;3;1210306001;11210306001;11-C,Av-5,Lane-17;Mathor Poti Camp;70;315;40;2;1;4;1;2;1;1;3;2;3;2;1;1;1;2;1;28
DNCC;3;1210306002;11210306002;11-C,Av-5,Lane-19,20;Bishmilla Camp;17;77;25;2;1;4;1;2;2;1;2;3;3;2;1;1;1;2;1;29
DNCC;3;1210306003;11210306003;11-C,Av-5,Lane-18;Jinnar Bosti;100;450;20;2;1;4;1;2;1;1;2;3;3;2;1;1;1;2;1;28
DNCC;3;1210306004;11210306004;11-C,Av-5,Lane-19;Masud R Bosti;200;900;20;1;2;2;2;3;3;2;2;2;2;2;3;2;1;2;2;33
DNCC;3;1210306005;11210306005;11-C,Av-5,Lane-20;Baitul Azam Mosjidr Pichonar Bosti;120;540;15;2;3;3;2;3;4;1;3;3;3;2;4;3;1;2;2;41
DNCC;6;1210601001;11210601001;Mirpur Cantorment;West Alobdi;450;2250;25;3;4;4;2;1;2;2;3;4;4;4;2;2;3;1;2;43
DNCC;6;1210603001;11210603001;Pallabi O bordhito Pallabi;Dilu Mollar Bosoti;500;2500;15;2;3;4;2;2;2;1;2;3;3;2;2;1;1;2;2;34
DNCC;6;1210603002;11210603002;Pallabi O bordhito Pallabi;Elilis Mollar Bosoti (1);426;2132;22;2;2;4;2;4;2;1;3;3;4;3;2;1;1;2;1;37
DNCC;6;1210603003;11210603003;Pallabi O bordhito Pallabi;Elilis Mollar Bosoti (2);500;2050;20;2;2;4;2;4;2;1;3;3;4;3;2;1;1;2;1;37
DNCC;6;1210603004;11210603004;Pallabi O bordhito Pallabi;Elilis Mollar Bosoti (3);447;2236;20;2;2;4;2;4;2;1;3;3;4;3;2;1;1;2;1;37
DNCC;6;1210603005;11210603005;Pallabi O bordhito Pallabi;Elilis Mollar Bosoti;627;3135;20;2;2;4;2;4;2;1;3;3;4;3;2;1;1;2;1;37
DNCC;6;1210603006;11210603006;Pallabi O bordhito Pallabi;Kobir Mollar Bosoti;600;3000;25;2;1;4;2;2;1;1;2;3;3;3;1;1;1;2;3;32
DNCC;6;1210603007;11210603007;Pallabi O bordhito Pallabi;Ali Mollar Bosoti;509;2548;20;2;2;4;2;4;2;1;3;3;4;3;2;1;1;2;1;37
DNCC;6;1210603008;11210603008;Pallabi O bordhito Pallabi;Satar Mollar Bosoti(1);498;2475;32;2;2;4;1;2;1;1;3;2;2;3;2;1;2;2;1;31
DNCC;6;1210603009;11210603009;Pallabi O bordhito Pallabi;Satar Mollar Bosoti(2);550;3000;32;2;2;4;1;2;1;1;3;2;2;3;2;1;2;2;1;31
