City;Ward;Match ID;New ID;Mahalla Name;Settlement Name;Households;Population;Settlement Age;Condition of access roads;Availability of drains;Electricity coverage;Solid waste collection service;Access to piped water supply;Availability of hygienic toilet;Street lighting;Attendance of children at school;Households with employment;Household income;Social problems;Land tenure security;Housing condition;Risk of eviction;Land Ownership;Type of Occupancy;Total Score
Dhaka South City Corporation;1;1230101001;;South Society;Bosti behind Shah Tilma Masjid;31;100;20;4;4;4;4;4;3;4;3;2;2;4;2;2;2;1;1;46
Dhaka South City Corporation;1;1230103001;;Tilpapara;Tarabag Society;16;80;20;1;1;4;3;4;2;1;2;1;1;1;2;2;2;1;3;31
Dhaka South City Corporation;1;1230104001;;Bottola;Tutul er Bosti ( North);700;2800;70;1;1;4;3;4;2;1;2;2;2;4;2;2;2;1;2;35
Dhaka South City Corporation;1;1230104002;;Bottola;Tajur Bosti;60;250;4;1;1;4;4;4;2;1;2;1;1;2;1;1;1;2;1;29
Dhaka South City Corporation;1;1230104003;;Bottola;Tutul er Bosti ( South);150;600;60;2;1;4;4;4;2;1;3;2;2;4;2;2;2;1;2;38
Dhaka South City Corporation;1;1230104004;;Bottola;Baitul Huda Adjacent ;300;1000;50;1;1;4;4;4;2;1;2;1;1;2;2;2;2;1;2;32
Dhaka South City Corporation;2;1230201001;;Paschim Goran;Chartola Goli Bosti;15;60;25;4;4;4;4;4;3;4;4;4;4;3;4;3;4;1;3;57
Dhaka South City Corporation;2;1230201002;;Paschim Goran;Tempu Stand Bosti ( Goran);11;33;25;4;4;4;4;4;4;4;4;3;3;4;4;3;4;1;3;57
Dhaka South City Corporation;2;1230201003;;Paschim Goran;Nababi Mor Bosti;10;35;20;4;4;4;4;4;4;4;3;3;4;3;4;4;4;1;3;57
Dhaka South City Corporation;2;1230201004;;Paschim Goran;Siddik Bazar Bosti;10;40;20;4;4;4;4;4;4;4;4;4;1;3;4;1;2;1;3;51
Dhaka South City Corporation;2;1230201005;;Paschim Goran;Santipur 5 No. Road Bosti;45;135;27;4;3;4;3;4;3;4;3;3;3;3;4;3;4;1;3;52
Dhaka South City Corporation;2;1230201006;;Dakkhin Goran;Vate Mora Goli Bosti;22;88;15;4;4;4;4;4;4;4;1;4;1;3;4;1;2;1;3;48
Dhaka South City Corporation;2;1230202001;;Dakkhin Goran;Chapra Masjid Road Bosti;47;188;30;4;4;4;4;4;4;4;4;4;1;3;4;1;2;1;3;51
Dhaka South City Corporation;2;1230202002;;Dakkhin Goran;31 No Road Bosti;15;70;30;1;2;4;4;3;4;4;1;1;1;3;4;1;4;1;3;41
Dhaka South City Corporation;2;1230202003;;Dakkhin Goran;# 0 No Road Bosti;13;52;23;4;4;4;4;4;4;4;1;2;1;4;4;4;2;2;3;51
Dhaka South City Corporation;2;1230202004;;Dakkhin Goran;Kaba Chaya Goli Bosti;40;160;35;4;4;3;3;2;1;4;4;3;1;3;4;1;2;1;3;43
Dhaka South City Corporation;2;1230202005;;Dakkhin Goran;Shantipur 7 No Road Bosti;21;84;15;4;4;4;4;4;4;4;4;4;1;3;4;1;2;1;3;51
Dhaka South City Corporation;2;1230202006;;Dakkhin Goran;Hawai Goli Bosti;25;100;8;4;4;4;4;4;4;4;4;4;1;3;4;1;2;1;3;51
Dhaka South City Corporation;2;1230202007;;Dakkhin Goran;Kibriya Goli Road Bosti;32;128;20;4;3;4;4;4;4;4;4;4;1;3;4;1;2;1;3;50
Dhaka South City Corporation;2;1230202008;;Dakkhin Goran;6 No road bosti;14;56;15;4;4;4;4;4;4;4;4;4;1;3;4;1;2;1;3;51
Dhaka South City Corporation;2;1230202009;;Dakkhin Goran;Kabachaya Goli Bosti;25;100;30;4;4;3;3;2;1;4;4;3;1;3;4;1;2;1;3;43
Dhaka South City Corporation;2;1230203001;;Uttor Purbo Goran;Hawai Goli Karim Masjid Bosti;75;300;20;4;4;4;4;4;4;1;4;4;1;3;4;1;2;1;3;48
Dhaka South City Corporation;2;1230203002;;Uttor Purbo Goran;Haji Masjid Bosti;25;100;10;2;1;4;4;4;3;1;2;4;1;3;1;1;2;1;3;37
Dhaka South City Corporation;2;1230203003;;Uttor Purbo Goran;Madina Masjid;16;64;25;4;2;4;4;4;2;4;4;4;1;3;4;1;2;1;3;47
Dhaka South City Corporation;2;1230203004;;Uttor Purbo Goran;9 No Road Bosti;13;52;10;4;2;4;4;4;2;4;4;4;1;3;1;1;2;1;3;44
Dhaka South City Corporation;2;1230203005;;Uttor Purbo Goran;Icecream Goli Bosti;17;68;15;4;4;4;4;4;4;4;4;4;1;3;4;1;2;1;3;51
Dhaka South City Corporation;2;1230204001;;Dakkhin Banasree;Nobinbag Bosti;250;1000;30;4;3;4;3;4;3;4;3;3;4;3;4;3;4;1;3;53
Dhaka South City Corporation;2;1230204002;;Dakkhin Banasree;Nobinbag Road Bosti;200;800;30;4;3;4;3;4;3;4;3;3;4;3;4;3;4;1;3;53
Dhaka South City Corporation;3;1230301001;;Aftab Nagar;Kabiraj Bari;50;300;8;3;1;4;1;4;4;2;4;3;3;3;4;3;4;4;4;51
Dhaka South City Corporation;3;1230301002;;Aftab Nagar;Angarjora;150;800;10;4;1;4;3;4;4;4;4;4;3;4;4;2;3;4;4;56
Dhaka South City Corporation;3;1230303001;;Ansarbag & Nayapara;Sohag Company Bosti 1;50;302;21;4;4;4;4;4;4;4;3;2;1;4;1;1;1;1;2;44
Dhaka South City Corporation;3;1230303002;;Ansarbag & Nayapara;Sohag Company Bosti 2;34;204;21;4;4;4;3;4;4;4;3;2;1;4;1;1;1;1;2;43
Dhaka South City Corporation;3;1230304001;;Vuiyapara;Vuiyapara Bosti 1;150;600;24;4;4;4;3;4;4;4;4;3;1;3;4;1;4;1;3;51
Dhaka South City Corporation;3;1230304002;;Vuiyapara;Nobinbag Area;320;1280;25;4;4;4;4;4;4;4;3;2;1;2;3;1;4;1;3;48
Dhaka South City Corporation;3;1230304003;;Vuiyapara;Primary School Adjacent Bosti;40;200;30;4;4;4;3;4;4;4;2;4;2;4;1;1;1;1;2;45
Dhaka South City Corporation;4;1230401001;;Uttor, Uttor Purbo, Moddho Bashabo;1/23/B-2, Purbo Basabo;21;105;5;2;4;4;4;4;4;1;4;4;2;4;4;2;4;1;3;51
Dhaka South City Corporation;4;1230401002;;Uttor, Uttor Purbo, Moddho Bashabo;1/25/6 Moddho Basabo;25;100;30;2;1;4;1;3;3;1;2;1;1;4;4;4;4;4;3;42
Dhaka South City Corporation;4;1230401003;;Uttor, Uttor Purbo, Moddho Bashabo;Moddho Basabo ;28;112;10;4;4;4;4;4;3;3;3;4;3;3;4;1;4;4;3;55
Dhaka South City Corporation;4;1230401004;;Uttor, Uttor Purbo, Moddho Bashabo;8/1, Uttor Basabo;18;72;16;4;4;4;4;4;4;4;4;4;4;3;4;1;2;1;3;54
Dhaka South City Corporation;4;1230401005;;Uttor, Uttor Purbo, Moddho Bashabo;Moonlight;13;52;19;4;4;4;4;4;4;4;4;4;2;3;4;1;2;1;3;52
Dhaka South City Corporation;4;1230403001;;Purbo Basabo,Cayabithi,Mathertec;Madartek Sarkarpara Bosti;13;52;10;4;4;4;4;4;4;4;4;4;2;3;4;1;2;1;3;52
Dhaka South City Corporation;4;1230403002;;Purbo Basabo,Cayabithi,Mathertec;Pathan Bari;15;60;40;4;4;4;4;4;4;4;4;4;2;4;4;1;4;4;2;57
Dhaka South City Corporation;4;1230403003;;Purbo Basabo,Cayabithi,Mathertec;Shahanaz Manjil;10;40;20;2;4;4;4;4;4;4;4;4;2;4;4;1;4;1;2;52
Dhaka South City Corporation;4;1230404001;;Mathertec;Shantipara;12;48;20;4;4;4;4;3;3;4;3;4;1;3;4;1;4;4;2;52
Dhaka South City Corporation;4;1230404002;;Mathertec;Anwarpara;10;70;25;4;4;4;4;4;4;4;3;4;2;4;4;4;4;4;2;59
Dhaka South City Corporation;5;1230501001;;North Rajarbag;Manoranjan Babu Bosti;19;80;20;4;4;4;4;4;1;4;1;2;1;1;4;1;1;1;3;40
Dhaka South City Corporation;5;1230501002;;North Rajarbag;Abdul Khalek Bosti;10;70;25;2;1;4;4;4;1;1;1;2;2;1;3;2;1;1;3;33
Dhaka South City Corporation;5;1230501003;;North Rajarbag;Narayan Chandra Bosti;29;117;25;4;4;4;4;4;2;4;1;2;2;3;4;1;1;1;3;44
Dhaka South City Corporation;5;1230501004;;North Rajarbag;Sattajit Das Bosti;20;110;16;2;2;4;4;3;3;1;1;3;2;1;4;1;1;1;3;36
Dhaka South City Corporation;5;1230502001;;South Rajarbag;Bahanno Bari Bosti;52;260;25;1;1;4;2;1;1;1;4;4;2;3;4;1;2;1;3;35
Dhaka South City Corporation;5;1230502002;;South Rajarbag;Shahin Bosti;21;105;25;4;4;4;4;4;1;4;2;4;2;1;4;1;2;1;3;45
Dhaka South City Corporation;5;1230502003;;South Rajarbag;South Rajarbag Bosti;10;50;15;4;4;4;4;4;2;4;3;4;2;2;4;1;2;1;3;48
Dhaka South City Corporation;5;1230502004;;South Rajarbag;Hamida Begum Bosti;11;55;20;2;1;4;2;4;1;1;2;4;2;1;1;1;2;1;3;32
Dhaka South City Corporation;5;1230502005;;South Rajarbag;Khalek Bosti;30;150;35;4;4;4;4;4;1;2;3;4;3;2;4;1;2;1;3;46
Dhaka South City Corporation;5;1230503001;;Kodomtola East Basabo;Patwary Goli Bosti;29;78;6;2;4;4;4;4;4;3;4;4;3;4;4;1;4;1;2;52
Dhaka South City Corporation;5;1230503002;;Kodomtola East Basabo;Khalpar Bosti;22;45;8;1;1;4;4;4;3;1;4;4;3;4;4;1;4;1;2;45
Dhaka South City Corporation;5;1230503003;;Kodomtola East Basabo;Bibi Moriom Bosti;33;138;7;4;4;4;4;4;2;3;4;4;3;4;1;1;3;1;2;48
Dhaka South City Corporation;5;1230503004;;Kodomtola East Basabo;76/5 Bosti- 9 No Lane;20;67;6;1;1;4;4;4;2;3;4;4;2;4;4;1;4;1;2;45
Dhaka South City Corporation;5;1230503005;;Kodomtola East Basabo;Nurer Bosti;48;240;30;2;1;4;4;4;4;1;3;4;2;4;4;1;4;1;2;45
Dhaka South City Corporation;5;1230504001;;Kodomtola;Sabuj Golar Bosti;65;370;40;4;4;4;4;3;1;2;1;2;2;1;4;1;2;1;3;39
Dhaka South City Corporation;5;1230504002;;Kodomtola;Fozor Ali Bosti;11;28;13;4;4;4;4;3;1;2;1;2;2;1;4;1;2;1;3;39
Dhaka South City Corporation;5;1230504003;;Kodomtola;113 No Bosti;27;75;28;3;4;4;4;3;1;2;1;2;2;1;1;1;2;1;3;35
Dhaka South City Corporation;5;1230504004;;Kodomtola;114 No. Bosti;10;41;30;3;4;4;4;3;1;2;1;2;2;1;1;1;2;1;3;35
Dhaka South City Corporation;5;1230504005;;Kodomtola;114/4 No Bosti;28;89;3;3;4;4;4;3;1;2;1;2;2;1;1;1;2;1;3;35
Dhaka South City Corporation;5;1230505001;;Sabujbag Buddha Mandir;Sayatan Goli Bosti;27;152;35;3;4;4;2;4;3;1;4;4;3;4;4;1;4;1;2;48
Dhaka South City Corporation;5;1230505002;;Sabujbag Buddha Mandir;36/3H Ahmedbag;11;42;10;2;1;3;4;4;3;3;4;2;2;4;2;2;4;3;3;46
Dhaka South City Corporation;5;1230505003;;Sabujbag Buddha Mandir;Elin er mar Bosti;32;126;5;2;1;3;3;4;3;2;2;3;3;4;1;1;4;3;3;42
Dhaka South City Corporation;5;1230505004;;Sabujbag Buddha Mandir;36/3C Ahmedbag ;13;52;9;3;1;2;4;3;4;3;2;2;2;4;3;2;4;3;3;45
Dhaka South City Corporation;5;1230505005;;Sabujbag Buddha Mandir;102/1 Ahmmehbag;10;48;12;2;1;3;4;4;4;2;3;3;2;4;3;2;4;3;3;47
Dhaka South City Corporation;5;1230505006;;Sabujbag Buddha Mandir;144/G Ahmedbag;19;56;12;3;1;3;4;4;4;3;2;2;2;4;4;1;4;3;3;47
Dhaka South City Corporation;5;1230505007;;Sabujbag Buddha Mandir;Andhar Coloney Bosti;10;34;24;3;1;4;4;4;4;1;3;4;3;4;4;1;4;1;3;48
Dhaka South City Corporation;5;1230505008;;Sabujbag Buddha Mandir;7 No Mayakanon;15;52;30;3;1;4;4;4;4;3;4;2;2;4;4;1;4;1;3;48
Dhaka South City Corporation;5;1230505009;;Sabujbag Buddha Mandir;8 No Mayakanon;10;26;30;3;1;4;4;4;1;1;3;3;1;4;4;1;4;1;3;42
Dhaka South City Corporation;5;1230505010;;Sabujbag Buddha Mandir;12 No Mayakanon;54;250;40;3;1;4;4;4;4;1;3;4;3;4;4;1;4;1;3;48
Dhaka South City Corporation;5;1230505011;;Sabujbag Buddha Mandir;44/1 Mayakanon;10;26;32;3;1;3;4;4;2;2;1;3;2;4;4;1;4;1;3;42
Dhaka South City Corporation;5;1230505012;;Sabujbag Buddha Mandir;31 Mayakanon;36;176;32;3;1;4;4;4;4;1;3;4;3;4;4;1;4;1;3;48
Dhaka South City Corporation;5;1230505013;;Sabujbag Buddha Mandir;17 Mayakanon;53;180;40;3;1;4;4;4;4;1;3;4;3;4;4;1;4;1;3;48
