City;Ward;Match ID;New ID;Mahalla Name;Settlement Name;Households;Population;Settlement Age;Condition of access roads;Availability of drains;Electricity coverage;Solid waste collection service;Access to piped water supply;Availability of hygienic toilet;Street lighting;Attendance of children at school;Households with employment;Household income;Social problems;Land tenure security;Housing condition;Risk of eviction;Land Ownership;Type of Occupancy;Total Score
Faridpur;9;2400901008;12400901008;Faridabad;Rejaul Ar Bari Hoyte Eyakub Ar Bari;40;186;100;1;1;4;1;1;2;2;3;2;3;3;4;2;1;4;4;38
Faridpur;9;2400901007;12400901007;Faridabad;Bedhibad Jame Masjeed;50;250;80;2;1;3;1;1;1;2;3;3;4;2;2;1;1;1;1;29
Faridpur;9;2400901005;12400901005;Faridabad;Usuf Miya Bari/School Ar Dokhin Pashe;80;350;120;2;1;3;1;1;2;1;3;3;4;3;2;1;3;1;1;32
Faridpur;9;2400901006;12400901006;Faridabad;Monir Miyar Bari Hoyte Forid Bad Masjeed;110;505;100;1;1;3;1;1;2;1;2;2;4;3;1;1;3;3;2;31
Faridpur;9;2400901004;12400901004;Faridabad;Lakpara Kali Mader Ar Char Pash;170;765;100;1;1;4;1;1;2;2;3;4;4;2;4;1;4;4;4;42
Faridpur;9;2400901001;12400901001;Faridabad;Saalam Wahab Khaner Elaka;20;90;80;1;1;4;1;1;1;1;3;3;4;3;4;1;4;4;4;40
Faridpur;9;2400901002;12400901002;Faridabad;Sahjahan Shak Lekbar Jame Masjeder Pashe;40;190;40;1;1;4;1;1;2;3;3;3;4;3;4;1;4;4;4;43
Faridpur;9;2400901003;12400901003;Faridabad;Lake Para Bindu Mader Ar pashe;50;220;100;1;1;4;1;1;2;2;3;3;4;3;2;1;4;2;1;35
Faridpur;9;2400901009;12400901009;Faridabad;Din Islam Ar Bari Hoyte Vuiya Bari;10;45;48;3;1;4;1;1;3;2;4;3;4;3;1;2;3;3;2;40
Faridpur;9;2400902011;12400902011;Bhati Laxmipur;Alamin Vaiyar Bari;15;65;50;1;1;4;1;1;1;1;3;3;4;3;3;1;3;1;3;34
