City;Ward;Match ID;New ID;Mahalla Name;Settlement Name;Households;Population;Settlement Age;Condition of access roads;Availability of drains;Electricity coverage;Solid waste collection service;Access to piped water supply;Availability of hygienic toilet;Street lighting;Attendance of children at school;Households with employment;Household income;Social problems;Land tenure security;Housing condition;Risk of eviction;Land Ownership;Type of Occupancy;Total Score
Gazipur;28;2022801001;12022801001;Uttar Rajbari Tongi Side;Shoshanpara;60;290;25;1;1;4;1;1;2;1;2;3;2;2;2;1;1;2;2;28
Gazipur;28;2022802001;12022802001;Rothkhola;Shantipolli;50;310;25;1;1;4;1;1;2;1;3;4;3;3;4;4;4;1;1;38
Gazipur;28;2022803001;12022803001;Borda-Harinal Uttar;Uttar-Chayabithi Bosoti;100;450;30;2;1;4;2;1;3;1;3;3;2;3;4;1;4;1;2;37
Gazipur;28;2022804001;12022804001;Lagalia-Harinal Dakshin;Lebubagan Bosoti;80;370;25;3;1;4;2;1;3;3;4;3;3;2;4;1;4;4;4;46
Gazipur;28;2022804002;12022804002;Lagalia-Harinal Dakshin;Lagalia Dakshinpara Bosoti;70;310;20;2;2;4;1;1;3;1;3;3;2;2;4;1;4;4;4;41
Gazipur;29;2022901002;12022901002;Hazibag Cha Bagan Vora;Billal Mistri-er Bosoti;15;75;35;2;2;4;3;1;3;2;4;3;2;2;3;2;2;1;2;38
Gazipur;29;2022901001;12022901001;Hazibag Cha Bagan Vora;Ibrahim-er Bari;15;80;30;3;2;4;3;2;4;3;4;3;2;2;3;4;3;1;1;44
Gazipur;29;2022901003;12022901003;Hazibag Cha Bagan Vora;Jogoddish-er Bari;10;40;35;2;2;4;3;1;3;4;4;3;2;2;4;4;3;4;1;46
Gazipur;29;2022902002;12022902002;Choto Dewra Shamantapur;Aysha Kindergarten and Kaji Bari Songlogno;180;800;15;2;1;4;2;4;4;2;4;4;1;1;4;4;4;4;4;49
Gazipur;29;2022902004;12022902004;Choto Dewra Shamantapur;Baitul & Ahasan Masjid Songlogno;40;160;14;2;1;4;1;4;2;2;4;4;2;1;4;1;4;4;4;44
Gazipur;29;2022902005;12022902005;Choto Dewra Shamantapur;Primary School-er Purbo Pashe;60;240;7;2;1;4;1;1;4;2;4;4;2;1;4;2;4;4;4;44
Gazipur;29;2022903001;12022903001;Sharpara Chaitanyapur;Shomser Ali-er Bari;45;225;40;2;1;4;1;1;2;1;3;3;2;3;3;3;3;4;4;40
Gazipur;29;2022904001;12022904001;Adabor Shamantapur;Khalil-er Bari;20;100;30;1;1;2;1;1;2;1;1;2;2;3;2;3;4;4;4;34
Gazipur;29;2022904002;12022904002;Adabor Shamantapur;Moinadipara Mofijuddin-er Bari;30;140;20;2;2;4;1;1;1;1;2;3;2;3;4;4;4;4;4;42
