City;Ward;Match ID;New ID;Mahalla Name;Settlement Name;Households;Population;Settlement Age;Condition of access roads;Availability of drains;Electricity coverage;Solid waste collection service;Access to piped water supply;Availability of hygienic toilet;Street lighting;Attendance of children at school;Households with employment;Household income;Social problems;Land tenure security;Housing condition;Risk of eviction;Land Ownership;Type of Occupancy;Total Score
Gopalganj;1;060111;10600101001;Moulvipara;Moulavi Para Girzar Nikot;5;26;25;1;3;4;1;3;3;1;2;3;2;3;4;3;2;4;4;43
Gopalganj;1;060112;10600101002;Moulvipara;Diku Mollar Barir Nikot;6;27;30;3;1;4;1;1;1;3;3;3;1;2;2;1;3;1;1;31
Gopalganj;1;060113;10600101003;Moulvipara;Selim Ukiler Barir Nikot;5;37;22;2;1;4;1;2;3;2;2;3;1;2;1;2;3;1;3;33
Gopalganj;1;060114;10600101004;Moulvipara;Girzar Nikot;5;29;30;3;1;4;1;4;2;4;3;3;1;3;4;2;4;4;4;47
Gopalganj;1;060115;10600101005;Moulvipara;Babu Mollar Barir Nikot;6;32;25;1;1;4;1;1;3;1;3;3;1;2;4;1;4;4;4;38
Gopalganj;1;060116;10600101006;Moulvipara;Dalim Khaner Barir Nikot;7;37;20;2;1;4;1;2;2;1;2;3;1;2;3;2;3;1;2;32
Gopalganj;1;060117;10600101007;Moulvipara;Shahida Begumer Barir Pase;7;40;30;4;4;4;1;3;3;2;2;3;1;3;4;3;4;4;4;49
Gopalganj;1;060118;10600101008;Moulvipara;Iliyas Chowdhurir Barir Nikot;5;27;20;2;1;4;1;3;2;3;2;3;1;3;3;3;3;1;2;37
Gopalganj;1;060119;10600101009;Moulvipara;Pintu Mollar Barir Nikot;5;25;15;2;2;4;1;4;3;2;3;3;1;3;1;2;3;1;2;37
Gopalganj;1;0601110;10600101010;Moulvipara;Shahed Mollar Barir Nikot;10;53;30;2;2;4;1;3;3;2;2;3;1;3;3;2;3;1;2;37
Gopalganj;1;0601111;10600101011;Moulvipara;Jashimer Dokaner Pishe;5;27;15;2;1;3;1;3;2;1;3;3;1;3;2;2;3;1;2;33
Gopalganj;1;0601112;10600101012;Moulvipara;Hakimder Barir Paser Bosoti;9;42;15;2;1;4;1;2;1;4;3;3;1;4;1;3;4;1;3;38
Gopalganj;1;0601113;10600101013;Moulvipara;Khayer Saber Barir Paser Bosoti;6;32;30;1;2;4;1;2;4;1;4;4;1;4;4;3;4;4;4;47
Gopalganj;1;0601114;10600101014;Moulvipara;Basu Mollar Barir Paser Bosoti;7;30;43;2;2;4;1;2;3;1;3;3;1;3;4;3;4;4;4;44
Gopalganj;1;0601115;10600101015;Moulvipara;Enamuler Barir Nikoter Bosoti;8;40;30;1;1;4;1;3;3;1;3;3;4;3;4;3;4;4;4;46
Gopalganj;1;0601116;10600101016;Moulvipara;Kobirer Barir Paser Bosoti;8;35;36;1;4;4;1;3;4;1;3;3;1;3;4;3;3;3;2;43
Gopalganj;1;0601117;10600101017;Moulvipara;Martiner Bosoti;8;42;25;1;2;4;1;4;3;1;3;3;1;4;4;3;4;4;4;46
Gopalganj;1;0601118;10600101018;Moulvipara;Alomgirer Bosoti;8;40;45;2;3;4;1;4;3;1;3;3;3;4;4;3;4;4;4;50
Gopalganj;1;0601119;10600101019;Moulvipara;Furir Barir Nikoter Bosoti;7;40;45;2;1;4;1;3;3;1;3;3;1;3;4;3;4;4;4;44
Gopalganj;1;0601120;10600101020;Moulvipara;Shahin Vaier Barir Paser Bosoti;9;45;30;1;2;4;1;4;3;1;3;3;1;4;4;3;3;1;1;39
Gopalganj;1;0601121;10600101021;Moulvipara;Sakhayet Mollar Barir Paser Bosoti;8;40;35;2;1;4;1;4;3;2;4;3;1;3;4;3;4;1;1;41
Gopalganj;1;0601122;10600101022;Moulvipara;Basharer Bosoti;14;60;35;2;1;4;1;4;3;4;4;3;2;3;1;3;3;4;4;46
Gopalganj;1;060121;10600102001;Munshi Para;Ashok Dadar Barir Pase;10;53;30;2;3;4;1;2;3;1;4;2;1;2;4;3;4;4;4;44
Gopalganj;1;060122;10600102002;Munshi Para;Nihar Bishasher Bari;9;38;42;2;1;4;1;1;2;2;4;3;1;2;4;3;4;4;3;41
Gopalganj;1;060123;10600102003;Munshi Para;Hanif Kazir Barir Pase;7;41;30;4;4;4;1;4;3;4;4;3;2;2;4;3;4;4;3;53
Gopalganj;1;060124;10600102004;Munshi Para;Shahider Bari;6;32;25;1;1;4;1;4;3;1;4;3;2;2;4;3;4;4;4;45
Gopalganj;1;060125;10600102005;Munshi Para;Jakir Bhaiyer Bari;7;35;25;1;1;4;1;4;3;1;4;3;2;2;4;3;4;4;4;45
Gopalganj;1;060126;10600102006;Munshi Para;Panir Tankir Paser Goli (Jahid);8;33;20;1;1;4;1;4;3;1;4;3;2;2;1;3;4;1;1;36
Gopalganj;1;060127;10600102007;Munshi Para;Halimer Barir Nikot;8;40;30;2;3;4;1;3;3;2;4;3;1;3;3;3;3;1;1;40
Gopalganj;1;060128;10600102008;Munshi Para;Babul Kazir Bari;10;62;45;2;1;4;1;3;3;1;4;3;3;3;4;3;4;4;4;47
Gopalganj;1;060129;10600102009;Munshi Para;Jhontu Bhaiyer Barir Pase;6;27;25;2;1;4;1;1;3;1;3;3;2;2;4;3;4;4;4;42
Gopalganj;1;0601210;10600102010;Munshi Para;Tapan Mastarer Barir Pase;5;38;40;2;3;4;1;4;3;2;3;3;3;3;4;3;4;4;4;50
Gopalganj;1;0601211;10600102011;Munshi Para;CDC Office Chottor;12;45;30;2;2;4;1;3;3;1;3;3;1;3;4;3;3;4;4;44
Gopalganj;1;060151;10600105001;Bedgram Purbo Para;Najim Sekher Bosoti;8;35;25;1;1;3;1;1;1;1;2;2;2;4;2;1;2;1;2;27
Gopalganj;1;060152;10600105002;Bedgram Purbo Para;Ulu Sekher Bosoti;6;27;35;2;1;3;1;1;1;1;2;1;2;4;4;1;4;4;4;36
