City;Ward;Match ID;New ID;Mahalla Name;Settlement Name;Households;Population;Settlement Age;Condition of access roads;Availability of drains;Electricity coverage;Solid waste collection service;Access to piped water supply;Availability of hygienic toilet;Street lighting;Attendance of children at school;Households with employment;Household income;Social problems;Land tenure security;Housing condition;Risk of eviction;Land Ownership;Type of Occupancy;Total Score
Khulna;1;470101001;10300101001;Saheb Para & Moddho Para Ralygate;Manik Sordhar;30;150;70;3;1;3;2;1;2;3;2;2;4;1;2;1;4;2;4;37
Khulna;1;470101003;10300101003;Saheb Para & Moddho Para Ralygate;Motin Driver Ar Bari;45;240;90;2;1;3;1;1;1;1;3;2;4;2;4;1;4;4;4;38
Khulna;1;470101004;10300101004;Saheb Para & Moddho Para Ralygate;Aleyar Bari;120;520;80;2;1;4;1;1;2;2;2;3;4;2;2;3;4;4;4;41
Khulna;1;470101005;10300101005;Saheb Para & Moddho Para Ralygate;Pora Bostee;95;480;70;1;1;4;1;1;2;3;2;2;4;2;1;1;2;4;1;32
Khulna;1;470101002;10300101002;Saheb Para & Moddho Para Ralygate;Unus Chair Man Ar Bari;60;260;50;2;1;3;1;1;1;2;2;1;4;2;2;1;4;2;3;32
Khulna;1;470101008;10300101008;Saheb Para & Moddho Para Ralygate;Ajad Saheb Ar Bari;42;195;85;1;1;3;1;1;1;1;2;2;4;2;1;1;3;1;2;27
Khulna;1;470101009;10300101009;Saheb Para & Moddho Para Ralygate;Drimdel Ar Sahmna;55;280;100;4;2;2;1;1;2;2;4;2;4;2;2;4;4;4;4;44
Khulna;1;470101010;10300101010;Saheb Para & Moddho Para Ralygate;Sahadat Comisonar Ar Bari;60;280;100;4;2;4;1;1;2;1;4;2;4;2;3;4;4;4;4;46
Khulna;1;470101012;10300101012;Saheb Para & Moddho Para Ralygate;R.K Nars Bari;30;140;90;3;1;4;1;1;2;3;3;2;4;2;3;4;4;4;4;45
Khulna;1;470101011;10300101011;Saheb Para & Moddho Para Ralygate;Hobider Bari;110;440;100;3;1;4;1;1;2;1;3;2;4;2;3;4;4;4;4;43
Khulna;1;470101006;10300101006;Saheb Para & Moddho Para Ralygate;Ralygate Morh;8;32;110;3;1;4;1;1;1;2;4;3;4;2;4;1;4;4;4;43
Khulna;1;470101007;10300101007;Saheb Para & Moddho Para Ralygate;Ralygate Morh;8;35;70;1;1;1;1;1;2;1;2;2;4;2;2;4;4;4;4;36
Khulna;1;470102005;10300102005;Manik tola & Mile post, East Side of Dighi;Mosharof Saheb Ar Bari;50;260;100;4;1;4;1;1;2;4;4;2;4;1;3;4;4;4;4;47
Khulna;1;470102001;10300102001;Manik tola & Mile post, East Side of Dighi;Volar Bari;60;285;45;2;1;4;1;1;1;2;3;2;4;2;3;1;3;4;4;38
Khulna;1;470102004;10300102004;Manik tola & Mile post, East Side of Dighi;Mohela Madrasha Ar Shamna;60;260;80;3;1;4;1;1;2;2;2;2;4;2;4;2;4;4;4;42
Khulna;1;470102002;10300102002;Manik tola & Mile post, East Side of Dighi;Nojrul Ar Bari;35;160;102;2;1;2;1;1;1;1;3;2;4;2;3;1;3;4;4;35
Khulna;1;470102003;10300102003;Manik tola & Mile post, East Side of Dighi;Mirja Bari;25;105;45;3;3;4;1;1;2;3;2;2;4;2;3;1;4;4;4;43
Khulna;1;470103003;10300103003;Munshi Para, Mollik Para & Kali Bari;Alauddain Ar Bari;55;220;85;2;1;4;1;1;1;1;2;3;4;3;4;1;4;4;4;40
Khulna;1;470103004;10300103004;Munshi Para, Mollik Para & Kali Bari;Am Bagan;120;600;100;2;1;2;1;1;3;1;2;3;4;1;4;1;4;4;4;38
Khulna;1;470103006;10300103006;Munshi Para, Mollik Para & Kali Bari;Somaj Shek Anoyarer Bari;120;600;55;2;1;2;1;1;3;1;2;3;4;1;4;1;4;4;4;38
Khulna;1;470103005;10300103005;Munshi Para, Mollik Para & Kali Bari;Mojebor Driver Ar Bari;80;400;150;2;1;4;1;1;4;1;3;3;4;1;4;1;4;4;4;42
Khulna;1;470103007;10300103007;Munshi Para, Mollik Para & Kali Bari;Boren Ar Bari;132;528;70;2;1;4;1;1;1;1;2;3;4;3;4;1;4;4;4;40
Khulna;1;470103001;10300103001;Munshi Para, Mollik Para & Kali Bari;Bash Tola;65;282;80;2;1;4;1;1;1;1;2;3;4;3;4;1;4;4;4;40
Khulna;1;470103002;10300103002;Munshi Para, Mollik Para & Kali Bari;Daroga Barir Masjeed;60;300;80;2;1;4;1;1;1;1;4;3;4;3;4;1;4;4;4;42
Khulna;1;470103008;10300103008;Munshi Para, Mollik Para & Kali Bari;Rajdhani Para;20;92;48;2;1;4;1;1;1;2;2;4;4;3;4;1;4;4;4;42
Khulna;1;470104002;10300104002;Dighi Par, Baptist Para, Shanti Nagar;Shanti Nagar;115;525;65;2;1;4;1;1;2;2;4;3;4;3;4;1;4;4;4;44
Khulna;1;470104001;10300104001;Dighi Par, Baptist Para, Shanti Nagar;Dighir Pochem Para;128;640;75;2;1;4;1;1;2;1;4;3;4;3;4;1;4;2;3;40
Khulna;1;470104006;10300104006;Dighi Par, Baptist Para, Shanti Nagar;Sohedul Alom Bostee;60;140;40;2;1;4;1;1;2;2;4;3;4;3;3;1;4;4;4;43
Khulna;1;470104007;10300104007;Dighi Par, Baptist Para, Shanti Nagar;Dighi Purbo Para;75;310;80;2;2;4;1;1;2;2;4;3;4;3;4;2;4;4;4;46
Khulna;1;470104003;10300104003;Dighi Par, Baptist Para, Shanti Nagar;Christian Hospital;79;355;70;2;1;4;1;1;2;2;4;3;4;3;4;1;4;4;4;44
Khulna;1;470104005;10300104005;Dighi Par, Baptist Para, Shanti Nagar;Joneder Para;105;470;50;2;1;4;1;1;2;2;4;3;4;3;4;4;4;4;4;47
Khulna;1;470104004;10300104004;Dighi Par, Baptist Para, Shanti Nagar;Bapestis Para;90;408;62;2;1;4;1;1;2;2;4;3;4;3;4;1;4;4;4;44
Khulna;1;470105003;10300105003;Catholic Para, Bou Bazzar, Puratin B.I.T Road;Shanti Para;120;491;65;2;1;2;1;1;1;2;1;2;3;3;3;2;2;4;3;33
Khulna;1;470105002;10300105002;Catholic Para, Bou Bazzar, Puratin B.I.T Road;Kacha Bazzar, Bou Bazzar;50;240;70;2;3;2;1;1;1;2;2;2;4;3;4;2;3;4;3;39
Khulna;1;470105001;10300105001;Catholic Para, Bou Bazzar, Puratin B.I.T Road;Cathaolic Para;175;870;70;2;3;3;1;1;1;2;2;3;4;3;1;2;4;4;2;38
Khulna;1;470105007;10300105007;Catholic Para, Bou Bazzar, Puratin B.I.T Road;Bou Bazar;22;100;70;2;3;2;1;1;1;2;2;2;4;3;4;2;4;4;4;41
Khulna;1;470105004;10300105004;Catholic Para, Bou Bazzar, Puratin B.I.T Road;Shek Bari;56;208;90;2;1;3;1;1;1;2;1;2;4;3;3;2;4;4;4;38
Khulna;1;470105006;10300105006;Catholic Para, Bou Bazzar, Puratin B.I.T Road;Catholic Vebi School Ar 2nd Gate/ Monder;80;396;60;2;1;3;1;1;1;2;2;2;4;3;3;2;4;4;4;39
Khulna;1;470105005;10300105005;Catholic Para, Bou Bazzar, Puratin B.I.T Road;Mitun Morh;75;376;55;2;1;3;1;1;1;2;2;2;4;3;3;2;4;4;4;39
Khulna;1;470106008;10300106008;Uttar Banik Para, Khana Bari, Dali Para, Kandir;Hemayat Dhale;70;286;80;2;1;4;1;1;1;1;2;3;4;3;4;1;4;4;4;40
Khulna;1;470106004;10300106004;Uttar Banik Para, Khana Bari, Dali Para, Kandir;Jaber Vai Bari;70;350;100;2;1;4;1;1;1;1;2;3;4;3;4;1;4;4;4;40
Khulna;1;470106003;10300106003;Uttar Banik Para, Khana Bari, Dali Para, Kandir;Sohed Master;75;300;100;2;1;4;1;1;1;1;2;3;4;3;4;1;4;4;4;40
Khulna;1;470106002;10300106002;Uttar Banik Para, Khana Bari, Dali Para, Kandir;Khobir Bari;70;350;50;2;1;4;1;1;1;1;2;3;4;3;4;1;4;4;4;40
Khulna;1;470106007;10300106007;Uttar Banik Para, Khana Bari, Dali Para, Kandir;Abbas Mallik;70;280;50;2;1;4;1;1;1;1;2;3;4;3;4;1;4;4;4;40
Khulna;1;470106010;10300106010;Uttar Banik Para, Khana Bari, Dali Para, Kandir;Litu Shek;70;286;100;2;1;4;1;1;1;1;2;3;4;3;4;1;4;4;4;40
Khulna;1;470106006;10300106006;Uttar Banik Para, Khana Bari, Dali Para, Kandir;Sattar Amin;70;286;100;2;1;4;1;1;1;1;2;3;4;3;4;1;4;4;4;40
Khulna;1;470106005;10300106005;Uttar Banik Para, Khana Bari, Dali Para, Kandir;Islaf Dhale;75;300;50;2;1;4;1;1;1;1;2;3;4;3;4;1;4;4;4;40
