City;Ward;Match ID;New ID;Mahalla Name;Settlement Name;Households;Population;Settlement Age;Condition of access roads;Availability of drains;Electricity coverage;Solid waste collection service;Access to piped water supply;Availability of hygienic toilet;Street lighting;Attendance of children at school;Households with employment;Household income;Social problems;Land tenure security;Housing condition;Risk of eviction;Land Ownership;Type of Occupancy;Total Score
Kushtia;1;300101001;10500101001;Banda Hati Titumir Road;Raipweak Ar Purbo Pasher Para;30;140;10;1;1;4;1;1;1;4;4;3;4;1;1;1;1;2;1;31
Kushtia;1;300101002;10500101002;Banda Hati Titumir Road;Habub Barei Thake Aloter Bari;20;78;30;3;3;4;1;1;3;4;4;3;4;3;1;3;2;2;1;42
Kushtia;1;300101007;10500101007;Banda Hati Titumir Road;Sohid Titumir Sarak;15;75;70;3;3;4;1;2;4;4;4;4;4;4;4;3;4;4;4;56
Kushtia;1;300101005;10500101005;Banda Hati Titumir Road;Momenar Ma O Mumar Goli;20;110;25;1;3;1;1;1;2;1;4;3;4;1;1;1;1;1;1;27
Kushtia;1;300101006;10500101006;Banda Hati Titumir Road;Shopon Miya (Nepal) ar goli;15;75;25;4;3;4;1;1;1;2;4;2;3;2;1;2;3;4;4;41
Kushtia;1;300101009;10500101009;Banda Hati Titumir Road;Askar Ali Mondol Para;45;225;30;4;3;4;1;1;3;3;4;3;4;3;1;3;1;2;1;41
Kushtia;1;300101004;10500101004;Banda Hati Titumir Road;Kuti Monir Goli;20;105;25;4;3;4;1;1;3;1;4;3;4;2;1;2;1;2;1;37
Kushtia;1;300101008;10500101008;Banda Hati Titumir Road;Banda Haji Goli;16;65;70;4;3;4;4;3;4;4;4;3;4;4;4;4;4;4;4;61
Kushtia;1;300101010;10500101010;Banda Hati Titumir Road;Horijon Colony;22;110;70;3;3;4;1;1;1;1;4;2;4;3;3;3;2;1;1;37
Kushtia;1;300101003;10500101003;Banda Hati Titumir Road;Motin Ar Bari Thake Rubin Ar Bari;20;110;30;3;3;4;1;1;3;4;4;3;4;3;2;3;3;2;1;44
Kushtia;1;300102002;10500102002;NS Road;Conselar Uddain Sarak;11;44;70;2;3;4;1;4;2;2;4;2;4;2;4;2;4;4;4;48
Kushtia;1;300102001;10500102001;NS Road;Shot Nagar;60;270;50;2;3;4;1;3;2;2;4;3;4;3;4;2;4;4;4;49
Kushtia;1;300103001;10500103001;Kamlapur;Chor Komolapur;16;68;18;1;1;3;1;1;2;3;3;4;4;3;1;2;3;2;3;37
Kushtia;1;300103002;10500103002;Kamlapur;Komolapur (bridge ar pashe);67;298;100;2;1;4;1;2;2;3;4;2;4;3;4;3;4;4;4;47
Kushtia;1;300103003;10500103003;Kamlapur;Komolapur (Pagol Para);8;36;79;2;3;4;1;3;3;2;4;3;4;4;4;3;4;4;4;52
Kushtia;2;300201001;10500201001;Char Thana Para ,Puraton Badh;Bridge Sonlogno Pischim Pashe;200;900;15;3;3;4;1;1;2;1;4;3;3;2;2;2;2;3;1;37
Kushtia;2;300201002;10500201002;Char Thana Para ,Puraton Badh;Bridge Sonlogno Pischim (Modho Khan);50;225;20;2;3;4;1;1;2;1;4;3;3;3;2;2;2;3;1;37
Kushtia;2;300201003;10500201003;Char Thana Para ,Puraton Badh;Puraton Badh Sonlogno Poschim Ar (Modho Khan);30;135;10;2;1;3;1;1;2;1;4;3;3;3;2;2;2;3;1;34
Kushtia;2;300201004;10500201004;Char Thana Para ,Puraton Badh;Puraton Badh Sonlogno Poschim Pash;100;400;20;4;3;4;4;1;2;4;4;3;3;3;3;2;1;3;1;45
Kushtia;2;300201005;10500201005;Char Thana Para ,Puraton Badh;Mosjid Ar Pashe;90;405;20;3;3;4;1;1;3;1;4;2;4;4;4;3;2;3;1;43
Kushtia;2;300201006;10500201006;Char Thana Para ,Puraton Badh;Sutir Mar Barir Pichon Sonlogno;110;495;20;3;3;4;1;1;2;3;4;3;3;4;3;2;4;3;1;44
Kushtia;2;300201007;10500201007;Char Thana Para ,Puraton Badh;Bridge Ar Niche Uttor Pash;100;450;15;2;3;4;1;1;3;4;4;2;2;3;2;3;1;3;1;39
Kushtia;2;300201008;10500201008;Char Thana Para ,Puraton Badh;Masjid Ar Shamne;100;450;30;4;3;4;2;1;3;4;4;3;4;4;3;3;1;3;1;47
Kushtia;2;300201009;10500201009;Char Thana Para ,Puraton Badh;Switch Gate Sonblogno Poschim Pash;60;270;18;2;3;4;2;1;3;1;4;2;2;4;3;2;2;3;1;39
Kushtia;2;300202003;10500202003;Abul Kasem ToShasi vuson Road;Switch Gate Sonlogno- Sonar Bari Projonto;48;206;28;2;1;3;1;1;2;1;3;2;4;2;1;3;1;3;1;31
Kushtia;2;300202002;10500202002;Abul Kasem ToShasi vuson Road;Rojob Ar Dokan - Alom Ar Bari;40;175;28;3;1;4;2;1;4;4;4;3;4;1;2;2;2;4;4;45
Kushtia;2;300202001;10500202001;Abul Kasem ToShasi vuson Road;Jhumkir Barir Shamne;55;275;25;2;1;4;1;1;3;1;4;2;4;1;2;2;1;2;1;32
Kushtia;2;300202005;10500202005;Abul Kasem ToShasi vuson Road;Pollober Barir Shamne;40;200;35;3;3;4;1;4;2;4;4;4;4;4;2;3;2;2;2;48
Kushtia;2;300202007;10500202007;Abul Kasem ToShasi vuson Road;Baborer Barir Goli;5;27;60;2;2;2;1;1;2;4;3;2;4;3;4;3;4;4;3;44
Kushtia;2;300202006;10500202006;Abul Kasem ToShasi vuson Road;Polan Brok Road (Taltola);5;20;65;4;4;4;2;3;2;4;2;2;4;3;4;3;4;4;4;53
Kushtia;2;300202004;10500202004;Abul Kasem ToShasi vuson Road;Monder Ar Pichon Ar Prothom Goli;19;94;37;2;3;4;2;4;4;4;4;4;4;4;3;3;3;3;1;52
Kushtia;2;300203001;10500203001;Joyaddar To Khodadad khan Road;Sokhivuson Prathomik Lain sonlogno Dokhin Pashe;37;167;40;4;4;4;4;3;4;4;4;3;4;4;4;2;4;4;4;60
Kushtia;2;300203002;10500203002;Joyaddar To Khodadad khan Road;Sotsong Mander Ar Pashe;23;104;45;4;4;4;4;3;4;4;4;4;4;4;4;2;4;4;4;61
Kushtia;2;300203003;10500203003;Joyaddar To Khodadad khan Road;Sotsong Mander Ar Dokhin Purbanse;17;77;40;4;3;4;4;3;4;4;4;4;4;3;4;2;4;4;4;59
Kushtia;2;300203006;10500203006;Joyaddar To Khodadad khan Road;M.A Poribohon Ar Pashe;8;37;35;4;3;4;4;3;4;4;4;4;4;4;4;2;4;4;4;60
