City;Ward;Match ID;New ID;Mahalla Name;Settlement Name;Households;Population;Settlement Age;Condition of access roads;Availability of drains;Electricity coverage;Solid waste collection service;Access to piped water supply;Availability of hygienic toilet;Street lighting;Attendance of children at school;Households with employment;Household income;Social problems;Land tenure security;Housing condition;Risk of eviction;Land Ownership;Type of Occupancy;Total Score
Mymenshing;1;610101001;10900101001;Kathgola Bazar Nodir Par;Khoshad Ali GodarGhat Mosjid;50;250;80;1;1;1;1;1;1;1;3;1;1;1;3;1;3;3;3;26
Mymenshing;1;610101003;10900101003;Kathgola Bazar Nodir Par;Pojo Melar Pasha;56;224;50;1;1;3;1;1;3;1;3;3;1;1;3;1;2;1;3;29
Mymenshing;1;610101004;10900101004;Kathgola Bazar Nodir Par;Najim Kerani Bare;70;350;80;1;1;3;1;1;3;1;3;3;1;1;3;1;2;1;3;29
Mymenshing;1;610101006;10900101006;Kathgola Bazar Nodir Par;Muja Miya Nodir Par;130;780;55;1;1;3;1;1;3;1;3;3;1;1;3;1;2;1;3;29
Mymenshing;1;610101007;10900101007;Kathgola Bazar Nodir Par;Pibani Bang Ar pasa;120;600;55;1;1;3;1;1;3;1;3;3;1;1;3;1;2;1;3;29
Mymenshing;1;610101008;10900101008;Kathgola Bazar Nodir Par;Rasel Mia ( Koshai);145;570;35;1;1;3;1;1;3;1;3;3;1;1;3;1;2;1;3;29
Mymenshing;1;610101009;10900101009;Kathgola Bazar Nodir Par;Moti Miya/Kacha Bajar;30;120;50;1;1;1;1;1;1;1;3;1;1;1;3;1;3;3;3;26
Mymenshing;1;610101002;10900101002;Kathgola Bazar Nodir Par;Godara Ghat;52;270;60;1;1;2;1;1;1;1;3;3;1;1;1;1;2;3;2;25
Mymenshing;1;610101005;10900101005;Kathgola Bazar Nodir Par;Abdula Hoteler Pecha;102;510;52;1;1;3;1;1;3;1;3;3;1;1;3;1;2;1;3;29
Mymenshing;1;610102009;10900102009;Goldonda Mosjid Road/ Char Raster More;Khan Bare;20;80;50;1;1;2;1;2;1;3;4;2;2;1;1;2;4;3;3;33
Mymenshing;1;610102008;10900102008;Goldonda Mosjid Road/ Char Raster More;Moller Bre/Gehor Modol;150;900;168;1;1;2;1;1;3;2;3;2;2;2;4;2;3;4;1;34
Mymenshing;1;610102006;10900102006;Goldonda Mosjid Road/ Char Raster More;Khalifa Bare;91;546;155;1;1;2;1;1;3;3;3;2;2;2;4;2;3;4;1;35
Mymenshing;1;610102005;10900102005;Goldonda Mosjid Road/ Char Raster More;Abdulah Madrassa;16;64;150;1;1;3;1;1;2;1;3;2;1;2;3;1;2;1;1;26
Mymenshing;1;610102004;10900102004;Goldonda Mosjid Road/ Char Raster More;Golgopda K Ar Isnamer Chokhu Fremanc Dor;35;154;150;2;1;4;1;1;2;2;4;3;3;4;4;3;4;4;4;46
Mymenshing;1;610102003;10900102003;Goldonda Mosjid Road/ Char Raster More;School Road/Char Raster Mor;14;50;70;3;1;3;1;2;2;3;4;2;3;1;1;2;4;4;1;37
Mymenshing;1;610102007;10900102007;Goldonda Mosjid Road/ Char Raster More;Nobab Driver Ar Bare;72;432;150;1;1;2;1;1;3;3;3;2;2;2;4;2;3;4;1;35
Mymenshing;1;610102002;10900102002;Goldonda Mosjid Road/ Char Raster More;Kaji Bare;86;340;60;1;1;3;1;1;3;1;3;3;1;1;3;1;2;1;3;29
Mymenshing;1;610102001;10900102001;Goldonda Mosjid Road/ Char Raster More;Abbas Madrasser Picha;15;75;20;1;1;3;1;2;2;3;4;2;2;1;1;2;4;3;3;35
Mymenshing;1;610103012;10900103012;Balur Ghat/Andur Bondho Bari;Nijam Mater ar Bare;73;438;62;3;1;4;1;3;2;1;3;3;3;3;4;4;4;4;4;47
Mymenshing;1;610103014;10900103014;Balur Ghat/Andur Bondho Bari;Munsaikul Pasha;25;160;80;2;1;1;4;2;4;4;1;4;4;4;4;4;4;4;4;51
Mymenshing;1;610103013;10900103013;Balur Ghat/Andur Bondho Bari;Brakta Marker Pasha;58;348;53;2;1;4;1;1;2;1;3;3;3;3;4;4;4;4;4;44
Mymenshing;1;610103011;10900103011;Balur Ghat/Andur Bondho Bari;Amin Mojimer Bare;28;168;80;2;1;3;1;2;2;1;2;3;3;3;4;4;4;4;4;43
Mymenshing;1;610103008;10900103008;Balur Ghat/Andur Bondho Bari;Balur Ghat Mosjid Road;45;270;40;2;1;4;1;3;2;2;4;3;2;3;4;4;4;4;4;47
Mymenshing;1;610103006;10900103006;Balur Ghat/Andur Bondho Bari;Balur Ghat Mosjid Road;35;210;70;3;3;4;1;2;3;1;3;4;3;3;4;4;4;4;4;50
Mymenshing;1;610103009;10900103009;Balur Ghat/Andur Bondho Bari;Kausar Fer Soser Bare;12;72;47;2;1;4;1;2;2;2;3;3;3;3;4;4;4;4;4;46
Mymenshing;1;610103010;10900103010;Balur Ghat/Andur Bondho Bari;Balur Ghat Mosjid Road;12;72;80;2;1;4;1;2;2;1;3;3;3;3;4;4;4;4;4;45
Mymenshing;1;610103007;10900103007;Balur Ghat/Andur Bondho Bari;Md. Mojibor Rahman Bare;65;390;72;3;3;3;1;3;2;2;3;3;3;3;4;4;4;4;4;49
Mymenshing;1;610103001;10900103001;Balur Ghat/Andur Bondho Bari;Aiyub Alir Bare;12;72;60;1;1;3;1;2;1;1;3;3;2;3;4;4;4;4;4;41
Mymenshing;1;610103002;10900103002;Balur Ghat/Andur Bondho Bari;Late. Mojid Morol Ar Bare;45;270;150;1;1;3;1;2;2;1;3;3;2;3;4;4;4;4;4;42
Mymenshing;1;610103003;10900103003;Balur Ghat/Andur Bondho Bari;Kritem Projonnon Pebroad;12;72;50;4;1;4;1;1;2;2;3;3;3;4;4;4;4;4;4;48
Mymenshing;1;610103004;10900103004;Balur Ghat/Andur Bondho Bari;Ahalu Munshir Bare;15;90;85;1;1;3;1;1;3;1;3;3;3;3;4;4;4;4;4;43
Mymenshing;1;610103005;10900103005;Balur Ghat/Andur Bondho Bari;late. Momotaj Patwarer Bare;11;66;89;2;1;4;1;3;4;3;4;4;4;4;4;4;4;4;4;54
Mymenshing;1;610104002;10900104002;Saleha Market/Bombay Rice Mill;Md. Goni Hujurar Bare;6;48;85;2;1;3;1;1;2;1;3;3;2;3;4;4;4;4;4;42
Mymenshing;1;610104007;10900104007;Saleha Market/Bombay Rice Mill;Late. Totakholifar Bare;52;312;160;2;1;4;1;1;2;2;4;4;3;4;4;4;4;4;4;48
Mymenshing;1;610104010;10900104010;Saleha Market/Bombay Rice Mill;Morol Bare;30;150;160;2;1;3;1;1;3;3;2;3;3;3;4;4;4;4;4;45
Mymenshing;1;610104001;10900104001;Saleha Market/Bombay Rice Mill;Doladiya Nodir Par;97;582;54;2;1;3;1;1;1;2;2;2;2;3;4;4;4;4;4;40
Mymenshing;1;610104003;10900104003;Saleha Market/Bombay Rice Mill;Rice Jil Boro Bare;55;330;48;2;1;3;1;1;2;1;2;3;2;2;4;4;4;4;4;40
Mymenshing;1;610104004;10900104004;Saleha Market/Bombay Rice Mill;Late. Mogula Moroler Bare;40;240;150;2;1;3;1;1;2;1;3;3;3;2;4;4;4;4;4;42
Mymenshing;1;610104005;10900104005;Saleha Market/Bombay Rice Mill;Rinar bare/ Nodir Par;22;132;48;2;1;3;1;2;2;2;2;3;3;2;4;4;4;4;4;43
Mymenshing;1;610104006;10900104006;Saleha Market/Bombay Rice Mill;Jolil Ar Bare;16;80;67;2;1;3;1;1;2;1;2;3;3;2;4;4;4;4;4;41
Mymenshing;1;610104012;10900104012;Saleha Market/Bombay Rice Mill;Sultan Ar Bare;32;192;150;2;1;4;1;2;2;3;4;3;3;3;4;4;4;4;4;48
Mymenshing;1;610104008;10900104008;Saleha Market/Bombay Rice Mill;Gufur Vai Ar Bare;15;55;70;2;1;3;1;1;3;3;2;3;3;3;4;4;4;4;4;45
Mymenshing;1;610104009;10900104009;Saleha Market/Bombay Rice Mill;Dulal Kistir Bare;15;90;120;3;1;3;1;1;3;3;2;3;3;3;4;4;4;4;4;46
Mymenshing;1;610104011;10900104011;Saleha Market/Bombay Rice Mill;Morol Bare;20;120;160;2;1;4;1;2;3;3;3;3;3;3;4;4;4;4;4;48
Mymenshing;1;610105001;10900105001;Taltola Nodir Par;Sobhan Driver Ar Bare;182;1092;80;2;3;4;1;1;2;3;2;3;3;3;4;4;4;4;4;47
Mymenshing;1;610105003;10900105003;Taltola Nodir Par;Idres Beparer Bare North Side;37;222;80;2;3;4;1;1;3;3;3;4;4;3;2;2;2;2;4;43
Mymenshing;1;610105004;10900105004;Taltola Nodir Par;Late. Bahor Ali Bare;35;210;80;3;1;4;1;1;3;4;2;4;4;3;3;4;4;4;4;49
Mymenshing;1;610105005;10900105005;Taltola Nodir Par;Rupaly Bank Ar Pasha;47;282;80;1;1;4;1;1;3;1;3;4;4;3;3;3;4;4;4;44
Mymenshing;1;610105006;10900105006;Taltola Nodir Par;Khagdor Bosote;24;144;80;1;1;4;1;1;2;1;3;4;4;3;3;3;4;4;4;43
Mymenshing;1;610105002;10900105002;Taltola Nodir Par;Bacchu (Vti Ar Pata Khamar);5;17;80;3;3;4;1;1;3;3;1;3;3;3;3;4;4;4;4;47
Mymenshing;1;610106001;10900106001;Ghunti MathPara/Sahi Masjeed/ C&B;Gonti High School North Noder Par;290;1740;90;2;1;3;1;1;3;1;3;3;2;2;3;4;3;4;4;40
Mymenshing;1;610106002;10900106002;Ghunti MathPara/Sahi Masjeed/ C&B;Gonti Math Par;224;1344;80;2;1;3;1;1;2;1;2;2;2;2;2;3;4;4;4;36
Mymenshing;1;610106003;10900106003;Ghunti MathPara/Sahi Masjeed/ C&B;Khag Vohor Eid Ga Math Par Dik;270;1620;80;2;1;4;1;1;2;1;3;1;1;3;3;3;3;1;3;33
Mymenshing;1;610106004;10900106004;Ghunti MathPara/Sahi Masjeed/ C&B;Khag Tohor Modho Para;300;1800;120;2;1;4;1;1;2;4;3;2;1;3;3;3;3;4;3;40
Mymenshing;1;610106005;10900106005;Ghunti MathPara/Sahi Masjeed/ C&B;Back Side Of C And B Office;60;300;80;1;1;3;1;1;2;3;3;2;2;3;3;3;3;4;4;39
Mymenshing;1;610106006;10900106006;Ghunti MathPara/Sahi Masjeed/ C&B;Khag Bohur Sahe Masjeed;150;900;50;1;1;3;1;1;2;2;3;2;2;3;3;3;3;4;4;38
Mymenshing;1;610106007;10900106007;Ghunti MathPara/Sahi Masjeed/ C&B;C And V Modho Para;200;1200;50;2;1;4;1;1;2;1;2;3;3;3;3;3;4;4;4;41
Mymenshing;1;610107001;10900107001;Golgonda Rail Line South Side;DolaDiya Kola Bagan Mosjeed/Dorga Bare;180;1080;150;1;2;3;1;1;2;1;3;2;3;1;3;4;4;4;4;39
Mymenshing;1;610107002;10900107002;Golgonda Rail Line South Side;Golgova Monitaj Jubedar Bare;260;1560;150;1;1;3;1;1;1;1;3;2;3;1;3;4;4;4;4;37
