City;Ward;Match ID;New ID;Mahalla Name;Settlement Name;Households;Population;Settlement Age;Condition of access roads;Availability of drains;Electricity coverage;Solid waste collection service;Access to piped water supply;Availability of hygienic toilet;Street lighting;Attendance of children at school;Households with employment;Household income;Social problems;Land tenure security;Housing condition;Risk of eviction;Land Ownership;Type of Occupancy;Total Score
Narayanganj;1;670101001;;Purba Baten Para;Alim Uddin;16;50;5;2;1;4;1;1;4;1;1;4;3;3;4;1;4;;;34
Narayanganj;1;670101002;;Purba Baten Para;Shafiq Para;30;150;10;2;1;4;1;1;4;2;3;4;4;4;4;1;4;;;39
Narayanganj;1;670101003;;Purba Baten Para;Ashif Para;60;300;15;2;1;4;1;1;4;1;4;4;4;4;4;4;4;;;42
Narayanganj;1;670101004;;Purba Baten Para;Shirina Para;30;120;7;2;1;4;1;1;4;1;3;4;3;3;4;4;4;;;39
Narayanganj;1;670101005;;Purba Baten Para;Ali Ahmed;6;30;4;1;1;4;1;1;4;1;2;4;4;4;4;4;4;;;39
Narayanganj;1;670102001;;Baten Para Mujib Bug Rahamat Nagor;Sunder Ali Chuna Factory;40;170;12;2;1;3;1;1;2;1;1;2;1;2;1;1;1;;;20
Narayanganj;1;670102002;;Baten Para Mujib Bug Rahamat Nagor;Marjan Kinder Garten;17;90;9;2;2;3;1;1;2;1;2;1;3;1;4;2;4;;;29
Narayanganj;1;670102003;;Baten Para Mujib Bug Rahamat Nagor;Milon Shaeb Bosoti;38;190;11;2;1;4;2;1;3;1;3;2;3;1;4;2;3;;;32
Narayanganj;1;670102004;;Baten Para Mujib Bug Rahamat Nagor;Razzak;27;150;8;2;1;4;2;1;3;2;4;2;3;2;4;4;4;;;38
Narayanganj;1;670102005;;Baten Para Mujib Bug Rahamat Nagor;Haji Amir Islam;39;195;13;1;1;3;2;1;1;1;2;2;3;2;4;4;4;;;31
Narayanganj;1;670102006;;Baten Para Mujib Bug Rahamat Nagor;Motin Hujur;10;50;11;2;1;3;1;1;3;3;4;3;2;3;4;3;3;;;36
Narayanganj;1;670103001;;Baten Para;Lutfar Molla;35;140;11;1;1;1;1;1;4;2;1;2;1;3;4;1;4;;;27
Narayanganj;1;670103002;;Baten Para;Naya Bari;50;230;11;2;1;3;1;1;4;1;3;3;1;4;4;4;4;;;36
Narayanganj;1;670103003;;Baten Para;Amir Prodhan;40;160;11;2;1;3;1;1;4;1;1;3;1;4;3;3;4;;;32
Narayanganj;1;670103004;;Baten Para;Hasji Nawab Ali;20;80;11;1;1;3;1;1;3;1;3;3;1;4;4;3;4;;;33
Narayanganj;1;670103005;;Baten Para;Talimul Ummah;22;88;11;1;1;3;1;1;3;1;3;3;1;4;4;4;4;;;34
Narayanganj;1;670103006;;Baten Para;Matin Hujur;17;68;11;1;1;3;1;1;3;1;3;3;1;3;4;3;4;;;32
Narayanganj;1;670104001;;Baten Para Taltola;Hazi Motelib Para;40;170;11;1;1;4;1;1;2;1;2;2;2;2;4;2;4;;;29
Narayanganj;1;670104002;;Baten Para Taltola;Hazi Noor Mohammad;35;140;11;1;1;4;1;1;3;1;2;2;2;2;4;2;4;;;30
Narayanganj;1;670104003;;Baten Para Taltola;Bahauddin;45;180;11;1;1;4;1;1;4;3;2;2;2;4;4;3;4;;;36
Narayanganj;1;670104004;;Baten Para Taltola;Abdul Motin;40;160;11;1;1;4;1;1;3;1;3;2;2;3;4;3;4;;;33
Narayanganj;1;670104005;;Baten Para Taltola;Komar Ali;30;120;11;1;1;3;1;1;3;1;3;2;2;3;4;2;4;;;31
Narayanganj;1;670104006;;Baten Para Taltola;Abed Ali;18;72;11;1;1;3;1;1;3;1;3;2;2;4;4;3;4;;;33
Narayanganj;1;670104007;;Baten Para Taltola;Alteb Ali;19;76;11;1;1;2;1;1;2;1;3;2;2;4;4;1;4;;;29
Narayanganj;1;670105001;;Pinadi Momha Para;Pinadi School Paschim;90;370;11;1;1;4;1;1;3;1;3;2;1;3;4;2;4;;;31
Narayanganj;1;670105002;;Pinadi Momha Para;Pinadi Sajiber Bari;103;408;11;1;1;4;1;1;3;1;3;1;1;3;4;3;4;;;31
Narayanganj;1;670105003;;Pinadi Momha Para;Raseler Bari;50;260;11;1;1;4;2;4;1;1;1;4;2;3;3;4;2;;;33
Narayanganj;1;670105004;;Pinadi Momha Para;Mosjid Road;70;320;11;1;1;4;1;1;3;1;4;1;1;4;4;1;4;;;31
Narayanganj;1;670105005;;Pinadi Momha Para;Shiblur Bari;80;330;11;1;1;3;1;1;2;1;4;1;2;3;4;1;4;;;29
Narayanganj;1;670105006;;Pinadi Momha Para;Alam Masterer Bari;80;380;11;1;1;4;1;1;2;1;4;2;1;3;4;2;4;;;31
Narayanganj;1;670105007;;Pinadi Momha Para;Mostafer Bari;85;409;11;1;1;3;1;1;2;1;4;1;2;3;4;2;4;;;30
Narayanganj;1;670106001;;Pinadi Nuton Mohalla;Advocate Harun Rashed;11;55;11;4;4;4;3;1;3;4;2;3;2;2;3;1;3;;;39
Narayanganj;1;670106002;;Pinadi Nuton Mohalla;Jahidul Islam;18;94;11;4;4;4;3;1;4;4;4;3;3;3;3;3;4;;;47
Narayanganj;1;670106003;;Pinadi Nuton Mohalla;Anower Hossen;32;161;11;3;3;4;4;1;4;3;4;3;3;4;3;3;3;;;45
Narayanganj;1;670106004;;Pinadi Nuton Mohalla;Masud Mian;15;76;11;4;3;4;3;1;4;4;4;2;3;3;3;2;3;;;43
Narayanganj;1;670106005;;Pinadi Nuton Mohalla;Gani Mianer Bari;41;205;11;3;3;4;3;1;3;4;4;2;1;3;3;2;3;;;39
Narayanganj;1;670106006;;Pinadi Nuton Mohalla;Awel Sheb;20;110;11;2;3;4;3;1;4;4;2;2;2;4;3;2;3;;;39
Narayanganj;1;670106007;;Pinadi Nuton Mohalla;SM Motaleb;13;40;11;2;2;4;4;1;4;4;4;3;3;3;4;3;4;;;45
Narayanganj;1;670106008;;Pinadi Nuton Mohalla;Jaj Mian;5;22;11;4;4;3;3;1;4;3;3;3;2;3;3;2;3;;;41
Narayanganj;1;670107001;;Pinadi Hira Jhill;Nazrul Bari;50;250;11;1;1;4;4;1;4;1;4;3;1;3;4;3;4;;;38
Narayanganj;1;670107002;;Pinadi Hira Jhill;Sultana Chowdhori;85;250;11;2;4;3;4;1;4;1;4;3;2;4;4;4;4;;;44
Narayanganj;1;670107003;;Pinadi Hira Jhill;Abu Taher;68;300;11;4;4;4;4;1;4;1;4;3;1;3;4;4;4;;;45
Narayanganj;1;670107004;;Pinadi Hira Jhill;Hazi Abdul Latif;55;300;11;1;1;4;4;1;4;1;3;3;1;2;4;3;4;;;36
Narayanganj;1;670107005;;Pinadi Hira Jhill;Iqbal Hossen;30;150;11;2;1;4;4;4;4;2;4;3;1;4;4;4;4;;;45
Narayanganj;1;670107006;;Pinadi Hira Jhill;Rokshena;18;100;11;4;4;4;4;1;4;1;3;3;1;4;4;4;4;;;45
Narayanganj;1;670107007;;Pinadi Hira Jhill;Kulsum;45;150;11;1;1;4;4;1;4;1;3;3;1;4;4;4;4;;;39
Narayanganj;1;670108001;;Pinadi Purba CI Khola;Nuruddin Hazi Bari;61;244;11;2;1;4;1;1;2;2;2;3;1;2;1;2;4;;;28
Narayanganj;1;670108002;;Pinadi Purba CI Khola;Chan Mian Bari;68;300;11;2;3;4;1;1;2;1;3;3;1;2;4;4;4;;;35
Narayanganj;1;670108003;;Pinadi Purba CI Khola;DND Road;65;320;11;3;2;3;1;1;1;1;1;3;1;1;1;1;1;;;21
Narayanganj;1;670108004;;Pinadi Purba CI Khola;Kalam Bari;12;45;11;2;1;4;1;1;3;1;3;4;1;4;4;4;4;;;37
Narayanganj;1;670108005;;Pinadi Purba CI Khola;Karim Mistrier Bari;14;60;11;2;3;4;1;1;3;2;4;4;1;3;4;4;4;;;40
Narayanganj;1;670108006;;Pinadi Purba CI Khola;Salim Bari;25;120;11;2;2;4;1;1;4;3;4;4;1;4;4;4;4;;;42
Narayanganj;1;670108007;;Pinadi Purba CI Khola;Rakmot Ullah;30;120;11;2;1;3;1;1;3;1;3;4;1;3;4;4;4;;;35
Narayanganj;1;670108008;;Pinadi Purba CI Khola;Mohit Vila;38;180;11;2;3;4;1;1;2;1;3;3;1;2;4;4;4;;;35
Narayanganj;1;670108009;;Pinadi Purba CI Khola;Raber Barir Side;25;100;11;2;1;4;1;1;2;1;3;3;1;2;4;4;4;;;33
Narayanganj;1;670108010;;Pinadi Purba CI Khola;Sanower Monjil side;10;50;11;2;1;4;1;1;2;1;3;4;1;3;4;4;4;;;35
Narayanganj;1;670108011;;Pinadi Purba CI Khola;Boga Siddiker Bari;54;220;11;2;1;4;1;1;3;1;4;4;1;3;4;4;4;;;37
Narayanganj;1;670108012;;Pinadi Purba CI Khola;Monju Mistry;40;180;11;2;3;4;1;1;3;1;3;4;1;3;4;4;4;;;38
Narayanganj;1;670108013;;Pinadi Purba CI Khola;Salem Bari;22;110;11;1;2;4;1;1;3;4;4;4;1;3;4;4;4;;;40
Narayanganj;1;670108014;;Pinadi Purba CI Khola;Mohit Vila;58;240;11;1;2;4;1;1;3;1;4;4;1;4;4;4;4;;;38
Narayanganj;1;670108015;;Pinadi Purba CI Khola;Adbdur Rashed Mistry Bari;28;115;11;2;3;4;1;1;3;1;4;4;1;3;4;4;4;;;39
Narayanganj;1;670108016;;Pinadi Purba CI Khola;Shafiq Ullah;25;120;11;2;1;4;1;1;3;2;4;4;1;3;4;4;4;;;38
Narayanganj;1;670108017;;Pinadi Purba CI Khola;Jazia Liems Side;41;170;11;2;1;4;1;1;3;1;4;4;1;3;4;4;4;;;37
Narayanganj;1;670108018;;Pinadi Purba CI Khola;Awel Mistry Bari;15;60;11;1;2;4;2;1;3;1;4;4;1;4;4;4;4;;;39
Narayanganj;2;670201001;;Mijmiji Dhakin Para;Shaheda Begum Bari;15;55;11;1;2;2;1;1;2;2;2;1;1;2;3;1;4;;;25
Narayanganj;2;670201002;;Mijmiji Dhakin Para;Halema Bari;15;45;11;1;1;2;1;1;1;3;2;1;2;3;3;1;4;;;26
Narayanganj;2;670201003;;Mijmiji Dhakin Para;Joshna Bari;10;52;11;3;1;3;1;1;1;1;2;1;1;2;4;3;4;;;28
Narayanganj;2;670201004;;Mijmiji Dhakin Para;Billal Bari;19;70;11;2;1;2;1;1;2;1;3;1;2;2;4;2;4;;;28
