City;Ward;Match ID;New ID;Mahalla Name;Settlement Name;Households;Population;Settlement Age;Condition of access roads;Availability of drains;Electricity coverage;Solid waste collection service;Access to piped water supply;Availability of hygienic toilet;Street lighting;Attendance of children at school;Households with employment;Household income;Social problems;Land tenure security;Housing condition;Risk of eviction;Land Ownership;Type of Occupancy;Total Score
Noakhali;1;390111;13900101001;Madhushudanpur;Lal Miar Bari;30;200;60;1;3;1;1;1;2;2;3;1;2;4;4;3;4;4;4;40
Noakhali;1;390112;13900101002;Madhushudanpur;Amzad Kabiraj Bari;70;200;80;3;1;4;1;1;2;1;3;4;2;4;4;4;4;4;4;46
Noakhali;1;390113;13900101003;Madhushudanpur;Hazi Bari;50;200;60;3;1;3;1;1;1;1;4;4;1;1;4;4;3;4;4;40
Noakhali;1;390114;13900101004;Madhushudanpur;Jahedul Hoque Bari;15;100;85;3;1;4;1;1;1;1;3;4;1;4;4;3;4;4;4;43
Noakhali;1;390115;13900101005;Madhushudanpur;Abdul Salam Bari;40;150;90;3;1;3;1;1;1;1;4;1;1;4;4;3;4;4;4;40
Noakhali;1;390121;13900102001;Khandakarpara;Nazir Miar Bari;30;300;60;2;1;3;1;1;1;1;4;1;1;4;4;4;4;4;4;40
Noakhali;1;390122;13900102002;Khandakarpara;Panaullah Miar Bari;15;200;80;1;1;4;1;1;3;4;4;2;1;4;4;3;4;4;4;45
Noakhali;1;390123;13900102003;Khandakarpara;Hashem Chokidar Bari;14;80;180;1;1;4;1;2;3;4;4;1;2;4;4;4;4;4;4;47
Noakhali;1;390124;13900102004;Khandakarpara;Shahlam Khalifar Bari;30;250;200;1;1;4;1;3;4;2;4;2;2;4;4;4;4;4;4;48
Noakhali;1;390125;13900102005;Khandakarpara;Rahamatullah Bari;8;50;60;1;1;4;1;1;2;1;4;2;1;4;4;4;4;4;4;42
Noakhali;1;390126;13900102006;Khandakarpara;Khandakar Bari;25;200;150;4;1;4;1;1;4;4;4;2;2;2;4;4;4;4;4;49
Noakhali;1;390127;13900102007;Khandakarpara;Boro Bari;12;60;200;1;1;4;1;1;1;1;4;2;2;1;4;3;4;4;4;38
