City;Ward;Match ID;New ID;Mahalla Name;Settlement Name;Households;Population;Settlement Age;Condition of access roads;Availability of drains;Electricity coverage;Solid waste collection service;Access to piped water supply;Availability of hygienic toilet;Street lighting;Attendance of children at school;Households with employment;Household income;Social problems;Land tenure security;Housing condition;Risk of eviction;Land Ownership;Type of Occupancy;Total Score
Patuakhali;9;3400901003;13400901003;Tawn Kalikapur Badghat;Gudi Ghat Sultan Mridha Bari;15;77;40;2;1;3;1;3;4;2;4;3;3;2;4;4;4;4;4;48
Patuakhali;9;3400901001;13400901001;Tawn Kalikapur Badghat;Gudi Ghat Sarak Ar Mebi School;40;175;40;2;1;4;1;2;4;2;4;4;3;2;4;4;4;4;4;49
Patuakhali;9;3400901002;13400901002;Tawn Kalikapur Badghat;Gude Ghat Matha;13;62;20;2;1;2;1;3;4;1;4;3;3;2;4;4;4;4;4;46
Patuakhali;9;3400901007;13400901007;Tawn Kalikapur Badghat;Shapla Sarak;21;95;25;2;1;4;1;2;4;3;4;3;4;2;4;4;4;4;4;50
Patuakhali;9;3400901005;13400901005;Tawn Kalikapur Badghat;Royal School And Collage;15;72;25;2;2;4;1;2;4;3;4;4;3;2;4;4;4;4;4;51
Patuakhali;9;3400901004;13400901004;Tawn Kalikapur Badghat;Lotif Mridha Bari Sonlogno;13;53;25;2;1;4;1;2;4;3;4;4;3;3;4;4;4;4;4;51
Patuakhali;9;3400901006;13400901006;Tawn Kalikapur Badghat;Room Bekari O Bondhu Jon Bekari;19;110;30;2;1;4;1;3;4;3;4;3;3;2;4;4;4;4;4;50
Patuakhali;9;3400902001;13400902001;Ukilbari Area;Nannu Kha Bari Altaf Doctor;20;88;60;2;1;4;1;3;1;3;4;3;3;3;2;2;4;4;2;42
Patuakhali;9;3400902007;13400902007;Ukilbari Area;Akon Bari;20;90;100;1;1;2;1;1;3;1;4;1;4;2;1;4;1;1;4;32
Patuakhali;9;3400902004;13400902004;Ukilbari Area;Jahangir Mridha Bari;15;70;60;2;1;1;1;3;1;2;3;4;4;3;3;1;4;4;2;39
Patuakhali;9;3400902005;13400902005;Ukilbari Area;Ajij Profesor Bari;19;90;55;2;1;4;1;3;3;1;3;3;4;3;1;4;4;4;2;43
Patuakhali;9;3400902003;13400902003;Ukilbari Area;Gaji Bari;20;108;56;2;1;4;1;3;3;3;3;3;4;3;1;2;4;4;2;43
