City;Ward;Match ID;New ID;Mahalla Name;Settlement Name;Households;Population;Settlement Age;Condition of access roads;Availability of drains;Electricity coverage;Solid waste collection service;Access to piped water supply;Availability of hygienic toilet;Street lighting;Attendance of children at school;Households with employment;Household income;Social problems;Land tenure security;Housing condition;Risk of eviction;Land Ownership;Type of Occupancy;Total Score
Rangpur;1;10101001;11600101001;Hazi Para;Muchir Mor;115;567;59;2;1;4;1;1;1;1;2;4;4;3;4;1;4;4;4;41
Rangpur;1;10101002;11600101002;Hazi Para;Haz Para;15;48;50;1;1;4;1;1;1;1;4;4;3;3;4;1;4;4;4;41
Rangpur;1;10101003;11600101003;Hazi Para;Rurbo Chowra Para;30;124;40;2;1;4;1;1;1;1;4;3;2;3;4;1;4;4;4;40
Rangpur;1;10101004;11600101004;Hazi Para;Dokhin Chowrapara;40;158;80;1;1;4;1;1;1;1;4;3;2;3;4;1;4;4;4;39
Rangpur;1;10101005;11600101005;Hazi Para;Dokhin Chowra Para Lotif Saheb Ar Bari;35;162;80;1;1;4;1;1;1;1;4;2;2;2;4;1;4;4;4;37
Rangpur;1;10101006;11600101006;Hazi Para;School Para;58;281;80;1;1;4;1;1;1;1;4;2;2;3;4;1;4;4;4;38
Rangpur;1;10101007;11600101007;Hazi Para;Dofiq Member Para;50;207;100;4;1;4;1;1;1;1;4;3;2;4;4;1;4;4;4;43
Rangpur;1;10102001;11600102001;Kutiyalpara;Bala Para;30;138;70;4;1;4;1;1;3;1;4;4;3;3;4;1;4;4;4;46
Rangpur;1;10102002;11600102002;Kutiyalpara;CO Bari;40;186;60;2;1;4;1;1;1;1;4;4;3;3;4;3;4;4;4;44
Rangpur;1;10102003;11600102003;Kutiyalpara;Purbo Bala Para;25;78;80;2;1;4;1;1;1;1;4;4;3;3;4;1;4;4;4;42
Rangpur;1;10102004;11600102004;Kutiyalpara;OMR Master Para;12;59;80;2;1;4;1;1;1;1;4;3;4;3;4;1;4;4;4;42
Rangpur;1;10103001;11600103001;Seat Uttom;Purbo Para;60;286;700;2;1;4;1;1;2;1;1;2;1;2;4;1;4;4;4;35
Rangpur;1;10103002;11600103002;Seat Uttom;Biduatary;28;131;700;1;1;4;1;1;2;1;2;3;1;2;4;1;4;4;4;36
Rangpur;1;10103003;11600103003;Seat Uttom;Sokerer Bari;10;47;30;1;1;4;1;1;2;1;2;2;2;2;4;2;4;4;4;37
Rangpur;1;10104001;11600104001;Purbo Monthona;Lal Brige;35;174;25;2;1;4;1;1;1;1;1;1;1;2;1;1;1;2;1;22
Rangpur;1;10104002;11600104002;Purbo Monthona;Vatia Para;50;232;50;1;1;4;1;1;1;1;3;1;1;2;4;1;4;4;4;34
