Ward;Mahalla Name;Settlement Name;Match ID
1;Hazi Para;Muchir Mor;10101001
1;Hazi Para;Haz Para;10101002
1;Hazi Para;Rurbo Chowra Para;10101003
1;Hazi Para;Dokhin Chowrapara;10101004
1;Hazi Para;Dokhin Chowra Para Lotif Saheb Ar Bari;10101005
1;Hazi Para;School Para;10101006
1;Hazi Para;Dofiq Member Para;10101007
1;Kutiyalpara;Bala Para;10102001
1;Kutiyalpara;CO Bari;10102002
1;Kutiyalpara;Purbo Bala Para;10102003
1;Kutiyalpara;OMR Master Para;10102004
1;Seat Uttom;Purbo Para;10103001
1;Seat Uttom;Biduatary;10103002
1;Seat Uttom;Sokerer Bari;10103003
1;Purbo Monthona;Lal Brige;10104001
1;Purbo Monthona;Vatia Para;10104002
1;Purbo Monthona;Primary School Para;10104003
1;Purbo Monthona;Poschim Tary;10104004
1;Purbo Monthona;Mistri Para;10104005
1;Purbo Monthona;Bala Tary;10104006
1;Purbo Monthona;Abashon;10104007
1;Monthona;Tanari Para;10105001
1;Monthona;Khamar Para;10105002
1;Monthona;Majarer Par;10105003
1;Monthona;Akijer Pichone;10105004
1;Monthona;Vort Tary;10105005
1;Monthona;Gorer Par;10105006
1;Monthona;Vuriar Tari;10105007
1;Gangahari;School Er Par;10106001
1;Gangahari;Tali Para;10106002
1;Ranachandi Sheikhpara;Bala Para;10107001
1;Ranachandi Jummapara;Aminul Para;10108001
1;Ranachandi Jummapara;Jumma Para;10108002
1;Ranachandi Jummapara;Dhoni Para;10108003
1;Ranachandi Jummapara;Chawra Para;10108004
1;Ranachandi Jummapara;Ray Para;10108005
1;Monddhopara;Safa Hazi Para;10109001
1;Monddhopara;Rajakar Para;10109002
1;Monddhopara;Moulove Soylovi Para;10109003
1;Monddhopara;Moulove Dokhin Para;10109004
1;Doctor Para;Baodiyar Mor;10110001
1;Doctor Para;Sultan Doctor Er Bari;10110002
1;Doctor Para;Liyakot Er Bari;10110003
1;Monahar Chawrapar;Vokto Para;10111001
1;Monahar Chawrapar;Babul Para;10111002
1;Ranachandi Mondolpara;Monohor Chowrapara Masjeed Par;10112001
1;Ranachandi Mondolpara;Mondol Para;10112002
1;Monthona Mondolpara;Vangnir Para;10114001
1;Monthona Mondolpara;Mondol Para;10114002
2;Goalu;Choray Dabri;10201001
2;Goalu;Purbo Goalu;10201002
2;Purbo Abhiram Doctor Para;Babor Ali Adorsho Para-1;10202001
2;Purbo Abhiram Doctor Para;Babor Ali Adorsho Para-2;10202002
2;Purbo Abhiram;Bamon Para;10203001
2;Purbo Abhiram;Bamon Para Bazar;10203002
2;Purbo Abhiram;Bamon Para Digir Par;10203003
2;Purbo Baroghoria;Antoram Digir Par;10204001
2;Poschim Baroghoria;Poschim Baroghoria Baitul Aman Jame Masjeed;10205001
2;Horiram-Piroj;Horiram-Piroj-1;10206001
2;Horiram-Piroj;Horiram-Piroj-2;10206002
2;Horiram-Piroj;Purbo Horiram Piroj-1;10206003
2;Horiram-Piroj;Borobari Horiram Piroj;10206004
2;Horiram-Piroj;Purbo Horiram Piroj-2;10206005
2;Uttorpara, Chowrapara, Baoipara;Kalartari, Baoipara;10207001
2;Uttorpara, Chowrapara, Baoipara;Masud Alir Bari, Baoipara;10207002
2;Uttorpara, Chowrapara, Baoipara;Baoipara Eidgah Moydan, Chowrapara;10207003
2;Uttorpara, Chowrapara, Baoipara;Dogarpar, Uttorpara;10207004
2;Moddho Abhiram Sukanchoki;Abhiram Pakar Matha, Jumma Para;10208001
2;Moddho Abhiram Sukanchoki;Sukan Choki Sorkar Tari;10208002
2;Moddho Abhiram Sukanchoki;Moddho Abhiram, Muktijodha Ohidar Master;10208003
2;Moddho Abhiram Sukanchoki;Abhiram Sotiser Tari;10208004
2;Monohor;Monohor Bondher Tari (Poschim Para);10209001
2;Monohor;Monohor Bazer;10209002
2;Monohor;Monohor Babu Para;10209003
2;Monohor;Bokkor Member Para;10209004
3;Niyamot;Sadiqul Islam Boshoty;10301001
3;Niyamot;Motiwur Rahman Boshoty;10301002
3;Niyamot;Titul Ar Boshoty;10301003
3;Niyamot;Monjurul Rahman (Vuttu);10301004
3;Niyamot;Shahin (Sarker);10301005
3;Niyamot;Karim Uddin;10301006
3;Niyamot;Ruhul Amin Badol;10301007
3;Niyamot;Single Mujibur Rahman;10301008
3;Niyamot;Md. Rubel Islam Boshoty;10301009
3;Purbo Para;Uttam Purbo Para-1;10302001
3;Purbo Para;Uttam Purbo Para-2;10302002
3;Purbo Para;Sahid Mistry Bagan Bari;10302003
3;Purbo Para;Basunia Para;10302004
3;Purbo Para;Mahfuj Boshoty;10302005
3;Purbo Para;Dhaltaiya Para;10302006
3;Baroghoria;Khamar Para-1;10303001
3;Baroghoria;Khamar Para-2;10303002
3;Baroghoria;New Munsi Para;10303003
3;Baroghoria;Basunia Masjid;10303004
3;Baroghoria;Al Falah School Para;10303005
3;Master Para;Taslim Uddin Para;10304001
3;Master Para;Nurbanur Dokan;10304002
3;Uttorpara;Dhilar Para-1;10305001
3;Uttorpara;Md. Atier Mia;10305002
3;Uttorpara;Sultari Mia;10305003
3;Betar Para;Hayir Tari;10306001
3;Betar Para;Alam Doctor Area;10306002
3;Betar Para;Robiul Islam;10306003
3;Kellabondo/Kuthir Par;Md. Rakib Mia;10307001
3;Kellabondo/Kuthir Par;Md. Anamul Boshoty;10307002
3;Kellabondo/Kuthir Par;Juljalal Hujur Ar Boshoty;10307003
3;Kellabondo/Kuthir Par;Md. Zamal Mia Ar Boshoty;10307004
3;Bania Para;Shamsul Hujr Ar Boshoty-1;10308001
3;Bania Para;Shamsul Hujr Ar Boshoty-2;10308002
3;Bania Para;Md. Janab Ali Ar Boshoty;10308003
3;Bania Para;Nurn Nabi (Bidduthi-1);10308004
3;Bania Para;Nurn Nabi (Bidduthi-2);10308005
3;Bania Para;Ashik Ali Ar Boshoty;10308006
3;Bania Para;Amzad(Munshi);10308007
3;Bania Para;Bargoria Govt. Primury School;10308008
3;Bania Para;Bipul (ASP)-1;10308009
3;Bania Para;Bipul (ASP)-2;10308010
3;Bania Para;Shafianil (Driver)-1;10308011
3;Bania Para;Shafianil (Driver)-2;10308012
4;Jalchattra;Buddir Bazar;10401001
4;Jalchattra;Jalchattra Jame Masjeed;10401002
4;Jalchattra;Pocher Trai;10401003
4;Jalchattra;Dighir Par;10401004
4;Jalchattra;Gusso Gram;10401005
4;Jalchattra;Chowdhuri Para;10401006
4;Jalchattra;Shorker Par;10401007
4;Jalchattra;Burirthan;10401008
4;Jalchattra;Goutomer Khamar;10401009
4;Amasu Colony;Purbo Colony;10402001
4;Amasu Colony;Kukrul Purbo Para;10402002
4;Amasu Colony;Dokkir Para Bottola;10402003
4;Amasu Kukrul;Kaimaguli Kukrul, Variya Para;10403001
4;Amasu Kukrul;Santo Para Aziz Road;10403002
4;Amasu Kukrul;Moddho Para, Zoddar Road;10403003
4;Amasu Kukrul;Moddho Kukrul Hyder Mistry Goli;10403004
4;Kaiyaguli Kukrul;Uttar Para;10404001
4;Kaiyaguli Kukrul;Goutom Er Khamar;10404002
4;Kaiyaguli Kukrul;Buriyal Ar Mor;10404003
4;Sardarpara And Hazipara;Vata Bari, Sardarpara;10405001
4;Sardarpara And Hazipara;Vatiya Tary;10405002
4;Sardarpara And Hazipara;Safi Member, Jamal Hossain;10405003
4;Sardarpara And Hazipara;Akter Mor, Paglir Mazar;10405004
4;Sardarpara And Hazipara;Anowarul Neta, Mofijul Islam;10405005
4;Khatkhatia Taltola;Khatkhatia;10406001
4;Khatkhatia Taltola;Adorsho Purbo Para;10406002
4;Khatkhatia Taltola;Monir Khalifa (Master Para);10406003
4;Khatkhatia Taltola;Mashankura;10406004
4;Khatkhtia Atiatari;Nilkontho;10407001
4;Khatkhtia Atiatari;Athera Tary Kali Mandir;10407002
4;Khatkhtia Atiatari;Dhap Para;10407003
