City;Ward;Match ID;New ID;Mahalla Name;Settlement Name;Households;Population;Settlement Age;Condition of access roads;Availability of drains;Electricity coverage;Solid waste collection service;Access to piped water supply;Availability of hygienic toilet;Street lighting;Attendance of children at school;Households with employment;Household income;Social problems;Land tenure security;Housing condition;Risk of eviction;Land Ownership;Type of Occupancy;Total Score
Sylhet;1;910101001;;Darga Mahalla;Sohed Samsuddain Quarter;35;175;40;4;4;4;2;2;2;4;4;4;4;3;4;1;3;2;3;50
Sylhet;1;910101002;;Darga Mahalla;6 No. Goli;9;40;10;4;3;4;2;2;2;4;3;3;3;3;2;1;2;1;3;42
Sylhet;1;910103001;;Dharshan Dauri;Payra 61-66;15;60;40;4;3;4;2;2;3;4;3;4;3;3;4;2;3;4;4;52
Sylhet;1;910103002;;Dharshan Dauri;Payra 81 No. Goli;8;45;20;4;3;4;2;2;2;4;3;3;3;3;2;1;2;1;3;42
Sylhet;1;910104001;;Rajar Gali;Iqbal Ahmad Miyar Bari;15;44;9;4;4;4;1;3;4;4;3;3;4;2;2;2;2;1;3;46
Sylhet;1;910104002;;Rajar Gali;Ful Miyar Colony;10;15;9;4;4;4;1;3;4;4;3;3;4;2;2;2;2;1;3;46
Sylhet;1;910104003;;Rajar Gali;Nazma Khonem Chowdory Bari;18;100;17;4;4;4;1;3;4;4;3;3;4;2;2;2;2;1;3;46
Sylhet;1;910104004;;Rajar Gali;Monjur Ahmewd Ar Bari;7;40;9;4;4;4;1;3;4;4;3;3;4;2;2;2;2;1;3;46
Sylhet;1;910104005;;Rajar Gali;Taluk Motin Ar Bari;5;25;10;4;4;4;1;3;4;3;3;3;4;3;2;2;2;3;4;49
Sylhet;1;910105001;;Ambar Khana Poschim;Genu Miyar colony;50;250;200;4;3;4;1;2;2;4;3;3;4;3;2;1;2;1;2;41
Sylhet;1;910106001;;Miya Fazil Chist;Bari Miyar Colony;9;30;40;1;1;4;2;1;1;4;4;3;2;4;1;2;1;1;2;34
Sylhet;1;910106002;;Miya Fazil Chist;Abdul Ahamod Colony;17;100;35;4;1;4;2;1;1;4;4;3;2;4;1;1;1;1;2;36
Sylhet;1;910106003;;Miya Fazil Chist;Salek Ahamod Ar Colony;27;100;50;1;1;4;1;1;1;4;1;3;2;4;1;2;1;1;2;30
Sylhet;1;910106004;;Miya Fazil Chist;Putul Miyar Colony;16;96;40;4;1;4;1;1;1;4;4;3;2;4;1;2;1;1;2;36
Sylhet;1;910106005;;Miya Fazil Chist;Astor Ali Colony;8;32;30;4;1;4;1;1;1;4;4;3;2;4;1;2;1;1;2;36
Sylhet;1;910106006;;Miya Fazil Chist;Montu Miyar Colony;6;25;50;2;1;4;1;1;1;4;4;3;2;4;1;2;1;1;2;34
Sylhet;1;910106007;;Miya Fazil Chist;Abdul Ali Colony;15;50;10;4;1;4;2;1;2;4;4;3;2;4;1;1;1;1;2;37
Sylhet;1;910106008;;Miya Fazil Chist;Parvin Begum Ar Colony;8;30;15;4;1;4;2;1;3;4;4;3;2;4;1;3;1;1;2;40
Sylhet;1;910106009;;Miya Fazil Chist;Takul Rana Colony;12;60;20;4;1;4;2;1;2;4;4;3;2;4;1;2;1;1;2;38
Sylhet;1;910107001;;Chuhatta;Ajij Miyar Colony;19;90;10;4;3;4;4;2;3;4;4;3;2;4;1;4;2;1;2;47
Sylhet;1;910107002;;Chuhatta;Dulal Ahmod Colony;16;66;22;4;3;4;4;1;4;4;4;3;2;4;1;4;2;1;2;47
Sylhet;1;910107003;;Chuhatta;Aktar Hossain Belal Colony;8;40;22;4;1;4;4;1;4;4;4;3;2;4;1;4;2;1;2;45
Sylhet;1;910107004;;Chuhatta;Sevin Sarjan Quarter;6;30;60;4;4;4;4;2;3;4;4;3;3;4;1;4;1;2;3;50
Sylhet;1;910107005;;Chuhatta;Sohed Ahmod Colony;6;24;10;4;3;4;4;2;4;4;4;3;2;4;1;4;1;1;2;47
Sylhet;1;910107006;;Chuhatta;Sahjan Ahomod Ar Colony;5;24;12;4;3;4;4;2;4;4;4;3;2;4;1;4;2;1;2;48
Sylhet;2;910201001;;Daira Para;Sahjan Miyar Bari;25;100;50;2;2;4;1;1;3;1;3;2;3;3;3;2;3;4;4;41
Sylhet;2;910201002;;Daira Para;Mustab Dar Ar Bari;7;35;100;4;4;4;4;3;4;3;3;3;4;3;4;3;3;3;3;55
Sylhet;2;910201003;;Daira Para;Meher Kante Dar Gong;10;50;60;2;1;4;1;2;3;4;4;3;4;3;3;3;4;4;4;49
Sylhet;2;910201004;;Daira Para;Jalal Miyar Bari;20;80;50;2;1;4;3;3;2;4;3;3;4;3;3;4;3;4;4;50
