Poor Settlement Name;Poor Settlement-ID (DB);Poor Settlement Name (DB);Mahalla-ID (DB);Mahalla Name (DB);Ward-ID (DB);Ward Name (DB);Similarity (%);verify status;Coordinates
Sohed Sentu Sarak (2);6922;Sohed Sentu Sarak (2);6920;Mollik Road;6919;18;100;1;{'type': 'Polygon', 'coordinates': [[[90.36686149742054, 22.707457650318812], [90.36682736215953, 22.707410877423957], [90.36677758171915, 22.707294341711098], [90.3667639213673, 22.707195889959323], [90.36674496025047, 22.707041993869854], [90.3667871671396, 22.707023730331215], [90.36681698369843, 22.706996889873604], [90.36678785393153, 22.706894649002315], [90.36712277335995, 22.7068824070569], [90.36714161418722, 22.706942720557375], [90.3671543355421, 22.707123761567644], [90.36708933518678, 22.707145424016314], [90.36708780901999, 22.707297813330683], [90.36717670464095, 22.70729940210786], [90.36718861143409, 22.707416502696258], [90.36711719506698, 22.707447741344982], [90.36696457594962, 22.70746362886551], [90.36686149742054, 22.707457650318812]]]}
Usuf Vela;6923;Usuf Vela;6920;Mollik Road;6919;18;100;1;{'type': 'Polygon', 'coordinates': [[[90.36611225028864, 22.70704447883787], [90.3660981481229, 22.70677965855968], [90.36612698753832, 22.706772899539406], [90.36613845904205, 22.706823549045833], [90.36616489100389, 22.70688037926307], [90.36618292041726, 22.70687794763189], [90.36619108524575, 22.706847810332683], [90.36618102615572, 22.706746959911868], [90.36615672154498, 22.70671498463402], [90.36604683023683, 22.706665994558502], [90.36599887746792, 22.706655108581412], [90.36599310871134, 22.70661735399441], [90.3660001972097, 22.70657000853014], [90.36607179431964, 22.70655837096715], [90.36620118075145, 22.706574807427277], [90.36624800244368, 22.706547928149845], [90.3662674124248, 22.706483343831845], [90.36626207371384, 22.706413557364506], [90.36623351700868, 22.70633282836226], [90.36620154644467, 22.706324774298047], [90.36613195476176, 22.706315372106687], [90.36609686568335, 22.706297285620256], [90.36608592479833, 22.70625237177154], [90.3661069735155, 22.706222683066667], [90.3661970426009, 22.706181362638386], [90.36625331639243, 22.706220913903707], [90.36631217437342, 22.706263327671316], [90.36646627231403, 22.70627110202138], [90.36661154262062, 22.706253558571003], [90.36674298240544, 22.70626712145156], [90.36677914291694, 22.706300503681817], [90.36677573696647, 22.706376047055766], [90.3667516487403, 22.706425343815432], [90.36672806816412, 22.70647177096859], [90.36672349788677, 22.70649711932389], [90.36675970047375, 22.706546277875788], [90.36676458398226, 22.706638534805816], [90.36674463853538, 22.706695471237097], [90.36668906303733, 22.706724761088562], [90.3665855626716, 22.70675368266671], [90.36656344645814, 22.70676950975586], [90.3665405146869, 22.706866133078123], [90.36653453587422, 22.706943116557362], [90.3665920570587, 22.70706393727606], [90.36654164846311, 22.707098474042276], [90.3665095695441, 22.707049784071465], [90.36649607991366, 22.70701539370572], [90.36644154248332, 22.707047549533026], [90.36642822969374, 22.707103813381558], [90.36635537081672, 22.707077088623286], [90.36630317755568, 22.707070335831244], [90.36613601167434, 22.70706593775386], [90.36611225028864, 22.70704447883787]]]}
Sohed Sentu Sarak (1);6921;Sohed Sentu Sarak (1);6920;Mollik Road;6919;18;100;1;{'type': 'Polygon', 'coordinates': [[[90.36668172602373, 22.706083621982998], [90.36666058684595, 22.70588574811431], [90.36649366144064, 22.705898560480026], [90.36630612638179, 22.705912376005823], [90.36625558843612, 22.705898149508116], [90.3662399258826, 22.70582169364217], [90.36631823424786, 22.705814821341903], [90.36649748105441, 22.705784770299015], [90.36660246044414, 22.705730985584506], [90.36660429002495, 22.705643972061523], [90.3665945105944, 22.70545467746057], [90.36665842336068, 22.70546026788444], [90.36665412019502, 22.70539239134298], [90.3666517127714, 22.705262360931737], [90.36676500209867, 22.70523317784189], [90.36677199836633, 22.7051996966752], [90.36675450349713, 22.70516089332584], [90.36671967769668, 22.70514483817899], [90.36660826131347, 22.705151667019116], [90.3665631629126, 22.70514818479932], [90.3665450923774, 22.70513507918386], [90.3665141043279, 22.705108856142477], [90.36652551251402, 22.705038911790716], [90.36653113787258, 22.704974359009856], [90.36653089611558, 22.70488352563791], [90.36657453438387, 22.70482247131817], [90.3666004075578, 22.704863048267914], [90.36665068909684, 22.704877872841493], [90.36672023870935, 22.704871737530873], [90.36675952875542, 22.70487104988058], [90.36677632057452, 22.704887743953385], [90.36680232274645, 22.704976725493434], [90.36681266536739, 22.704990446388965], [90.3668615695744, 22.704971808923478], [90.36688611480787, 22.704997449080036], [90.36690686057302, 22.705047599200896], [90.36691731307114, 22.705102553656946], [90.36692691837752, 22.70532304292113], [90.36696356596298, 22.705539287015643], [90.36685801647765, 22.705572396604662], [90.3668419721663, 22.705594544280043], [90.36686465039523, 22.705644689971017], [90.3668807647601, 22.70564883616098], [90.36699021569878, 22.705629462213164], [90.36701503819903, 22.70575908263775], [90.36704151694482, 22.70602674289679], [90.36709097372483, 22.706456895304665], [90.36710430085692, 22.70662359274589], [90.3670689213105, 22.70664160166662], [90.3669594679889, 22.706660378088458], [90.36691693288162, 22.70665210936341], [90.36689488745004, 22.706597779096587], [90.36688638475121, 22.7065493936854], [90.36689249649676, 22.70642567823243], [90.36690109878077, 22.70626968712501], [90.36696408514385, 22.70621755220757], [90.36696586784404, 22.70616137451731], [90.36693551405871, 22.70613156456039], [90.36687430090826, 22.706123936249632], [90.36680151091537, 22.706122907963923], [90.36674675181791, 22.706120045539446], [90.3666945549248, 22.70611179890009], [90.36668172602373, 22.706083621982998]]]}
Khan Manjel;6925;Khan Manjel;6920;Mollik Road;6919;18;100;1;{'type': 'Polygon', 'coordinates': [[[90.36415429326377, 22.705171813491024], [90.3641336571884, 22.70516277706362], [90.36409695323951, 22.70511839976961], [90.36425144877232, 22.70508219261463], [90.36425467526283, 22.70493828518339], [90.36455339771555, 22.704880236022266], [90.3648738195111, 22.704843650123497], [90.36490381459473, 22.7048842179529], [90.36492575111323, 22.704995080939305], [90.3649833173241, 22.705328166747517], [90.36499479968387, 22.705383118986003], [90.36494329227041, 22.705391841800523], [90.36477263859246, 22.70535876583056], [90.36473400739531, 22.705365068854245], [90.36469128922661, 22.705384767237817], [90.36464408396543, 22.705461366563522], [90.36461478134161, 22.705487727377683], [90.3646118110408, 22.70553362918654], [90.36458813749037, 22.7055451568944], [90.36456437534282, 22.705523219667437], [90.36454361516533, 22.705467332390096], [90.36453711389113, 22.70534735079445], [90.36450998411458, 22.705221201241052], [90.36454191256549, 22.705213479323596], [90.36456772953389, 22.705233021506498], [90.36459976050747, 22.70526402328508], [90.36470228529906, 22.705256140444874], [90.36472051329596, 22.70513419019084], [90.36472299230944, 22.70509737289182], [90.3647005368373, 22.704985076840213], [90.36467264476934, 22.704960280600524], [90.36464428424758, 22.704953174137856], [90.36457115459392, 22.704969595282293], [90.36452183505206, 22.705026120311395], [90.36449212095243, 22.705091684056878], [90.36448455213038, 22.705152416616], [90.36441188578493, 22.705149235625356], [90.36436395264124, 22.705145520204802], [90.36421819443481, 22.705173102258485], [90.36415429326377, 22.705171813491024]]]}
Hamid Monjel;6924;Hamid Monjel;6920;Mollik Road;6919;18;100;1;{'type': 'Polygon', 'coordinates': [[[90.365519750327, 22.70670670042772], [90.36555548423654, 22.706579451304652], [90.36559821406955, 22.706564055322954], [90.36563677193418, 22.706530024008494], [90.3656566835428, 22.706460179809383], [90.36565240114285, 22.706399952368738], [90.36563115935556, 22.706356974323054], [90.36560125004237, 22.70634891542793], [90.3655857997541, 22.70635229724611], [90.36554847178424, 22.706461383237603], [90.3655084251004, 22.706516931228258], [90.36548575669461, 22.706518895307408], [90.3653490977568, 22.706480483505292], [90.36532530869144, 22.706448506920182], [90.365322041829, 22.706382540271083], [90.36529708267264, 22.70629797829456], [90.36531843760805, 22.706189406904198], [90.36535602824942, 22.706179281527948], [90.3653992796299, 22.706166274775036], [90.36542087423564, 22.70614805867029], [90.36540493556674, 22.705967383377622], [90.36548522914958, 22.70593182255345], [90.36558825572145, 22.705918679189033], [90.36557628823323, 22.705875201866895], [90.3655504468903, 22.705846576514595], [90.36551730882411, 22.705786893064793], [90.36551097037244, 22.705728582604785], [90.36554286207968, 22.70570699644607], [90.36559179812998, 22.70570019160684], [90.36560938063668, 22.705723577019977], [90.36564513078777, 22.705796640533038], [90.36567193800482, 22.705800881925605], [90.36576313406184, 22.705795892734038], [90.36580454376718, 22.705865596758315], [90.3658510303504, 22.705906604766145], [90.36590517157744, 22.70591938893158], [90.3659479659588, 22.70592837444637], [90.36597852772333, 22.70598806369678], [90.36599362275275, 22.706044919883208], [90.3660009297735, 22.706079802514697], [90.36599020112806, 22.706114726404362], [90.36592793308533, 22.70614642166843], [90.36588315998249, 22.706168515435365], [90.3658744747384, 22.706196741618786], [90.3658745750847, 22.706234509175474], [90.36598670128109, 22.706348990296746], [90.36607704881668, 22.706412367334963], [90.366031350514, 22.70647414333777], [90.36595780783578, 22.706529289995842], [90.365865571798, 22.706530935168832], [90.36584552819272, 22.706551060079057], [90.3658360358419, 22.706663428991718], [90.36569587489721, 22.70666470557449], [90.36566349053894, 22.706694898207306], [90.36554758960146, 22.70671141755408], [90.365519750327, 22.70670670042772]]]}
Serajul Sir Ar Bari;6927;Serajul Sir Ar Bari;6926;Shrinath Chaterji Len;6919;18;100;1;{'type': 'Polygon', 'coordinates': [[[90.36453708107936, 22.70716979067881], [90.36452906035993, 22.70705985210912], [90.36452621330085, 22.706957670439692], [90.36459543290555, 22.70694810064239], [90.36460441440359, 22.70693433556828], [90.36462014032834, 22.706913384024098], [90.36464298417178, 22.706904666882384], [90.3647083519898, 22.706900035945843], [90.36473507567129, 22.706896987066237], [90.36474471790729, 22.706889495189355], [90.36474918569472, 22.706873947622963], [90.36474361320128, 22.70683720844651], [90.3648195957454, 22.706827473736567], [90.3649091058933, 22.706818006932426], [90.36500922444496, 22.7068010459814], [90.36506683406995, 22.706785675951163], [90.36517308056824, 22.706771987668358], [90.3651731352424, 22.706792604451845], [90.36518447336226, 22.706817378621082], [90.36520447718941, 22.706830778769156], [90.36525861301796, 22.70684141183146], [90.36526928007456, 22.706856028470355], [90.36526827317488, 22.706962103265855], [90.36526139455198, 22.70704010466432], [90.36522857217402, 22.707050936244418], [90.36520092189413, 22.707068927109788], [90.36518742515864, 22.70708031215717], [90.36517787247533, 22.70712156777698], [90.36515605267694, 22.707152094747993], [90.36513230046054, 22.707182626126393], [90.36507758849856, 22.70719769077318], [90.3650447739894, 22.707211510255526], [90.36501578944117, 22.70721217397955], [90.36501060942147, 22.70720202674216], [90.36499888032652, 22.707151258222428], [90.36497623102728, 22.707111868853154], [90.36495168576205, 22.70708622841055], [90.3649349049753, 22.70707371726692], [90.3649020508906, 22.707072597021956], [90.36485572537718, 22.7070924231968], [90.36480940459991, 22.707114042122157], [90.36474890490254, 22.707132705403435], [90.36468773034849, 22.707139776924386], [90.36462320406521, 22.70714601943281], [90.36453708107936, 22.70716979067881]]]}
Doito Bari;6928;Doito Bari;6926;Shrinath Chaterji Len;6919;18;100;1;{'type': 'Polygon', 'coordinates': [[[90.36561298311047, 22.707434777662048], [90.36559511924312, 22.707402548545684], [90.36552303080747, 22.70732634107365], [90.36548153066732, 22.707271218431277], [90.36547567538707, 22.707249359958713], [90.36548878436395, 22.707237497699953], [90.3655317162071, 22.707249590482242], [90.36553940110808, 22.707232720843557], [90.36554509268045, 22.70719290824566], [90.3655185425742, 22.707091497869826], [90.36551654354375, 22.70706640359371], [90.36554223029479, 22.7069881799364], [90.36555887563507, 22.70699818144113], [90.36557935913561, 22.706998134636347], [90.36558899641349, 22.706988790186735], [90.36558930578686, 22.706959746532366], [90.36557685938493, 22.706930014916075], [90.36558337339724, 22.7069088452915], [90.36559610727545, 22.706901286540003], [90.36566452486248, 22.706905074284222], [90.36578125542061, 22.70690982721235], [90.36579248622563, 22.706918406852452], [90.36583916590801, 22.707031962020807], [90.3658574600859, 22.70708068365242], [90.36586291941089, 22.707098957467473], [90.36587339442214, 22.70711399281791], [90.36587980868173, 22.707200748432353], [90.36586978683287, 22.70721081088847], [90.36583773361731, 22.70722020661465], [90.36584372708394, 22.707294055215993], [90.36589129771117, 22.707306495848258], [90.36589288460755, 22.707321910078935], [90.36585931211431, 22.707341348820957], [90.36583423555055, 22.707358258244582], [90.36579801005273, 22.707397423558973], [90.3657922004365, 22.707392775628847], [90.36570835664462, 22.70740157262655], [90.36569330954657, 22.70741128800389], [90.36567678221866, 22.707445747050173], [90.36563929533057, 22.707446549839574], [90.36561298311047, 22.707434777662048]]]}
Khan Manjel Sarak;6930;Khan Manjel Sarak;6926;Shrinath Chaterji Len;6919;18;100;1;{'type': 'Polygon', 'coordinates': [[[90.36584468143053, 22.707556276168667], [90.36584068609348, 22.70750716328719], [90.36582314863355, 22.707452344493525], [90.36582660030275, 22.707442297064212], [90.3658906639601, 22.70740737073751], [90.36590722553026, 22.70738581956695], [90.36592452289891, 22.707350283071428], [90.36598126143677, 22.707322186005698], [90.36600286630902, 22.707307794385706], [90.36601821407847, 22.70726580835234], [90.36600902669014, 22.70715360169248], [90.36600468866664, 22.707120983122056], [90.36600578806966, 22.707098391648916], [90.36601580513505, 22.70708653642086], [90.36609775157785, 22.707091010136505], [90.36610868363998, 22.707132577486924], [90.36612246408212, 22.7072279215501], [90.3661267525625, 22.707241895376253], [90.36622027829723, 22.707240605650345], [90.36623189087011, 22.70724739161035], [90.36624935979971, 22.707276394565074], [90.3662521166721, 22.707295750217014], [90.36624560656031, 22.70731835407743], [90.36621853470102, 22.707311603506888], [90.36619108017648, 22.707306288027088], [90.36616014922316, 22.70730169760887], [90.36614122304749, 22.70730604358294], [90.36613197512783, 22.707316462838893], [90.36612738310521, 22.70733368398187], [90.36613286345079, 22.707359845945742], [90.36614332897744, 22.707371295750516], [90.36624613513987, 22.707371777543244], [90.36626161922295, 22.707381064521993], [90.36627247696653, 22.70739466474938], [90.36626749084694, 22.707409018359403], [90.3661936918048, 22.70741635839504], [90.36615893032811, 22.707424684720078], [90.36612298079933, 22.70742225711027], [90.36607118454403, 22.70741950719833], [90.36601901801075, 22.707422853549613], [90.36598348165062, 22.707430464499673], [90.36597463734654, 22.70744733681099], [90.36597939044648, 22.70749071107757], [90.36598458340045, 22.707554163410247], [90.36595369051456, 22.707563915060536], [90.36587676902151, 22.707559788337395], [90.36584468143053, 22.707556276168667]]]}
Puran Bari;6931;Puran Bari;6926;Shrinath Chaterji Len;6919;18;100;1;{'type': 'Polygon', 'coordinates': [[[90.36558873998155, 22.707824241089845], [90.36556136406973, 22.70782430364655], [90.36555007656395, 22.707818652319506], [90.36553876367626, 22.70780343958642], [90.36555772452778, 22.70778785888441], [90.36566266759672, 22.707768197334133], [90.36570994672705, 22.707743588014555], [90.36571183628959, 22.707727448726025], [90.36571324347804, 22.707650953803405], [90.36571902485062, 22.707644964672824], [90.36580789767167, 22.70763788918435], [90.36582018392672, 22.70765578883439], [90.36584080270302, 22.70765813205154], [90.36593482545514, 22.70764984953303], [90.36597312229794, 22.707638706489032], [90.36601819529297, 22.707632328664722], [90.36613024514332, 22.70762071803428], [90.3662364484587, 22.707590595375237], [90.36628922882447, 22.70757583355073], [90.36631692516379, 22.707575172544896], [90.36633110573624, 22.70757872562334], [90.36634700715338, 22.70762380736425], [90.36642108144514, 22.707623040132184], [90.36644457817263, 22.707617607991384], [90.36645098536044, 22.70760474509985], [90.36646438979596, 22.707558699855984], [90.36648598511248, 22.707564925097397], [90.36649765673582, 22.70759388154392], [90.36650844964109, 22.707655707530584], [90.36652116304194, 22.707713047180448], [90.36649959871704, 22.707718474905718], [90.36636725209628, 22.70772774191133], [90.36613542814351, 22.707753072674905], [90.36588076416511, 22.707788614394737], [90.36570367437002, 22.707807245841696], [90.365658601302, 22.707813623578208], [90.36558873998155, 22.707824241089845]]]}
Sufeya Lain;6929;Sufeya Lain;6926;Shrinath Chaterji Len;6919;18;100;1;{'type': 'Polygon', 'coordinates': [[[90.36672381462265, 22.707607867331966], [90.36671116401199, 22.70757413241521], [90.36669886332669, 22.707550854544987], [90.36668854120889, 22.707544902289857], [90.36664986669074, 22.707535130670273], [90.36664018314471, 22.707527085378494], [90.36664717318595, 22.70749121387376], [90.36663587134383, 22.707480184333285], [90.36659914198759, 22.707475188974804], [90.36658626719444, 22.707478206433663], [90.36658574396877, 22.7075236245809], [90.36657319203506, 22.707526940094635], [90.36654194340576, 22.707524023734926], [90.36653159504989, 22.707508211271175], [90.36651476078384, 22.707475681105656], [90.36650827646346, 22.707459560992117], [90.36652421446672, 22.707397374969812], [90.36652443632309, 22.70735972620101], [90.36651631462456, 22.707333450784255], [90.36650726012665, 22.707319726924226], [90.36651523548515, 22.70729102426411], [90.36651131260886, 22.70726922116338], [90.36648614039198, 22.707250155902372], [90.36645776340445, 22.70723707389254], [90.36642873274457, 22.707220407826046], [90.36641967269723, 22.707204592403308], [90.36640698562599, 22.707157112939612], [90.36640789537974, 22.707135896359183], [90.36645299442908, 22.707139378613405], [90.36649787320692, 22.70718110721251], [90.36652240763911, 22.707202564298935], [90.36658816122879, 22.707221835367704], [90.36663295494887, 22.707231592980538], [90.36667937413343, 22.707247023973903], [90.36669229982732, 22.707263129317052], [90.3667017066451, 22.707288206596306], [90.36669763115681, 22.70733004733806], [90.36669322007089, 22.707366809321552], [90.36669587380193, 22.707395786423316], [90.36667565668697, 22.707423321966793], [90.36666962331446, 22.70745560573184], [90.36670348667464, 22.707472858267604], [90.36673573890374, 22.7074898156936], [90.36674062086635, 22.707508927427842], [90.36676092552423, 22.70751425920367], [90.36679504332511, 22.7075061135013], [90.36682668407133, 22.707535322934543], [90.3668425800725, 22.707578313067227], [90.36686279353812, 22.707670295792383], [90.36680775155276, 22.707682373829808], [90.36678103572933, 22.707688410995477], [90.36675560181352, 22.7076920548524], [90.36674107447946, 22.70767923994002], [90.36672679759667, 22.707639532838854], [90.36672381462265, 22.707607867331966]]]}
