Poor Settlement Name;Poor Settlement-ID (DB);Poor Settlement Name (DB);Mahalla-ID (DB);Mahalla Name (DB);Ward-ID (DB);Ward Name (DB);Similarity (%);verify status;Coordinates
Harun Sowdagar O Jamal Membarer Bari;;;;;;;;1;
Kalam Sowdagarer Bari;;;;;;;;1;
Sahaji Majar Ar Bari;;;;;;;;1;
Romjan Talukder Ar Bari;;;;;;;;1;
Kala Miya Baba Bari Masjeed Ar Paschim Pashe;;;;;;;;1;
Rahman Mistry O Khorate Miya Bari;;;;;;;;1;
Modon Fokir Bari School Ar Bam Pashe;;;;;;;;1;
Saber Sowdafgarer Bari;;;;;;;;1;
Chompa Taluk Darer Bari;;;;;;;;1;
Sekandar Ar Bari;;;;;;;;1;
Kumar Para;;;;;;;;1;
Brakhin Sha Para;;;;;;;;1;
Osman Sekdar Bari;;;;;;;;1;
Jiner Bari;;;;;;;;1;
Kodom Maji Bari;;;;;;;;1;
Abjal Majir Bari;;;;;;;;1;
Tanda Miyar Bari;;;;;;;;1;
Salamot Chowdory Bari;;;;;;;;1;
Dash Para;;;;;;;;1;
Pathan Para Maji Miyar Bari;;;;;;;;1;
Dokhin Mohora Kobir Pontaker Bari;;;;;;;;1;
Gone Company;;;;;;;;1;
Sodu Talukdarer Bari;;;;;;;;1;
Bojol Driver Ar Bari;;;;;;;;1;
Besho Colony;;;;;;;;1;
Abdur Khaleker Bari;;;;;;;;1;
Akhi Pitar Bari;;;;;;;;1;
Kalu Pitar Bari;;;;;;;;1;
Jahangir Rail Station;;;;;;;;1;
Chairman Colony;;;;;;;;1;
Priyada Munsher Bari;;;;;;;;1;
Sorkarer Bari;;;;;;;;1;
Sorkarer Bari;;;;;;;;1;
9 No. Brij Usufer Bari;;;;;;;;1;
Esmayel Colony;;;;;;;;1;
Modhom MOPhora Vola Khalifa Bari;;;;;;;;1;
Becharam Bari;;;;;;;;1;
Sonar Baper Bari;;;;;;;;1;
Ripon Dasher Bari;;;;;;;;1;
Manik Shelar Bari;;;;;;;;1;
Boro Bari;;;;;;;;1;
Rakhal Chowdory Bari;;;;;;;;1;
Motelal Dewaner Bari;;;;;;;;1;
Najim Sa. Bari;;;;;;;;1;
Manika Chowdory Ar Bari;;;;;;;;1;
Katarer Bari;;;;;;;;1;
Kaminy Mastarer Bari;;;;;;;;1;
Chalam Saheber Bari;;;;;;;;1;
Imambari;;;;;;;;1;
Secritary Colony;;;;;;;;1;
Shopna Khan chowdory Bari;;;;;;;;1;
Telar Bari;;;;;;;;1;
Priyada Manjel Bari;;;;;;;;1;
Jan Ali Chowdory Bari;;;;;;;;1;
Abdul Mahbud Sabad;;;;;;;;1;
Badsha Miya Colony;;;;;;;;1;
Akbor Ali Sokoner Bari;;;;;;;;1;
Ali Miya Trandleyar Bari;;;;;;;;1;
Asraf Doctor Bari;;;;;;;;1;
Cot Sarang Bari;;;;;;;;1;
Kashem Majir Bari;;;;;;;;1;
Master Bari;;;;;;;;1;
Master Bari;;;;;;;;1;
Pah Naj Colony;;;;;;;;1;
Sona Khalifa Bari;;;;;;;;1;
Saleha Ahmod Khan Chowdory Bari;;;;;;;;1;
Taj Majir Bari;;;;;;;;1;
Kopor Chowdory Bari;;;;;;;;1;
Mokbul Sarang Bari;;;;;;;;1;
Ful Jana Pitar Bari;;;;;;;;1;
Lal Miyar Matbor Bari;;;;;;;;1;
Nobi Chowdory Road;;;;;;;;1;
Abdul Goni Road;;;;;;;;1;
Abdul Goni Colony;;;;;;;;1;
Jor Dewbar Par;;;;;;;;1;
Pawyar House Colony;;;;;;;;1;
Mostofar Vara Ghor;;;;;;;;1;
Machu Colony;;;;;;;;1;
Brock Colony;;;;;;;;1;
Khalefa Ar Vara Ghor;;;;;;;;1;
Santa Pukur;;;;;;;;1;
Bongobodu Abasek Alaka;;;;;;;;1;
Rubbar Colony;;;;;;;;1;
Siddik Mistry Bari;;;;;;;;1;
Dopar Bari;;;;;;;;1;
Aminar Vara Bari;;;;;;;;1;
Sumon Vara Ghor;;;;;;;;1;
Amin Haji Vara Ghor;;;;;;;;1;
Sahani;;;;;;;;1;
Seraj Colony;;;;;;;;1;
CDC Vara Ghor;;;;;;;;1;
Mowlana Vara Ghor;;;;;;;;1;
Belal Colony;;;;;;;;1;
Betoli Bel;;;;;;;;1;
Hajemer Colony;;;;;;;;1;
Khan Bari Vara Bari;;;;;;;;1;
Bes Colony;;;;;;;;1;
Monjor Colony;;;;;;;;1;
Nesad Khaner Vara Ghor;;;;;;;;1;
9 No. CNB Colony;;;;;;;;1;
Haji Masjeed CNB Colony;;;;;;;;1;
Hafej Comisonar Bari;;;;;;;;1;
Sokedar Monjel Bari;;;;;;;;1;
Colony Mahbir Bari;;;;;;;;1;
Bohora Bari;;;;;;;;1;
Sareng Bari;;;;;;;;1;
Lal Miyar Baper Bari;;;;;;;;1;
Variba Membar Bari;;;;;;;;1;
Belayat Mistry Bari;;;;;;;;1;
Haji Asraf Ali Bari;;;;;;;;1;
Rukan Colony;;;;;;;;1;
Counselar Office;;;;;;;;1;
Seddek Colony;;;;;;;;1;
Muktar Sattda Gorer Colony;;;;;;;;1;
Jele Para;;;;;;;;1;
Rajin Ahomed Colony;;;;;;;;1;
Nosha Miya Colony;;;;;;;;1;
Haji Colony;;;;;;;;1;
Brij Ghat;;;;;;;;1;
Haji Colony;;;;;;;;1;
Al Koron 1 No. Goli Belal Colony;;;;;;;;1;
Al Koron 3 No. Goli Shadat Sir Ar Bari;;;;;;;;1;
Alkoron 3 No. Goli Majar Bari;;;;;;;;1;
Feringy Bazar;;;;;;;;1;
Feringy Bazar, Beby Colony;;;;;;;;1;
Feringy Bazar, Tarek Colony;;;;;;;;1;
Mannan Doctor Goli;;;;;;;;1;
Mannan Docotor Goli;;;;;;;;1;
Feringy Bazar, Chan Shan Masjeed;;;;;;;;1;
Feringy Bazar Ghola School;;;;;;;;1;
Alkoron Ismayel Fokir Ar Majarer Pashe;;;;;;;;1;
Alkoron 2 No. Goli;;;;;;;;1;
Alkoron 1 No. Goli;;;;;;;;1;
Shil Bari Lainer Shamne;;;;;;;;1;
Feringy Bazar Jame Masjeed Ar Purbo Get;;;;;;;;1;
Abdys Sattarer Bari;;;;;;;;1;
Abdul Hossain Sattarer Bari;;;;;;;;1;
Momota NGO Goli;;;;;;;;1;
Bander School Road;;;;;;;;1;
Chuyal Tuli Lain;;;;;;;;1;
Shan Sufe Anayat Ullah (ra.) Jame Masjeed;;;;;;;;1;
Feringy Bazar Vandary Bali o sakor Ali Colony;;;;;;;;1;
Golam Rasum Sotto Bari;;;;;;;;1;
Boder Alom Dovaser Bari;;;;;;;;1;
Jahangir Alomer Bari;;;;;;;;1;
Abdul Gofur Sotta Bari;;;;;;;;1;
Noya Para;;;;;;;;1;
Gonga Bari Tek Paka;;;;;;;;1;
Ayakul Nagar Drim Fectory;;;;;;;;1;
Ayakub Nagar Loteyar Ghat Dovosha Colony;;;;;;;;1;
Mabud Dovash Colony;;;;;;;;1;
Raju Colony;;;;;;;;1;
Abdul Hafej Dovosh Colony;;;;;;;;1;
Momin Dobosh Colony;;;;;;;;1;
Ayakub Nagar Progoty Songho;;;;;;;;1;
Ayakub Nagar Latu Dovosher Bari;;;;;;;;1;
Brig Ghat Sahaji Para;;;;;;;;1;
Green View;;;;;;;;1;
Shamoli;;;;;;;;1;
Soraipara;;;;;;;;1;
Kazir Dighi;;;;;;;;1;
Loharpool Area;;;;;;;;1;
Mugi Farm Songlogno Area;;;;;;;;1;
Chudu Chowdhuri Bari Songlongo;;;;;;;;1;
