Poor Settlement Name;Poor Settlement-ID (DB);Poor Settlement Name (DB);Mahalla-ID (DB);Mahalla Name (DB);Ward-ID (DB);Ward Name (DB);Similarity (%);verify status;Coordinates
Av-7, Road-1,11 Football camp-2;;;;;;;;0;
10 No Road, 17 No Laner Camp;;;;;;;;0;
Section-11,Block-C,Road -10,Lane-16 Camp;;;;;;;;0;
Road-10,13 O 16 No Bosti;;;;;;;;0;
Road -10, Post Office Camp;;;;;;;;0;
City Coorporation Market Camp;;;;;;;;0;
Football Camp-1;;;;;;;;0;
Taltola Camp;;;;;;;;0;
M.C.C Camp,Road-11;;;;;;;;0;
Paka Drain r Purbo Pasar Bosti;;;;;;;;0;
Anabik Shokti Bosti;;;;;;;;0;
Milk Vite Bosti;;;;;;;;0;
Wobda Building Camp;;;;;;;;0;
Modhu Poti Bosati;;;;;;;;0;
NimToli Bosti;;;;;;;;0;
Mathor Poti Camp;;;;;;;;0;
Bishmilla Camp;;;;;;;;0;
Jinnar Bosti;;;;;;;;0;
Masud R Bosti;;;;;;;;0;
Baitul Azam Mosjidr Pichonar Bosti;;;;;;;;0;
West Alobdi;;;;;;;;0;
Dilu Mollar Bosoti;;;;;;;;0;
Elilis Mollar Bosoti (1);;;;;;;;0;
Elilis Mollar Bosoti (2);;;;;;;;0;
Elilis Mollar Bosoti (3);;;;;;;;0;
Elilis Mollar Bosoti;;;;;;;;0;
Kobir Mollar Bosoti;;;;;;;;0;
Ali Mollar Bosoti;;;;;;;;0;
Satar Mollar Bosoti(1);;;;;;;;0;
Satar Mollar Bosoti(2);;;;;;;;0;
Satar Mollar Bosoti (ka);;;;;;;;0;
Duaripara Kha Block;;;;;;;;0;
Duaripara( Kha Block);;;;;;;;0;
Duaripara( Kha Block);;;;;;;;0;
Bhola Bosoti;;;;;;;;0;
Duaripara ( Hossan Molla);;;;;;;;0;
Duaripara Anabik;;;;;;;;0;
Duaripara(Anabik Shakti);;;;;;;;0;
Duaripara(anabik Shakti);;;;;;;;0;
Duaripara ( Hossan Molla);;;;;;;;0;
Duaripara ( Hossan Molla);;;;;;;;0;
Duaripara Bosoti (ka) Block;;;;;;;;0;
Duaripara Bosoti (ka) Block;;;;;;;;0;
Duaripara Bosoti (ka) Block;;;;;;;;0;
Duaripara Bosoti (ka) Block;;;;;;;;0;
Duaripara Bosoti (ka) Block;;;;;;;;0;
E-Block,Section-6 Mirpur;;;;;;;;0;
Jhil par bosoti,Section-7;;;;;;;;0;
Arambag Bosoti;;;;;;;;0;
Ta Block;;;;;;;;0;
Ta Block;;;;;;;;0;
Ta Block;;;;;;;;0;
Ta Block;;;;;;;;0;
Ta Block;;;;;;;;0;
Ta Block;;;;;;;;0;
