Poor Settlement Name;Poor Settlement-ID (DB);Poor Settlement Name (DB);Mahalla-ID (DB);Mahalla Name (DB);Ward-ID (DB);Ward Name (DB);Similarity (%);verify status;Coordinates
Moulavi Para Girzar Nikot;16663;Moulavi Para Girzar Nikot;14179;Moulvipara;8341;1;100;1;{'type': 'Polygon', 'coordinates': [[[89.8339643230784, 23.015518229247107], [89.83355084881312, 23.01579925236666], [89.83342805763502, 23.01565614848409], [89.83385543316155, 23.015374327033232], [89.8339643230784, 23.015518229247107]]]}
Diku Mollar Barir Nikot;16664;Diku Mollar Barir Nikot;14179;Moulvipara;8341;1;100;1;{'type': 'Polygon', 'coordinates': [[[89.83188027853178, 23.01586221081695], [89.83205332434875, 23.01624098511494], [89.83194791196718, 23.016292499243292], [89.8320344516946, 23.01646850187366], [89.83165623680506, 23.016628714327513], [89.83146010115439, 23.016546286466948], [89.8315985549676, 23.0165024561133], [89.83138839012938, 23.016073927886143], [89.83188027853178, 23.01586221081695]]]}
Selim Ukiler Barir Nikot;16665;Selim Ukiler Barir Nikot;14179;Moulvipara;8341;1;100;1;{'type': 'Polygon', 'coordinates': [[[89.83093919050302, 23.014843685722287], [89.83099073367917, 23.014922135792055], [89.83109285845225, 23.01486475518701], [89.83115490526352, 23.014959596411064], [89.8309595883205, 23.01505116753844], [89.83084617736971, 23.01489138822146], [89.83084721018703, 23.014891389324973], [89.83093919050302, 23.014843685722287]]]}
Girzar Nikot;16666;Girzar Nikot;14179;Moulvipara;8341;1;100;1;{'type': 'Polygon', 'coordinates': [[[89.832516201461, 23.015734137761317], [89.83288235833864, 23.015573656332748], [89.83318357652492, 23.01620753973084], [89.83269993381778, 23.016433610112102], [89.83256202942165, 23.016178541994545], [89.83256899601092, 23.01616696944491], [89.83256694008406, 23.016135898691612], [89.83255824777058, 23.016101890483522], [89.83256328775578, 23.01606661545852], [89.8325745545447, 23.01602163918949], [89.83258016603844, 23.015977296981106], [89.83257722227775, 23.015922317486318], [89.83257129829373, 23.015879856038], [89.83255513829835, 23.015844376519663], [89.832516201461, 23.015734137761317]]]}
Babu Mollar Barir Nikot;16667;Babu Mollar Barir Nikot;14179;Moulvipara;8341;1;100;1;{'type': 'Polygon', 'coordinates': [[[89.83162301846606, 23.018383443014415], [89.8314763192999, 23.017996092061242], [89.83221516133922, 23.017705285695026], [89.83230523627465, 23.017946780414164], [89.83263588390457, 23.01783479602258], [89.83276968452451, 23.018214962023244], [89.83211356609657, 23.01842698568427], [89.83203376633654, 23.018228523424085], [89.83162301846606, 23.018383443014415]]]}
Dalim Khaner Barir Nikot;16668;Dalim Khaner Barir Nikot;14179;Moulvipara;8341;1;100;1;{'type': 'Polygon', 'coordinates': [[[89.83272713948664, 23.01752225691732], [89.83310926788808, 23.0173953754759], [89.83314787577027, 23.017495800037697], [89.83353537748529, 23.017343242101216], [89.83365624621825, 23.017742514522364], [89.8328141346686, 23.018023658227392], [89.83263910020115, 23.01757891618571], [89.83273725811632, 23.017547948734833], [89.83272713948664, 23.01752225691732]]]}
Shahida Begumer Barir Pase;16669;Shahida Begumer Barir Pase;14179;Moulvipara;8341;1;100;1;{'type': 'Polygon', 'coordinates': [[[89.83280396889472, 23.01872537044623], [89.83271338215329, 23.01847899969997], [89.8331564447434, 23.018334149725323], [89.83324700022472, 23.018606524390414], [89.83280396889472, 23.01872537044623]]]}
Iliyas Chowdhurir Barir Nikot;16670;Iliyas Chowdhurir Barir Nikot;14179;Moulvipara;8341;1;100;1;{'type': 'Polygon', 'coordinates': [[[89.83359711704392, 23.01731825449656], [89.83434733638155, 23.01710780155691], [89.834411515145, 23.01740645268714], [89.83414509858795, 23.017477575865794], [89.83416641611907, 23.01755009957544], [89.83396744278475, 23.017600847931114], [89.83394672830481, 23.017530905969924], [89.83368772084287, 23.017601133092054], [89.83359711704392, 23.01731825449656]]]}
Pintu Mollar Barir Nikot;16671;Pintu Mollar Barir Nikot;14179;Moulvipara;8341;1;100;1;{'type': 'Polygon', 'coordinates': [[[89.83335916559814, 23.019237193608443], [89.83332928130294, 23.01907774430849], [89.83380655844977, 23.01899602697093], [89.83382567704317, 23.019178503527353], [89.83335916559814, 23.019237193608443]]]}
Shahed Mollar Barir Nikot;16672;Shahed Mollar Barir Nikot;14179;Moulvipara;8341;1;100;1;{'type': 'Polygon', 'coordinates': [[[89.83181632613571, 23.020043059112357], [89.83229552674518, 23.019873348523983], [89.83229307405296, 23.019855351397585], [89.83234395437741, 23.019869987910145], [89.83235604493875, 23.020148768126802], [89.83232992505006, 23.02039013966073], [89.83196300236425, 23.020597688479207], [89.83181852633783, 23.02049715121712], [89.83190642016716, 23.02041598148701], [89.83189364867025, 23.020303633645753], [89.83181632613571, 23.020043059112357]]]}
Jashimer Dokaner Pishe;16673;Jashimer Dokaner Pishe;14179;Moulvipara;8341;1;100;1;{'type': 'Polygon', 'coordinates': [[[89.83001526176753, 23.022056272788813], [89.83030041096677, 23.02199539245659], [89.83027574649687, 23.021895938249756], [89.83080890337052, 23.0217397191236], [89.83083750409766, 23.02199596739232], [89.83100663766376, 23.022202651877798], [89.830543738527, 23.022339826166277], [89.83045266391987, 23.02248504612183], [89.83003839399531, 23.022528620706048], [89.83001391178193, 23.02247263649306], [89.83017187993545, 23.022358548328747], [89.83001526176753, 23.022056272788813]]]}
Hakimder Barir Paser Bosoti;16674;Hakimder Barir Paser Bosoti;14179;Moulvipara;8341;1;100;1;{'type': 'Polygon', 'coordinates': [[[89.83235220165272, 23.015605775241262], [89.83202748587136, 23.01575673978394], [89.83176945140315, 23.01559333214318], [89.83226412155554, 23.015468807389006], [89.83235220165272, 23.015605775241262]]]}
Khayer Saber Barir Paser Bosoti;16675;Khayer Saber Barir Paser Bosoti;14179;Moulvipara;8341;1;100;1;{'type': 'Polygon', 'coordinates': [[[89.8315973178151, 23.017331765914065], [89.83094944729254, 23.0175576560918], [89.83079120989741, 23.017231669714683], [89.83149442972721, 23.017013296181304], [89.8315973178151, 23.017331765914065]]]}
Basu Mollar Barir Paser Bosoti;16676;Basu Mollar Barir Paser Bosoti;14179;Moulvipara;8341;1;100;1;{'type': 'Polygon', 'coordinates': [[[89.83122129331468, 23.022236253125175], [89.83094895802121, 23.02196062407149], [89.83158700090948, 23.021413307036877], [89.83186377021555, 23.021679211944342], [89.83122129331468, 23.022236253125175]]]}
Enamuler Barir Nikoter Bosoti;16677;Enamuler Barir Nikoter Bosoti;14179;Moulvipara;8341;1;100;1;{'type': 'Polygon', 'coordinates': [[[89.83076122337556, 23.016196801109665], [89.83061245040712, 23.016233353811828], [89.83054006804016, 23.015970174999623], [89.83109549789951, 23.015823921299916], [89.83114815001683, 23.01600753655475], [89.83074149998083, 23.016111119119316], [89.83076122337556, 23.016196801109665]]]}
Kobirer Barir Paser Bosoti;16678;Kobirer Barir Paser Bosoti;14179;Moulvipara;8341;1;100;1;{'type': 'Polygon', 'coordinates': [[[89.83448860465346, 23.017461706830122], [89.83445578490175, 23.0172723772149], [89.83486069372486, 23.017242206944257], [89.83486683273452, 23.017411421547465], [89.83448860465346, 23.017461706830122]]]}
Martiner Bosoti;16679;Martiner Bosoti;14179;Moulvipara;8341;1;100;1;{'type': 'Polygon', 'coordinates': [[[89.83388223639727, 23.01627192112853], [89.83381529291267, 23.01611649486036], [89.83403229766976, 23.016025898995444], [89.8342357755296, 23.016439598180533], [89.8335977454312, 23.016649256940074], [89.8336620892585, 23.01681902111182], [89.83351226405749, 23.016871445643417], [89.83336822831158, 23.016414786474968], [89.83388223639727, 23.01627192112853]]]}
