Poor Settlement Name;Poor Settlement-ID (DB);Poor Settlement Name (DB);Mahalla-ID (DB);Mahalla Name (DB);Ward-ID (DB);Ward Name (DB);Similarity (%);verify status;Coordinates
Lal Miar Bari;;;;;;;;0;
Amzad Kabiraj Bari;;;;;;;;0;
Abdul Salam Bari;;;;;;;;0;
Hazi Bari;;;;;;;;0;
Jahedul Hoque Bari;;;;;;;;0;
Nazir Miar Bari;;;;;;;;0;
Hazi Para;;;;;;;;0;
South Hazi Bari;;;;;;;;0;
Khandakar Bari;;;;;;;;0;
Shahlam Khalifar Bari;;;;;;;;0;
Panaullah Miar Bari;;;;;;;;0;
Rahamatullah Bari;;;;;;;;0;
Hashem Chokidar Bari;;;;;;;;0;
Shikari Bari;;;;;;;;0;
Boro Bari;;;;;;;;0;
Nandi Bari;;;;;;;;0;
Joynal Abedin Bari;;;;;;;;0;
Indrajit Bari;;;;;;;;0;
Gopal Nath Bari;;;;;;;;0;
Saiyad Bepari Bari;;;;;;;;0;
Ishak Miar Bari;;;;;;;;0;
Rabiul Miar Bari;;;;;;;;0;
Chakhu Miar Bari;;;;;;;;0;
Hazi Bari;;;;;;;;0;
Makku Miar Bari;;;;;;;;0;
Shekantor Mia Bari;;;;;;;;0;
Asaad Mia r Bari;;;;;;;;0;
Jamai Bari;;;;;;;;0;
Ismail Miar  Bari;;;;;;;;0;
Manik Master Bari;;;;;;;;0;
Salam Miar Bari;;;;;;;;0;
Idris majon Bari;;;;;;;;0;
Kana Korban Alir Basha;;;;;;;;0;
Babulala Nandi Bari;;;;;;;;0;
Garioal Chowdhury Bari;;;;;;;;0;
Murshid Alam Miar Bari;;;;;;;;0;
Jalal Driver Bari;;;;;;;;0;
Debar Bari;;;;;;;;0;
Haradhon Chadra Bari;;;;;;;;0;
Islam Hazi Bari;;;;;;;;0;
Joynaler Bari;;;;;;;;0;
Colony;;;;;;;;0;
Kanu Babur Bari;;;;;;;;0;
Shardar Bari;17764;Shardar Bari;14369;Anantapur Chandrapur;8352;2;100;1;{'type': 'Polygon', 'coordinates': [[[91.09742950909367, 22.888793810670574], [91.0973871218751, 22.88862345485129], [91.09733546178894, 22.88835851690535], [91.09735622895053, 22.88834259935503], [91.097410283601, 22.888327885464406], [91.09749148184981, 22.888320155001676], [91.09763080455409, 22.888322778083438], [91.09763048740227, 22.888283344770272], [91.0976142896332, 22.88819383070786], [91.09766470585802, 22.88820782246613], [91.09769502547192, 22.888128742112198], [91.09773692417302, 22.88804599593249], [91.09784512063459, 22.88802732397852], [91.09792628885711, 22.88801600854371], [91.0979921243157, 22.88802272378334], [91.09798944029659, 22.888109695522452], [91.09802288682235, 22.888178775613966], [91.09810184847743, 22.88819404867593], [91.09810987589569, 22.88822984376315], [91.09808339666527, 22.888305312698524], [91.09811475446527, 22.88835528738982], [91.09814256057794, 22.888444721202124], [91.09811573519019, 22.888477172072246], [91.09812777587098, 22.888530865153644], [91.09814391730892, 22.888613209611044], [91.09812529144595, 22.888702965057803], [91.09806759846997, 22.88874638402863], [91.09791314341194, 22.88878688631466], [91.09778161594383, 22.88879137959285], [91.09764997313205, 22.888781533705327], [91.09742950909367, 22.888793810670574]]]}
Hanif Miaher Bari;17765;Hanif Miaher Bari;14369;Anantapur Chandrapur;8352;2;100;1;{'type': 'Polygon', 'coordinates': [[[91.09800505904373, 22.885878929017963], [91.09799635892398, 22.88575948667704], [91.09802182690437, 22.88571868029032], [91.09822060038573, 22.885736428094273], [91.09832377963241, 22.885735715347124], [91.09838828589123, 22.885737659689372], [91.09850436253795, 22.885736857721678], [91.09854351639456, 22.885793948420037], [91.09853471782839, 22.885982821828712], [91.09854599773402, 22.886102246295934], [91.09854940415151, 22.886204994429708], [91.09829919401997, 22.886206723111677], [91.09809283480878, 22.886208148534802], [91.09797939569053, 22.886216101928145], [91.09792008624262, 22.886218901491663], [91.09792366842358, 22.886022893285762], [91.09800505904373, 22.885878929017963]]]}
Idris Ali Bari;17766;Idris Ali Bari;14369;Anantapur Chandrapur;8352;2;100;1;{'type': 'Polygon', 'coordinates': [[[91.10040307304192, 22.888989714397532], [91.1003584845938, 22.889058736140793], [91.1002523441483, 22.889092334281823], [91.10017175726752, 22.889095879027124], [91.10007160756676, 22.88907267144622], [91.10005822824404, 22.889013013772768], [91.1000544497164, 22.88894432590382], [91.10004713446253, 22.888836824974735], [91.10005974318784, 22.88880088720844], [91.10011450946665, 22.888794533290806], [91.10016954162276, 22.888821040110827], [91.10023718247842, 22.888811609132354], [91.10031798498699, 22.88883495052673], [91.10037306537691, 22.88886743277882], [91.10039287007177, 22.888924058931018], [91.10040307304192, 22.888989714397532]]]}
