Poor Settlement Name;Poor Settlement-ID (DB);Poor Settlement Name (DB);Mahalla-ID (DB);Mahalla Name (DB);Ward-ID (DB);Ward Name (DB);Similarity (%);verify status;Coordinates
Gudi Ghat Sultan Mridha Bari;17873;Gudi Ghat Sultan Mridha Bari;14392;Tawn Kalikapur Badghat;8038;9;100;1;{'type': 'Polygon', 'coordinates': [[[90.31001475943728, 22.348996106699154], [90.30960100398659, 22.34908237662688], [90.30912365329988, 22.349070859807114], [90.30900512596749, 22.349025898419306], [90.30932908937491, 22.34880199553644], [90.30962816607601, 22.34867082929075], [90.30955288535681, 22.348379383866458], [90.30937158814649, 22.348193657346865], [90.30931322642795, 22.347623049433643], [90.3092333352819, 22.34757156518884], [90.30915901590505, 22.3474306071234], [90.30906661505503, 22.347429071094602], [90.30902653149293, 22.347510807466584], [90.30898672260275, 22.347578213315042], [90.30883354420058, 22.347532675846082], [90.30866028905511, 22.34752979533054], [90.308533367719, 22.347721147895005], [90.30838980952868, 22.347976708359546], [90.30824639169518, 22.34802447970798], [90.30808104345272, 22.34801098228822], [90.30800211626837, 22.34790935783274], [90.30805973616556, 22.347716851627094], [90.30817489962533, 22.347536053886017], [90.30907163766466, 22.347167626221886], [90.309397039591, 22.347069137613122], [90.30954602627494, 22.347132519572114], [90.30962137005545, 22.3478216336586], [90.30966344467583, 22.348037290296535], [90.30964852188916, 22.348212589978598], [90.30981881957013, 22.348369472063084], [90.30998726009734, 22.348823684353572], [90.31001475943728, 22.348996106699154]]]}
Gudi Ghat Sarak Ar Mebi School;17874;Gudi Ghat Sarak Ar Mebi School;14392;Tawn Kalikapur Badghat;8038;9;100;1;{'type': 'Polygon', 'coordinates': [[[90.31061063557948, 22.349554149421298], [90.31044242156352, 22.349455817626165], [90.31034588199395, 22.349301951800566], [90.31022785699507, 22.349096975934632], [90.3100913267744, 22.348852879547984], [90.31001088909653, 22.34869629546793], [90.30995772211344, 22.34845657172664], [90.3099570941105, 22.34832221162841], [90.31007981641937, 22.348282455758536], [90.31025719836721, 22.348237634479215], [90.31033993043751, 22.348274833702114], [90.31041738987561, 22.34858661716365], [90.31046740396312, 22.348823303836987], [90.31049599216931, 22.34900589417474], [90.31067658419278, 22.34896112749293], [90.31077822367402, 22.349016555953376], [90.31080257315912, 22.34908562600181], [90.31094013773998, 22.34910881077243], [90.31106887565693, 22.34909005014556], [90.3111539009087, 22.34917505825181], [90.3111482857423, 22.349467545075083], [90.31092621322405, 22.349499681976674], [90.31075284073863, 22.349502772396587], [90.31061063557948, 22.349554149421298]]]}
Gude Ghat Matha;17875;Gude Ghat Matha;14392;Tawn Kalikapur Badghat;8038;9;100;1;{'type': 'Polygon', 'coordinates': [[[90.31178151682681, 22.347644952510663], [90.31164820458923, 22.347567503223768], [90.31161506678934, 22.347488135729368], [90.31163672319816, 22.347363102687726], [90.31173139423592, 22.34724644922367], [90.31168347327011, 22.34713459135499], [90.31154349408317, 22.34700329314269], [90.31139093388208, 22.346925524024247], [90.31118756598251, 22.34688631996277], [90.3110708263176, 22.346948868366482], [90.31095147309956, 22.346946885729462], [90.31084195167509, 22.346834004360304], [90.31080599421996, 22.346700850114797], [90.31082290802364, 22.346622313986025], [90.3108896653324, 22.34655535139692], [90.31091750803851, 22.346509240017753], [90.31094672813403, 22.346391499737365], [90.31090568383377, 22.346322748543127], [90.31076735525343, 22.34630611881167], [90.31066326620417, 22.346311555476802], [90.3106650539498, 22.34621843683622], [90.31073256916885, 22.34611208053979], [90.31105844898616, 22.34598851888755], [90.31119856469446, 22.34591202910717], [90.31131379288146, 22.34592827201334], [90.31141203935881, 22.34622726310236], [90.3114801037467, 22.34649350745524], [90.31180241232467, 22.346957435140652], [90.31192479348921, 22.347203086457473], [90.3120190517512, 22.347308547833855], [90.31208862901372, 22.347295373590903], [90.31201939487784, 22.34709001348448], [90.31175524780109, 22.34660555489613], [90.31151351640494, 22.34615729500925], [90.31145947658916, 22.345962936494715], [90.31139368064683, 22.34577912880948], [90.31143355599674, 22.345708139823103], [90.31156500874391, 22.34568166157566], [90.31165885318852, 22.34560798474492], [90.31182076250013, 22.345599926252135], [90.31198631488404, 22.34560267528267], [90.31219827486551, 22.34559544692605], [90.31226386284108, 22.345589369994542], [90.31224344722911, 22.3458505615802], [90.31205259417791, 22.346162665234854], [90.31190911269638, 22.346414648953782], [90.31186057598487, 22.346535652754145], [90.31189006891745, 22.34660421192763], [90.31201306738593, 22.346617002122784], [90.31212224358329, 22.34654716149287], [90.3121705756549, 22.346436904148227], [90.31224743929626, 22.346445344072094], [90.31231474843608, 22.346550357806077], [90.31229556949772, 22.34674708397302], [90.3122168484445, 22.346835343486642], [90.3121608170977, 22.346945473541968], [90.3123167466418, 22.34704837690624], [90.31253970932534, 22.347069991808617], [90.31264091627686, 22.347415603287896], [90.31263184165749, 22.347487106125552], [90.31243060374916, 22.347537504926464], [90.31236350360514, 22.347622373917968], [90.31229227685756, 22.347721503398304], [90.31198103439077, 22.347684092537442], [90.31178151682681, 22.347644952510663]]]}
Shapla Sarak;17876;Shapla Sarak;14392;Tawn Kalikapur Badghat;8038;9;100;1;{'type': 'Polygon', 'coordinates': [[[90.3138368989111, 22.34831200538072], [90.31373431941665, 22.34823864952704], [90.31369739726874, 22.34815563770249], [90.31363304452857, 22.348097246343215], [90.31360135061563, 22.348143294316042], [90.31353026173159, 22.34823526297647], [90.31344879025116, 22.34826615571106], [90.31340788160806, 22.348190241368307], [90.31337487832207, 22.348103708822947], [90.31334146400523, 22.34803866881244], [90.31320677879428, 22.348032849234787], [90.31304630935867, 22.3479656979898], [90.31298174904367, 22.34791805400938], [90.31298319186502, 22.347842842607513], [90.3130837769516, 22.347819433268292], [90.31322320673232, 22.347778755521706], [90.3133742547574, 22.347734689732675], [90.31343764308765, 22.34764259331895], [90.31346410891223, 22.347467482805655], [90.31352068907867, 22.34732869938172], [90.3135421382791, 22.347214411358216], [90.31357761435636, 22.347172007444442], [90.31368266628475, 22.34711643075136], [90.31370672769424, 22.34706667202188], [90.3136966885473, 22.34698768818223], [90.31369091140128, 22.34688727790583], [90.31366492334043, 22.346836690809923], [90.31353889939335, 22.346780858963893], [90.31338901958821, 22.346764041919613], [90.31326987182013, 22.346751315011243], [90.31309338660657, 22.346716143010962], [90.3131008099664, 22.346529969285996], [90.31310266480546, 22.346433269200727], [90.31308526921295, 22.34633625014164], [90.312977671952, 22.34632371642055], [90.31287385765046, 22.346314827274032], [90.31276529856696, 22.346352433800153], [90.31268829753076, 22.34635115554091], [90.31258434043723, 22.34594817675558], [90.31260620051626, 22.34581240020799], [90.31273008922761, 22.345778630080464], [90.31290190184919, 22.34585671747546], [90.31336996511605, 22.34615109598621], [90.31334487285746, 22.34625457578373], [90.31338839384517, 22.346395021090206], [90.31352294253672, 22.346408001823736], [90.3136085368527, 22.346362847768958], [90.31423363417133, 22.346702822657743], [90.31425440153083, 22.346824976623914], [90.31429544769266, 22.346893727141033], [90.31433772991791, 22.3468980104985], [90.31444243809082, 22.346860339029217], [90.3148733813754, 22.347082446467592], [90.31495547450308, 22.3472199472515], [90.31493244796755, 22.347416610745285], [90.31493829931097, 22.347714064960517], [90.31490929038165, 22.347821064145784], [90.31480134843011, 22.34782643728447], [90.3146521556463, 22.347773805920266], [90.31455005428339, 22.347675381689132], [90.31448528992473, 22.347638480448747], [90.31442272682986, 22.347687600535718], [90.31442121613848, 22.34776639274091], [90.31439282189801, 22.347841157067922], [90.3144496136531, 22.347892255690002], [90.31464473407766, 22.34795998043875], [90.31467718888635, 22.348075162913823], [90.31461091189628, 22.348117055541437], [90.31463539166045, 22.348246435329976], [90.31462177902107, 22.348353689301373], [90.31454223271598, 22.348284300098843], [90.31451170403024, 22.348269462347535], [90.31445725367143, 22.348297219847172], [90.3144441926448, 22.348375820416717], [90.314377092575, 22.348460690307014], [90.31433350509955, 22.34852445476625], [90.31425663891778, 22.348516015140596], [90.3141847907999, 22.348446751847803], [90.31410510555293, 22.348384525493167], [90.31402871967768, 22.34835101361814], [90.31393631607399, 22.348349480277864], [90.3138368989111, 22.34831200538072]]]}
Royal School And Collage;17877;Royal School And Collage;14392;Tawn Kalikapur Badghat;8038;9;100;1;{'type': 'Polygon', 'coordinates': [[[90.31429318372767, 22.346593346257976], [90.31400144273377, 22.346409374035044], [90.31376968821078, 22.346277150404532], [90.31362382040601, 22.346185163149006], [90.31357672406442, 22.346130643356073], [90.31406732359017, 22.346153711601712], [90.31419027785593, 22.346269202282016], [90.31427157771687, 22.346381015546747], [90.31434932454586, 22.346343492386193], [90.31446854573784, 22.346151411677848], [90.31492196194934, 22.346105192587313], [90.3149777687197, 22.346207626122983], [90.315060156118, 22.34626273310077], [90.31523077520522, 22.346235708064885], [90.3152878389258, 22.34627247960884], [90.3153698850797, 22.346345493910018], [90.31544373548107, 22.34634373238619], [90.31552148200633, 22.34630621028124], [90.31552589232709, 22.346243586912905], [90.31544407489746, 22.34615863586473], [90.31531000835228, 22.346120585693516], [90.31526892753422, 22.346087063836272], [90.31525368653395, 22.34604501395505], [90.3156072968182, 22.34601505128802], [90.31568613383973, 22.34608801166486], [90.31575941278092, 22.346116097015756], [90.31581435638023, 22.346096108671734], [90.31590516525266, 22.34604686012734], [90.31597288423112, 22.34603006980656], [90.31593581922705, 22.34612200608217], [90.31580610969974, 22.3461915090079], [90.31561750485388, 22.346319745443523], [90.3155651984268, 22.34636963063954], [90.31551336005738, 22.346730020388918], [90.31545761598119, 22.346791792446112], [90.31536749407076, 22.346805225269993], [90.31522993232507, 22.346782044440886], [90.31516255437266, 22.346780926942557], [90.31512628945113, 22.346831080781243], [90.31510858918672, 22.346917366020165], [90.31514325235348, 22.34695078148968], [90.31527439639743, 22.346973856517277], [90.3154060570975, 22.346970069217125], [90.31549532056627, 22.3470014038631], [90.31552557523494, 22.347097443201534], [90.3155365204246, 22.347196146368393], [90.31551286123045, 22.34725845051014], [90.31541299990042, 22.347277693777936], [90.31529153625836, 22.347251793685587], [90.31487025029644, 22.34696118233293], [90.31486921514627, 22.3468477144717], [90.31484589370017, 22.346724920372413], [90.31478659335119, 22.346637357906474], [90.31471893001813, 22.346651162912046], [90.31468547195973, 22.346722259272646], [90.31463030091561, 22.34675418458622], [90.31456676042029, 22.34672028996557], [90.31455174844456, 22.346666302670574], [90.31453072098377, 22.346591316207483], [90.31449313497879, 22.346542923067343], [90.31444861795312, 22.34652128681622], [90.31441974167497, 22.3465208077564], [90.31436124584205, 22.346558648676652], [90.31434125148171, 22.346597129445918], [90.31429318372767, 22.346593346257976]]]}
Lotif Mridha Bari Sonlogno;17878;Lotif Mridha Bari Sonlogno;14392;Tawn Kalikapur Badghat;8038;9;100;1;{'type': 'Polygon', 'coordinates': [[[90.31660320516457, 22.345628517209416], [90.31666038518418, 22.345659319343298], [90.31665620469228, 22.345710004320065], [90.3166550612901, 22.34576969565907], [90.31653188337707, 22.345833334977673], [90.31603670208258, 22.34588185251444], [90.3153646027355, 22.34595131582811], [90.3152976255557, 22.345929307334018], [90.31518636087367, 22.34587372210646], [90.31511228312937, 22.34588742037697], [90.31498961936386, 22.34592419894481], [90.31477591939114, 22.346022162190728], [90.31466064649214, 22.34600830722467], [90.31461102716041, 22.345917919059392], [90.31457579222905, 22.3459143483014], [90.31448670400532, 22.34604124849676], [90.31348832027005, 22.346054538670725], [90.31291320868087, 22.345752411689183], [90.31261832128621, 22.34556539876519], [90.31245360318991, 22.345452199942066], [90.31242696088628, 22.345335322489138], [90.31241561711384, 22.34525751036548], [90.31247113267972, 22.345207678417353], [90.31257093601994, 22.345191422166902], [90.31260771657173, 22.345114408944546], [90.31270682977694, 22.344966778578737], [90.31283258711662, 22.344936025577276], [90.31291921249257, 22.34493746345428], [90.31303059049455, 22.344987080042312], [90.31303528906545, 22.345076724660053], [90.31302314514166, 22.345207885135846], [90.31322132190994, 22.345249985176032], [90.3134464841809, 22.345391056578215], [90.31362718352557, 22.345340317046464], [90.31371117415688, 22.34531185432442], [90.31409389204316, 22.345437626145547], [90.31463089881049, 22.345551028610046], [90.31518956416389, 22.34570658622948], [90.31545912759678, 22.345708070440228], [90.31564842264217, 22.345711209459704], [90.31597607977119, 22.34569574463052], [90.31631422156741, 22.345635667892925], [90.31660320516457, 22.345628517209416]]]}
Room Bekari O Bondhu Jon Bekari;17879;Room Bekari O Bondhu Jon Bekari;14392;Tawn Kalikapur Badghat;8038;9;100;1;{'type': 'Polygon', 'coordinates': [[[90.31579989362525, 22.347018397376775], [90.31572878757912, 22.34687689784272], [90.31572998861395, 22.346814222901838], [90.31574757414347, 22.346733904315187], [90.31579042879466, 22.346674904121684], [90.31587556368794, 22.346586751224613], [90.31592741263634, 22.34656074068287], [90.31594436891517, 22.346513253842193], [90.31595748258377, 22.346331353677165], [90.31602903935082, 22.34628178586152], [90.3161515316991, 22.346253960785457], [90.31621621489555, 22.346228162917974], [90.3162211394958, 22.346138679977468], [90.31616888348785, 22.346018391979083], [90.31619592286103, 22.34594718716342], [90.31653715766105, 22.34589313489877], [90.31665896176884, 22.34590112482754], [90.31673197568175, 22.346445701334027], [90.31671725637757, 22.346543979078902], [90.31666523427064, 22.346578943036345], [90.3166215172526, 22.346515523472178], [90.31660804879778, 22.346380950001116], [90.3165684552711, 22.34626982912056], [90.31654112326679, 22.34618876801207], [90.31649660541682, 22.346167130090873], [90.3163965144819, 22.346198311412444], [90.3163439224447, 22.346263120686825], [90.31636426650185, 22.346373922490166], [90.31635957065359, 22.346451468609146], [90.31628222505893, 22.346468100033874], [90.31624899829596, 22.346527259450014], [90.31619623446522, 22.346601024582412], [90.31612209739947, 22.346617708565752], [90.31605248982436, 22.34673298985416], [90.31607679072862, 22.346972234929144], [90.3160757613983, 22.34702595616399], [90.31603353638339, 22.347052126310246], [90.31595326894025, 22.347053781122074], [90.31588904282776, 22.347055702433202], [90.31579989362525, 22.347018397376775]]]}
Nannu Kha Bari Altaf Doctor;17880;Nannu Kha Bari Altaf Doctor;14393;Ukilbari Area;8038;9;100;1;{'type': 'Polygon', 'coordinates': [[[90.31744758261965, 22.346773932032026], [90.31739367778103, 22.346692788246944], [90.31739543365377, 22.346601101714334], [90.31739285828175, 22.346413806241575], [90.31737451952411, 22.34629885807118], [90.31731221284937, 22.346120127114357], [90.31727718654575, 22.345911275445076], [90.31730369305765, 22.34581426733482], [90.3174260111276, 22.3457551498389], [90.31754261462522, 22.3457800128881], [90.31755013898449, 22.345923442784517], [90.31757786259348, 22.34597740195874], [90.3176497319824, 22.345978592841266], [90.31771565821641, 22.345968221173596], [90.3177615699968, 22.346037768366937], [90.3178183340555, 22.34607692420974], [90.31785562406048, 22.34606034516634], [90.3178769987852, 22.34601675169916], [90.31789136673987, 22.345909987962923], [90.31796004296866, 22.345863358301315], [90.31810719132238, 22.345902099627278], [90.31841667293146, 22.34604480115147], [90.31839117150325, 22.346411240363395], [90.31840624649962, 22.34648218679309], [90.3184471320541, 22.346492418460286], [90.31850873347327, 22.346493438890757], [90.31855200095536, 22.34648651308931], [90.31854818084541, 22.346364161299785], [90.31863486198894, 22.346342668460252], [90.31865795971002, 22.3463162997638], [90.31871962939414, 22.346206499517944], [90.31880326504357, 22.346129543892935], [90.31888565579241, 22.34611753367721], [90.31910372325035, 22.346207128655287], [90.31914138442778, 22.3462784490948], [90.31911742576487, 22.346671666508286], [90.31915576555535, 22.347029608860876], [90.3191464563046, 22.347086776600925], [90.31910095122667, 22.347103219876963], [90.31899003120192, 22.34710329470038], [90.31891640081969, 22.34708678851387], [90.31887019623106, 22.347032523416907], [90.31878167586248, 22.346935519999935], [90.31872993209002, 22.34684867953748], [90.31864518911752, 22.346768934977554], [90.31857481842715, 22.34668942845164], [90.31850364394525, 22.34665194600027], [90.31834755025075, 22.346651270451176], [90.31814708523848, 22.346607823896996], [90.31795161028852, 22.346625604289603], [90.31784696075079, 22.346620048299776], [90.31774073387164, 22.34658962725513], [90.3176540569916, 22.346718121429614], [90.31762633775747, 22.346771161893056], [90.31759091923537, 22.34679732625467], [90.31750445717452, 22.346807358085695], [90.31744758261965, 22.346773932032026]]]}
Akon Bari;17881;Akon Bari;14393;Ukilbari Area;8038;9;100;1;{'type': 'Polygon', 'coordinates': [[[90.31908694709509, 22.35121076332545], [90.31916796037302, 22.351170308022873], [90.31921041295605, 22.351132199701333], [90.31923395894572, 22.351075863403437], [90.31922209526869, 22.351024913133624], [90.31918444932315, 22.35097950779795], [90.31911718579597, 22.35097242115612], [90.31902362399185, 22.35099774168762], [90.31895899603042, 22.351020555184526], [90.31888193547772, 22.35102226494115], [90.31873679964689, 22.350891482324727], [90.31868740533781, 22.350789155987638], [90.31881992694068, 22.350740597560055], [90.3189233427016, 22.35070349752379], [90.3189887132466, 22.350641885403977], [90.31905958589702, 22.350628130242676], [90.31917389211536, 22.350692720718435], [90.31922946505851, 22.35063990113977], [90.31921806022098, 22.350565073888138], [90.31913984730808, 22.350459286290626], [90.3190635280265, 22.350422195305594], [90.31903527929292, 22.35038888679028], [90.31903653623658, 22.35032322473915], [90.31910167803365, 22.35027354995248], [90.31919979114055, 22.350312194734297], [90.3194641810934, 22.350450326689643], [90.31966155505721, 22.350534801277753], [90.3199062576037, 22.350628420330533], [90.31994854445692, 22.35069957870658], [90.32014823467811, 22.350797227906202], [90.3203963306465, 22.35091478595934], [90.32058055359667, 22.35101576211506], [90.32063402257965, 22.351039336261316], [90.32070738754123, 22.351096679293395], [90.32078902296573, 22.351124303172718], [90.3208555324626, 22.351137346973427], [90.32095383485932, 22.351233316408955], [90.32084392231681, 22.351274487678257], [90.32074022099434, 22.351326511686224], [90.32067146956402, 22.35136358893067], [90.32060686448824, 22.351385207866375], [90.32052557499748, 22.351406552764733], [90.32046777504786, 22.351407984321995], [90.32041680253448, 22.35138803385766], [90.32037862169575, 22.351370681415293], [90.32035072934863, 22.351352308104776], [90.32033110697037, 22.35130421348675], [90.32032537598509, 22.351268292259167], [90.32031948448936, 22.351240728809103], [90.32030472232242, 22.351207045965538], [90.3202999312407, 22.351189053470534], [90.32032023321814, 22.35113445557882], [90.32030405144445, 22.35110791516207], [90.32024682450567, 22.351079500117436], [90.32018345306804, 22.351036653664224], [90.31995019085365, 22.351016073227996], [90.31990818440725, 22.351064338587346], [90.31983363973842, 22.351202827666427], [90.3197978004704, 22.351264333565364], [90.31968106007179, 22.35132688817556], [90.31963545295086, 22.351361959775367], [90.31951811537621, 22.35138867748808], [90.31941424837761, 22.35138218034835], [90.31925182694846, 22.351349633673536], [90.31917539406354, 22.351318513343244], [90.31911351171674, 22.351264943368236], [90.31908694709509, 22.35121076332545]]]}
Jahangir Mridha Bari;17882;Jahangir Mridha Bari;14393;Ukilbari Area;8038;9;100;1;{'type': 'Polygon', 'coordinates': [[[90.31742744406243, 22.350998164480917], [90.31738072795903, 22.35097063894005], [90.31733727041656, 22.35088011382405], [90.31731801111779, 22.35070591835064], [90.31731144098886, 22.3505128244481], [90.31725920799772, 22.35012981076992], [90.31728949388733, 22.350050062290343], [90.31727414956863, 22.34967148209703], [90.31726039277845, 22.34953176937501], [90.31723765381487, 22.34943203328336], [90.31718539474303, 22.349264932799922], [90.31717871820743, 22.34918457112943], [90.31719840612608, 22.34912184331945], [90.31725813931313, 22.349113278981754], [90.31729429601315, 22.349155915617516], [90.31748725437564, 22.34937693747073], [90.31750189000388, 22.34947080750297], [90.31754911726453, 22.34947159018513], [90.31769465585111, 22.349487376316148], [90.31777331247682, 22.349563198505493], [90.31783796249172, 22.349619682012047], [90.31787148579605, 22.34979984614355], [90.31790317573275, 22.349968516953563], [90.31791971827252, 22.35007005887531], [90.31790179011884, 22.350148102616185], [90.31779218904299, 22.35018641192297], [90.31773165237203, 22.350236998835136], [90.31777206159578, 22.35027206170503], [90.31784400574814, 22.350269433491885], [90.31793167710218, 22.350196367544296], [90.3179696267053, 22.350145404623202], [90.31798436170405, 22.350019542133907], [90.31799271685684, 22.349905034660647], [90.318031288115, 22.349821602310396], [90.3181463543157, 22.349819686805965], [90.31829735826359, 22.349871868633635], [90.31896760131764, 22.350161938308304], [90.31896162888857, 22.350259289015135], [90.31884958029505, 22.350425577095795], [90.31878200399525, 22.35052190509611], [90.31872315524939, 22.3505916285686], [90.318621254742, 22.35065681506348], [90.31845701457537, 22.350652184417036], [90.31805292376693, 22.35062255991354], [90.31798717581096, 22.350623382318062], [90.31776035089018, 22.350776303527446], [90.31769068062032, 22.350767506429378], [90.31764315788833, 22.350782003872435], [90.31757847555012, 22.350834433309284], [90.31753986302722, 22.350812774962513], [90.3174964112269, 22.350829251144376], [90.31747646638314, 22.35090535116739], [90.31748801895246, 22.35094566814235], [90.31749146794523, 22.35098011851654], [90.31747236521639, 22.35101228325563], [90.31742744406243, 22.350998164480917]]]}
