Mahalla Name;Mahalla-ID (DB);Mahalla Name (DB);Ward-ID (DB);Ward Name (DB);Similarity (%);verify status;Coordinates
Abashon;14750;Abashon;8292;1;100;1;{'type': 'Polygon', 'coordinates': [[[88.89128432198716, 25.8203094218275], [88.89139141477263, 25.82045219994995], [88.89162939614454, 25.820654467361777], [88.89189117519696, 25.820856734333592], [88.89193877270692, 25.820951920188364], [88.89173650504478, 25.821511145994616], [88.89146284810103, 25.822236949907545], [88.89122488445535, 25.822819973058817], [88.89101071150672, 25.823093638881566], [88.89095848920508, 25.823139122943058], [88.89077867506944, 25.823126894690517], [88.89032428721985, 25.82316165222253], [88.88984922705089, 25.823148467236766], [88.88876789700956, 25.82281885715053], [88.88865937612026, 25.82278577736717], [88.88793492347578, 25.82234063036255], [88.88720851094953, 25.82210571070517], [88.88653946496878, 25.821948878424507], [88.88560697814324, 25.8217302867155], [88.88429054078482, 25.82135703431411], [88.8836895019216, 25.82126640917341], [88.88294082201534, 25.821155533565125], [88.88270630259458, 25.821016350606666], [88.88202724375533, 25.820613337775416], [88.87994589065259, 25.819358834135617], [88.87798684059022, 25.818177996144207], [88.87916581464428, 25.816415092037804], [88.87978427830292, 25.81659183912266], [88.88004744813222, 25.816677487626475], [88.88000661862664, 25.816808576563613], [88.88034880772507, 25.81691275208117], [88.88063149473999, 25.817028414344964], [88.88074937722418, 25.817124888392442], [88.88159766713784, 25.81744798149068], [88.88253644154412, 25.817974843749788], [88.88309477843809, 25.81825388848176], [88.88398905243756, 25.818601212874416], [88.8847837306415, 25.819013469508437], [88.88542009250203, 25.819418534976734], [88.88944048742724, 25.82069764745531], [88.88970701622529, 25.82042493061089], [88.89010753101735, 25.81993821217612], [88.89021311689598, 25.819939018481026], [88.89128432198716, 25.8203094218275]]]}
NehalPara;14751;NehalPara;8292;1;100;1;{'type': 'Polygon', 'coordinates': [[[88.88170674609302, 25.817509199706834], [88.88159766713784, 25.81744798149068], [88.88074937722418, 25.817124888392442], [88.88063149473999, 25.817028414344964], [88.88034880772507, 25.81691275208117], [88.88000661862664, 25.816808576563613], [88.88004744813222, 25.816677487626475], [88.87978427830292, 25.81659183912266], [88.87916581464428, 25.816415092037804], [88.88251705553178, 25.81140367500014], [88.88416360723254, 25.808722146977534], [88.8876553092038, 25.809614220936137], [88.88720842670854, 25.81111119408829], [88.88664289346374, 25.812874842503], [88.88626576830252, 25.81368426784266], [88.885859109489, 25.814264106336587], [88.88503781661642, 25.81514657591782], [88.88407012943254, 25.815875010469426], [88.88303917053493, 25.816593395361995], [88.88170674609302, 25.817509199706834]]]}
Golahati Purbopara;14752;Golahati Purbopara;8292;1;100;1;{'type': 'Polygon', 'coordinates': [[[88.90028534222546, 25.804750632067517], [88.89997298798386, 25.805038278786192], [88.89865283887505, 25.806222868936413], [88.89797433611032, 25.80652354105557], [88.89739297006335, 25.80659558655316], [88.89568293264296, 25.806553937714018], [88.8939410475186, 25.80653113982475], [88.89166002498574, 25.80658066531006], [88.89064767090396, 25.80644870771776], [88.88883598954843, 25.805985710078872], [88.88592205745701, 25.805339868158008], [88.88715741036391, 25.802851061280897], [88.88742892041806, 25.80233140624259], [88.88756936851411, 25.80242898041604], [88.88793781769633, 25.802343373234343], [88.88838946527513, 25.802247064394773], [88.88851426311174, 25.802241712059615], [88.88852020912853, 25.80238616267234], [88.88853804138888, 25.802562712986926], [88.8885974686256, 25.80254666184153], [88.88866284163808, 25.8026643609331], [88.88906100461915, 25.802578753372018], [88.8891917525741, 25.80289975141058], [88.88975036946833, 25.802787391031305], [88.89000588944425, 25.80195813257569], [88.89028520036379, 25.802011627832076], [88.89064176547267, 25.80199022108167], [88.89121227041876, 25.801990210542268], [88.89200860446134, 25.80217744712994], [88.89313496203557, 25.802465257740803], [88.89393366780033, 25.802413882781362], [88.89485598856805, 25.802610746393807], [88.89512222864933, 25.802807621801435], [88.89535473520345, 25.803218478864334], [88.89537855889587, 25.803260503015434], [88.89568324448547, 25.803663609055576], [88.8963488401525, 25.803954634538368], [88.89671966991128, 25.804023107059873], [88.89721318953764, 25.803972066146873], [88.89812691215762, 25.803877562334993], [88.89823150473067, 25.803877560401958], [88.89902070207727, 25.80382618622615], [88.89937251326586, 25.803817619790035], [88.89966727608432, 25.803903213652593], [88.89979088684053, 25.803963130848448], [88.89996204682082, 25.804339763726517], [88.90011418630044, 25.804553758132084], [88.90028534222546, 25.804750632067517]]]}
Khalifapara;14753;Khalifapara;8292;1;100;1;{'type': 'Polygon', 'coordinates': [[[88.8876553092038, 25.809614220936137], [88.88416360723254, 25.808722146977534], [88.88451598728392, 25.808148251775883], [88.88520132989406, 25.806791828163586], [88.88592205745701, 25.805339868158008], [88.88883598954843, 25.805985710078872], [88.8876553092038, 25.809614220936137]]]}
Koya Poshchimpara;14754;Koya Poshchimpara;8292;1;100;1;{'type': 'Polygon', 'coordinates': [[[88.89762615018012, 25.80656669011465], [88.89727694661677, 25.807229269422848], [88.89542941032468, 25.80948973033292], [88.89454363222454, 25.810505560055354], [88.89246060625564, 25.81309867144029], [88.89203482919024, 25.814064661199104], [88.89093802339306, 25.81378406078198], [88.89054376614529, 25.813601864996198], [88.88964833886739, 25.813380003354307], [88.88937881826472, 25.813975234630874], [88.88874678414267, 25.813815108680547], [88.8865071383153, 25.813166215811385], [88.88654186511155, 25.813091681324238], [88.88664289346374, 25.812874842503], [88.88720842670854, 25.81111119408829], [88.88757509068644, 25.80988294112823], [88.8876553092038, 25.809614220936137], [88.88883598954843, 25.805985710078872], [88.89064767090396, 25.80644870771776], [88.89166002498574, 25.80658066531006], [88.8939410475186, 25.80653113982475], [88.89568293264296, 25.806553937714018], [88.89739297006335, 25.80659558655316], [88.89762615018012, 25.80656669011465]]]}
Erbatullah Sarkarpara Purbo Botolgari & Dangapara;14755;Erbatullah Sarkarpara Purbo Botolgari & Dangapara;8292;1;100;1;{'type': 'Polygon', 'coordinates': [[[88.89797135391437, 25.815157316213174], [88.89743590959762, 25.815312004554965], [88.89674578358078, 25.81560947585715], [88.89611515042145, 25.815847454350696], [88.8955559094971, 25.816049736499142], [88.89536552912791, 25.8160973333858], [88.89523464242268, 25.816121132488856], [88.89494907267442, 25.81622822284387], [88.89478249105963, 25.816323412657436], [88.89465160677125, 25.816454296836284], [88.89444932890427, 25.816561385651596], [88.89406856655393, 25.816585189373985], [88.89368780635179, 25.816704179830385], [88.89346172919288, 25.816739879034852], [88.89317615783268, 25.81677557933929], [88.89290248934076, 25.8169897545501], [88.89242654271241, 25.817299120234317], [88.89193870315107, 25.81787024965819], [88.89167693618396, 25.818203408067273], [88.89156985038096, 25.818369986832185], [88.8914389709254, 25.818715041163905], [88.89134379309317, 25.819286163330673], [88.89129621491914, 25.82004765808733], [88.89128432198716, 25.8203094218275], [88.89021311689598, 25.819939018481026], [88.89010753101735, 25.81993821217612], [88.88970701622529, 25.82042493061089], [88.88944048742724, 25.82069764745531], [88.88542009250203, 25.819418534976734], [88.8847837306415, 25.819013469508437], [88.88398905243756, 25.818601212874416], [88.88309477843809, 25.81825388848176], [88.88253644154412, 25.817974843749788], [88.88170674609302, 25.817509199706834], [88.88303917053493, 25.816593395361995], [88.88407012943254, 25.815875010469426], [88.88503781661642, 25.81514657591782], [88.885859109489, 25.814264106336587], [88.88626576830252, 25.81368426784266], [88.88649737547726, 25.813187169873775], [88.8865071383153, 25.813166215811385], [88.88874678414267, 25.813815108680547], [88.88937881826472, 25.813975234630874], [88.88964833886739, 25.813380003354307], [88.89054376614529, 25.813601864996198], [88.89093802339306, 25.81378406078198], [88.89233374239737, 25.8141411317651], [88.89339986212703, 25.814459843208105], [88.89379568044916, 25.814474801865455], [88.89407127780386, 25.81464414041648], [88.89454517393716, 25.814779149252796], [88.8949670563934, 25.814830140424352], [88.89648412699597, 25.81491334071402], [88.89797135391437, 25.815157316213174]]]}
Dangapara Bajar Mahalla;14756;Dangapara Bajar Mahalla;8292;1;100;1;{'type': 'Polygon', 'coordinates': [[[88.89797135391437, 25.815157316213174], [88.89648412699597, 25.81491334071402], [88.8949670563934, 25.814830140424352], [88.89454517393716, 25.814779149252796], [88.89407127780386, 25.81464414041648], [88.89379568044916, 25.814474801865455], [88.89339986212703, 25.814459843208105], [88.89233374239737, 25.8141411317651], [88.89203482919024, 25.814064661199104], [88.89246060625564, 25.81309867144029], [88.89454363222454, 25.810505560055354], [88.89491579323332, 25.810078760524686], [88.89542941032468, 25.80948973033292], [88.89720210207446, 25.807320843931134], [88.89727694661677, 25.807229269422848], [88.89762615018012, 25.80656669011465], [88.89797433611032, 25.80652354105557], [88.89865283887505, 25.806222868936413], [88.89997298798386, 25.805038278786192], [88.90028534222546, 25.804750632067517], [88.90041846352194, 25.804904707108385], [88.90053110552347, 25.8052088117965], [88.90044944009841, 25.806456270951305], [88.9003647670037, 25.807344799553995], [88.90025946385384, 25.808449789844527], [88.90030107692897, 25.808780916225174], [88.9003947055543, 25.809525938512436], [88.89996346079101, 25.810490288888985], [88.89944137288819, 25.811286708271563], [88.89924153616924, 25.811488274392413], [88.8981356575549, 25.812614750123885], [88.8976978194597, 25.81286229301728], [88.89699813161131, 25.812880877162144], [88.89704826623777, 25.813167957401607], [88.89827408822619, 25.813344494962323], [88.89908627121595, 25.81358518491825], [88.89943238080338, 25.813687752633516], [88.9004105927802, 25.814122115385914], [88.90012502169115, 25.814169714032808], [88.89991084364289, 25.814217311359787], [88.8997442612239, 25.814276806148126], [88.89958957710758, 25.81431250403336], [88.89945868986598, 25.814312506453383], [88.89922071548006, 25.81441959592851], [88.89908982984983, 25.814490988398745], [88.89879236072593, 25.81457428229035], [88.89845919884142, 25.81482415362583], [88.89797135391437, 25.815157316213174]]]}
Shingpara;14757;Shingpara;8292;1;100;1;{'type': 'Polygon', 'coordinates': [[[88.90053110552347, 25.8052088117965], [88.90243705452095, 25.804986423725058], [88.90318188856779, 25.80491870046772], [88.90357665184443, 25.80466323916522], [88.90386223044817, 25.804948794081767], [88.90433817975149, 25.804758411818668], [88.90455235887104, 25.804758407859058], [88.9049331303429, 25.805139147747212], [88.90514731107365, 25.80521053383636], [88.90545667070916, 25.804758391140084], [88.90693213868042, 25.80528189088513], [88.9070273374566, 25.80563883936929], [88.90750154238305, 25.805619575696927], [88.90757467120413, 25.805067708857887], [88.90826480445851, 25.80509149277962], [88.9086217755653, 25.805353249690924], [88.90900253683206, 25.80528185260131], [88.90935949612165, 25.80502008248815], [88.91084568048936, 25.805483726445864], [88.91073862208846, 25.80686393603586], [88.91065534041667, 25.807316074552244], [88.91007231633104, 25.808160867581282], [88.90932270633607, 25.808910476960207], [88.90897764857266, 25.8092912302708], [88.9086801826767, 25.80951730426129], [88.90713336705328, 25.811004625562585], [88.90605059490555, 25.81199220793861], [88.905741228019, 25.812123095417633], [88.9052890750513, 25.812253985537048], [88.90493211280419, 25.812384873896054], [88.90457515082534, 25.812527660596757], [88.90436097197248, 25.812539562899136], [88.90407540195947, 25.812634754913], [88.90376603399747, 25.812718049025385], [88.90338527594957, 25.81293222621556], [88.9029688205753, 25.813110709041265], [88.9024095775077, 25.813217804457256], [88.90187413561193, 25.813479577874332], [88.90151717443739, 25.81365805959969], [88.90107692030719, 25.81378894949855], [88.90075565350385, 25.81387224383056], [88.90064856474847, 25.813907940835826], [88.9004105927802, 25.814122115385914], [88.89943238080338, 25.813687752633516], [88.89827408822619, 25.813344494962323], [88.89704826623777, 25.813167957401607], [88.89699813161131, 25.812880877162144], [88.8976978194597, 25.81286229301728], [88.8981356575549, 25.812614750123885], [88.89924153616924, 25.811488274392413], [88.89944137288819, 25.811286708271563], [88.89996346079101, 25.810490288888985], [88.9003947055543, 25.809525938512436], [88.90025946385384, 25.808449789844527], [88.90044944009841, 25.806456270951305], [88.90053110552347, 25.8052088117965]]]}
Agricultural Land;14758;Agricultural Land;8293;2;100;1;{'type': 'Polygon', 'coordinates': [[[88.8941410371345, 25.79519639108258], [88.90195832987494, 25.79945178833516], [88.90136339646334, 25.79983254625757], [88.90129201147514, 25.8001894978207], [88.90169429845363, 25.800412426616592], [88.9040525477242, 25.800427413624213], [88.90429053204032, 25.800760562785346], [88.90390977667664, 25.80109372338449], [88.90286268144052, 25.801212726155057], [88.90224394175972, 25.801212737592156], [88.90200597354877, 25.801593488918048], [88.90188699481193, 25.802021831410652], [88.90202560764996, 25.802144127095858], [88.90170339653142, 25.80216393830898], [88.90167556464287, 25.801843234309732], [88.901672702903, 25.801597036308355], [88.901587873423, 25.80133628462813], [88.90115755389758, 25.801258715978555], [88.90108661941176, 25.801160638334814], [88.90104565707034, 25.801151039086946], [88.90095800159695, 25.801196824961814], [88.90081394784244, 25.80123753962628], [88.90079962607147, 25.801121310440042], [88.90047628733156, 25.801128155526534], [88.90042420576958, 25.801211368757492], [88.90022401088459, 25.801219144430526], [88.9002153780329, 25.801042575354064], [88.89936367571842, 25.801031486308144], [88.89935646002223, 25.800701648354465], [88.89898732992529, 25.8006663400257], [88.89897633833029, 25.800745219002827], [88.89877396255842, 25.80168037829498], [88.89857245748321, 25.801635847026404], [88.89846965930624, 25.801620733300616], [88.89837038927803, 25.801652235037437], [88.89827608767594, 25.80200272846034], [88.8982082563859, 25.802059554557356], [88.89812887979272, 25.80208045559356], [88.89801011317057, 25.802079555542097], [88.89787229669972, 25.80207648020946], [88.89769854775166, 25.802027379764738], [88.89774852986667, 25.801760171726006], [88.89770142121182, 25.801716809569058], [88.8975907495631, 25.80169685719746], [88.89749050230466, 25.801691318796912], [88.89730074170966, 25.801661209839082], [88.8973441636454, 25.801532523999], [88.89730770065178, 25.801479685770765], [88.89725513688705, 25.80145539545765], [88.89701627795084, 25.801596933935144], [88.89678921426463, 25.801604768049216], [88.89662922223714, 25.801780352572695], [88.89648985627763, 25.80215120885985], [88.89622540761879, 25.802063191608088], [88.89625464696185, 25.801898560947834], [88.89589475430894, 25.801856407366696], [88.89548349623438, 25.801803111479288], [88.8954609111516, 25.80210397507776], [88.89518408831857, 25.80206961822894], [88.89503890242719, 25.802042950915745], [88.89504200438847, 25.801708491005556], [88.89436649018147, 25.801689021153095], [88.89439394678546, 25.80157454988344], [88.89445396095519, 25.80136475944314], [88.89440672067863, 25.801335730254742], [88.89420090442891, 25.801329386879036], [88.89416337857209, 25.80139121985221], [88.89401566987041, 25.801380539776257], [88.89402325472273, 25.801132124055925], [88.89393365384953, 25.801117107523634], [88.89392935123055, 25.80101195142864], [88.89357050459296, 25.800999664722493], [88.89357250127422, 25.800784654858234], [88.89332212990136, 25.800744522895695], [88.89336374858762, 25.80052623083122], [88.89365277643212, 25.80052484640019], [88.89365780005598, 25.800410204582832], [88.89384782371258, 25.800411650219058], [88.8938336518732, 25.80023235484222], [88.89317306158564, 25.800169988168918], [88.89322354575688, 25.799952719276725], [88.89334162034984, 25.79956494584707], [88.8934401909295, 25.799608700984457], [88.89391883974507, 25.799651763814865], [88.8939844757544, 25.799404984170078], [88.89432882426931, 25.79941477033336], [88.89428118418782, 25.799002276582524], [88.89423451020798, 25.798912327869495], [88.8942500777826, 25.798514649718943], [88.89488294831749, 25.79857680064075], [88.89489026762145, 25.798641363818007], [88.8951673150076, 25.79865063647368], [88.89517642382401, 25.7980952239095], [88.89434155972903, 25.79804228994045], [88.89379548539559, 25.798013050780266], [88.89379671627113, 25.797880461300664], [88.89337392960114, 25.79779123456532], [88.8934290656404, 25.79711193574139], [88.89349018315264, 25.7964989817612], [88.8935393341265, 25.79653519325526], [88.89362485637463, 25.79656272205846], [88.89378622601218, 25.79659381423626], [88.89381591625803, 25.79659404007606], [88.89381999133742, 25.796510450165293], [88.8940344484659, 25.796509094789336], [88.89409357843996, 25.796181033719435], [88.89409141464662, 25.795703183442235], [88.8941410371345, 25.79519639108258]]]}
Chini Mosque Islambag;14759;Chini Mosque Islambag;8293;2;100;1;{'type': 'Polygon', 'coordinates': [[[88.89102041220238, 25.79528731487441], [88.89102550288084, 25.795276884933795], [88.89171052422675, 25.79387330237602], [88.8922028342403, 25.79290694304602], [88.8932278791288, 25.793370939776946], [88.89435938889287, 25.793739027910803], [88.89463513545645, 25.7938503113699], [88.89442596092547, 25.794321150262643], [88.89457809905016, 25.79447523851036], [88.89475876087816, 25.794560841229924], [88.89472073184716, 25.79476629621653], [88.89476827624148, 25.794869022346806], [88.89472073802293, 25.79504023470808], [88.89488238359853, 25.79515151905357], [88.89479680978721, 25.795237126202824], [88.89386497790852, 25.794920402503912], [88.89377940139536, 25.794886161773217], [88.89374084878439, 25.794978686496265], [88.89412667087639, 25.795188570053266], [88.8941410371345, 25.79519639108258], [88.89409141464662, 25.795703183442235], [88.89409357843996, 25.796181033719435], [88.8940344484659, 25.796509094789336], [88.89381999133742, 25.796510450165293], [88.89381591625803, 25.79659404007606], [88.89378622601218, 25.79659381423626], [88.89362485637463, 25.79656272205846], [88.8935393341265, 25.79653519325526], [88.89349018315264, 25.7964989817612], [88.89343105228312, 25.796471653696223], [88.89323067841075, 25.796377548622605], [88.89312874506214, 25.796340935304904], [88.89304657748347, 25.796307458829325], [88.89300033729914, 25.79631307977847], [88.89294370103578, 25.796372377863594], [88.8928382469242, 25.796359629226583], [88.89276844266506, 25.796415840530017], [88.89267942759037, 25.796409189857265], [88.89237617770848, 25.7963800023923], [88.89189542566409, 25.79628077333658], [88.89206886159508, 25.79572362670324], [88.89204923483472, 25.795705558418913], [88.89200967592352, 25.79570227057799], [88.89164117240006, 25.79559493650723], [88.8913685316372, 25.795467427094838], [88.89102041220238, 25.79528731487441]]]}
