Poor Settlement Name;Poor Settlement-ID (DB);Poor Settlement Name (DB);Mahalla-ID (DB);Mahalla Name (DB);Ward-ID (DB);Ward Name (DB);Similarity (%);verify status;Coordinates
Poschim Abason;18320;Poschim Abason;14750;Abashon;8292;1;100;1;{'type': 'Polygon', 'coordinates': [[[88.88159766713785, 25.81744798149068], [88.8808993158812, 25.817925374731228], [88.88078506027296, 25.817723805877957], [88.88072121601174, 25.81777587564988], [88.88042879421833, 25.817993425707584], [88.88008890351664, 25.81820583107243], [88.87991356613091, 25.818323937663017], [88.87992349519882, 25.818390910520176], [88.87994881238525, 25.818505785062676], [88.87988993187159, 25.818591340864465], [88.87979919612168, 25.818695764355567], [88.87933423259899, 25.818990156094266], [88.87932560342743, 25.818984954810656], [88.87798684059021, 25.818177996144207], [88.8791658146443, 25.816415092037804], [88.87978427830292, 25.81659183912266], [88.88004744813222, 25.816677487626475], [88.88000661862667, 25.816808576563613], [88.88034880772508, 25.81691275208117], [88.88063149474, 25.817028414344964], [88.88074937722419, 25.817124888392442], [88.88159766713785, 25.81744798149068]]]}
Purbo Abason;18321;Purbo Abason;14750;Abashon;8292;1;100;1;{'type': 'Polygon', 'coordinates': [[[88.88323568247615, 25.819878562201474], [88.8832017207521, 25.820121995149766], [88.88318274507354, 25.82045633116651], [88.88329361046715, 25.820457183082297], [88.88318050957089, 25.821191030487988], [88.8831789141668, 25.821190794215358], [88.88294082201534, 25.821155533565147], [88.88270630259458, 25.821016350606683], [88.88202724375535, 25.820613337775434], [88.8799458906526, 25.819358834135617], [88.87948402912838, 25.819080446676413], [88.87947568468283, 25.8190754170291], [88.88011143421168, 25.818616939337797], [88.88125946804642, 25.817803911284447], [88.8817294166916, 25.817521923074487], [88.88173925405633, 25.817527444074045], [88.88253644154412, 25.81797484374979], [88.8830947784381, 25.818253888481774], [88.88398905243757, 25.818601212874416], [88.88449305431693, 25.81886267565534], [88.88442715132261, 25.818936828284667], [88.88425691704722, 25.819074092613345], [88.88404435879671, 25.819220588381913], [88.8838910813381, 25.819238524624772], [88.88389142042087, 25.819350889868755], [88.88392077448563, 25.819579143372234], [88.8838985329529, 25.81971198894723], [88.88386655121693, 25.81976399977183], [88.88377145212607, 25.81982977758766], [88.88340985386722, 25.819884678765142], [88.88323568247615, 25.819878562201474]]]}
Pul Para;18322;Pul Para;14750;Abashon;8292;1;100;1;{'type': 'Polygon', 'coordinates': [[[88.8835833493283, 25.821250688771226], [88.88366038376078, 25.82075625620916], [88.88336523495677, 25.82070142732528], [88.88340837493307, 25.820042351710555], [88.88343584692943, 25.819927883277597], [88.8835999975497, 25.819876582876706], [88.88380061017446, 25.819878123768685], [88.88384338199585, 25.819821112505824], [88.88399124655902, 25.81981746970789], [88.8841393798385, 25.819785158943144], [88.88426648550556, 25.81974312997078], [88.8844572110054, 25.819672919342878], [88.8846536184472, 25.819559747238532], [88.8848924834008, 25.819423009053747], [88.88502513619737, 25.819352352073697], [88.88514095996466, 25.819240858514224], [88.88515898213753, 25.819252330214432], [88.88542009250205, 25.81941853497675], [88.88634337601235, 25.819712295248554], [88.88618528113872, 25.820063660085356], [88.88603737153586, 25.820072083080188], [88.88584722757808, 25.8200801821531], [88.88568303281474, 25.820136263085583], [88.88567650120208, 25.820270005811707], [88.88626760412848, 25.82029365010071], [88.8862071624476, 25.820546437592835], [88.88574884610497, 25.820437801499246], [88.88567073147964, 25.820886364113772], [88.8855795515138, 25.821038571001203], [88.88530592097865, 25.82094090620511], [88.88524060025246, 25.821150650969393], [88.88493498046323, 25.821086188289417], [88.8848090505604, 25.821504050227354], [88.88480380610106, 25.821502563248107], [88.88429054078482, 25.82135703431411], [88.8836895019216, 25.821266409173425], [88.88358733784303, 25.821251279441793], [88.8835833493283, 25.821250688771226]]]}
Tekurpara;18323;Tekurpara;14750;Abashon;8292;1;100;1;{'type': 'Polygon', 'coordinates': [[[88.88876789700956, 25.822818857150587], [88.8889276591664, 25.8224631096233], [88.88911896446255, 25.82221279093253], [88.88931489714653, 25.822029015571726], [88.8894208914999, 25.82192056207345], [88.88940563279341, 25.82186818898627], [88.88929634002949, 25.821767591352007], [88.88897705379833, 25.821670138980984], [88.88891967245439, 25.821631695580056], [88.88901089599203, 25.82141861649047], [88.8891432222939, 25.821300863298195], [88.889248462588, 25.82127316415719], [88.88927083151742, 25.82112606685251], [88.88908774734068, 25.821058159202018], [88.88909908704535, 25.820967984687012], [88.88924560745613, 25.82101661051033], [88.88935574161157, 25.821026953403756], [88.88946835750048, 25.82077128215368], [88.88954730947717, 25.820748132488152], [88.88965228334376, 25.820748934542294], [88.88968510471916, 25.820606667596355], [88.88972268733286, 25.820516693505056], [88.88979581448119, 25.820555256872396], [88.88990515090835, 25.820651103872684], [88.89000941599505, 25.82072790969913], [88.89007240031368, 25.820728390740115], [88.89020401622766, 25.82068664054966], [88.8902946167517, 25.820540064065064], [88.89037956985854, 25.820436199715747], [88.89060473190963, 25.820494925765278], [88.89071958324142, 25.82056231071943], [88.8908762914495, 25.82064426680461], [88.89099123159448, 25.820702151045225], [88.89120810940622, 25.820523283379124], [88.8913028512143, 25.820495502620137], [88.89131802212837, 25.820557376047905], [88.89131749122677, 25.820614379099215], [88.89169870613343, 25.820708020732354], [88.89166703056446, 25.820845073614212], [88.89147304980555, 25.820819841169428], [88.89130540111633, 25.820785308168343], [88.89120576434982, 25.82077504684401], [88.89113126484477, 25.82088374203671], [88.89105014463922, 25.821139654994102], [88.89096995346566, 25.821295812568398], [88.8908749896393, 25.821347344349324], [88.8907431518648, 25.821412846391805], [88.89056403112957, 25.82148273794899], [88.89041653541136, 25.821538618970955], [88.89026286082272, 25.82169421504799], [88.89012546356084, 25.821792928184333], [88.8900357034326, 25.82184924972493], [88.88995061607855, 25.82196736456421], [88.88989795139743, 25.82198596464113], [88.88997032641595, 25.822105282213567], [88.88991553522959, 25.822351894340677], [88.8898441999872, 25.822683890653046], [88.89002239269696, 25.822713755335172], [88.89017434159294, 25.822743419379794], [88.89023132527811, 25.822824614570152], [88.89034119550469, 25.822863458278988], [88.8904780625116, 25.82282174800533], [88.89052102691639, 25.822717563056454], [88.8905857390259, 25.822532784091052], [88.89097952986604, 25.82252153802615], [88.89119949162802, 25.822575472968243], [88.89131559856631, 25.82259771959144], [88.89131463909794, 25.822600070335156], [88.89122488445535, 25.822819973058852], [88.89101071150672, 25.823093638881566], [88.89095848920508, 25.823139122943076], [88.89077867506944, 25.823126894690517], [88.89032428721985, 25.82316165222255], [88.88984922705089, 25.823148467236766], [88.88876789700956, 25.822818857150587]]]}
Hajibari;18324;Haji Para;14753;Khalifapara;8292;1;27;0;{'type': 'Polygon', 'coordinates': [[[88.885922057457, 25.805339868158004], [88.88633145307476, 25.804515091573688], [88.88641060604452, 25.804513784063662], [88.88639848037398, 25.80510500889812], [88.88680807652293, 25.80505438936026], [88.8869159929843, 25.80480435349289], [88.88702927962164, 25.8046857625889], [88.88717605946424, 25.804513671776714], [88.88728940134959, 25.804389108167154], [88.88758838614618, 25.80417039838214], [88.887833914938, 25.8040229539691], [88.88797097247594, 25.804185270810805], [88.88836277660388, 25.803919485977882], [88.88826597694406, 25.80368580240407], [88.88857122208947, 25.803502975813323], [88.8885585828934, 25.803443150100247], [88.88830924464176, 25.803291921194788], [88.88810122415651, 25.80295584764288], [88.88799648962576, 25.802865453047673], [88.88786569713265, 25.80273902161626], [88.88786021405514, 25.80261952148523], [88.8880195731506, 25.802513227903326], [88.88813900867845, 25.802442466321093], [88.88818414216315, 25.802290847467344], [88.88838946527513, 25.802247064394777], [88.88851426311174, 25.802241712059615], [88.88852020912854, 25.80238616267234], [88.8885380413889, 25.802562712986926], [88.88859746862562, 25.80254666184153], [88.8886628416381, 25.8026643609331], [88.88906100461917, 25.802578753372018], [88.88919175257412, 25.80289975141058], [88.88975036946833, 25.802787391031305], [88.88970435779838, 25.80299198973819], [88.88950095650986, 25.803575781713935], [88.88941195041633, 25.80392153072001], [88.88933814487571, 25.804052370985776], [88.88923251742288, 25.80405753699084], [88.88902215368556, 25.803972309018416], [88.88883968727, 25.80372602537763], [88.88852717501803, 25.80398047188474], [88.88857252680053, 25.804070412205437], [88.88855184052954, 25.804165820626846], [88.88843850014686, 25.804290385274843], [88.88850375817695, 25.804368531979378], [88.88841653192141, 25.804523160775865], [88.88823782152622, 25.80458152346902], [88.88817782399462, 25.804646766680467], [88.88819483166834, 25.804945542155817], [88.88828913375599, 25.805864510282714], [88.88828801337056, 25.80586426196906], [88.88787074224126, 25.80577178051508], [88.885922057457, 25.805339868158004]]]}
Golahat Paschim Para;18322;Pul Para;14750;Abashon;8292;1;23;0;{'type': 'Polygon', 'coordinates': [[[88.88883598954844, 25.805985710078872], [88.8894501478467, 25.8040711452425], [88.8896132930769, 25.803558720916385], [88.88969912545528, 25.80355340346466], [88.88974625916273, 25.803452223886453], [88.88978673893054, 25.803356966394738], [88.89006347374016, 25.803400889541518], [88.89019009635717, 25.80397525561413], [88.89036126099849, 25.804018372382032], [88.89073752730768, 25.804003324730044], [88.89098344126411, 25.803814067435457], [88.89105780083469, 25.80362350137713], [88.89132821651988, 25.803637509379755], [88.89132988398985, 25.803458334693943], [88.89145502762209, 25.80348318051099], [88.89150375640035, 25.80391957469795], [88.89108113595661, 25.803952189555684], [88.89106638278245, 25.80411931858919], [88.89128384688014, 25.80415084157277], [88.891341063333, 25.804384221460715], [88.89180316369712, 25.80436385262986], [88.89182018047025, 25.80466262798935], [88.89166137733332, 25.80470920083158], [88.89133135233601, 25.80471863051645], [88.89132468199617, 25.80543532911001], [88.89170073049361, 25.805444169064963], [88.89189373526153, 25.805977229380808], [88.8919514536723, 25.806156856641852], [88.89222237516498, 25.80611711076623], [88.8923580424704, 25.806565513786133], [88.89235526475578, 25.80656557408729], [88.89166002498575, 25.80658066531006], [88.89064767090396, 25.80644870771776], [88.88883598954844, 25.805985710078872]]]}
Koya Golahat Purbopara;18322;Pul Para;14750;Abashon;8292;1;19;0;{'type': 'Polygon', 'coordinates': [[[88.89379394319548, 25.802422870574333], [88.89373928446382, 25.803363200928253], [88.89356739826734, 25.80339773054944], [88.89354266955756, 25.803218354883008], [88.89327214342875, 25.80321629600892], [88.89329138319046, 25.80327617161273], [88.89328977416757, 25.80344937392855], [88.89320255473147, 25.80360400584151], [88.89279346517351, 25.80360089122732], [88.89259557415635, 25.803593411250816], [88.89258371018761, 25.803449970932224], [88.89224692385525, 25.803477270034268], [88.89175793406902, 25.803551191642374], [88.89174829354313, 25.80316885166434], [88.89170366194902, 25.803001269877036], [88.89153199806859, 25.803011907129413], [88.89138074007649, 25.802956997712663], [88.89129601981269, 25.802842866374565], [88.89114431743265, 25.80283573663966], [88.89099882406839, 25.802870464498202], [88.89095812303931, 25.802989612327796], [88.89096299763541, 25.803174809818994], [88.89079161151484, 25.8031555837424], [88.89078618110327, 25.803030111142494], [88.890680610193, 25.80302930574359], [88.89048948542202, 25.80300395580977], [88.89042943428962, 25.80307517251899], [88.89034287907312, 25.803158132757055], [88.89016478363973, 25.803150800565145], [88.8900730211056, 25.803084398086867], [88.88992786107414, 25.80308328992957], [88.88976994996015, 25.803034300971387], [88.89009229639053, 25.801974681800043], [88.89009366779935, 25.80197494446079], [88.8902852003638, 25.802011627832076], [88.89064176547268, 25.80199022108167], [88.89121227041876, 25.801990210542268], [88.89200860446134, 25.80217744712994], [88.89313496203559, 25.802465257740803], [88.89378238615164, 25.802423613975748], [88.89379394319548, 25.802422870574333]]]}
Asmtullah Sah Fokir Para;18322;Pul Para;14750;Abashon;8292;1;19;0;{'type': 'Polygon', 'coordinates': [[[88.89379394319548, 25.802422870574333], [88.89393366780035, 25.802413882781362], [88.89485598856807, 25.80261074639381], [88.89512222864934, 25.802807621801435], [88.89535473520347, 25.803218478864334], [88.89537896610706, 25.80326129656643], [88.89568324448548, 25.803663609055576], [88.89634884015251, 25.803954634538368], [88.89647532743265, 25.803977990122], [88.89649173571176, 25.803981019864104], [88.8964032051692, 25.804285355482275], [88.89642843632404, 25.804410978292484], [88.89644041564225, 25.804542473435212], [88.89634693307889, 25.804661222245244], [88.89632619753509, 25.804762604464514], [88.89647690699755, 25.804877233860523], [88.89654460501205, 25.804692587176252], [88.89659272925915, 25.80448390023008], [88.89660697688929, 25.804370522887776], [88.89679871387632, 25.804330167389303], [88.89685072571085, 25.80441418289647], [88.89711449073052, 25.804434102652912], [88.89740453839985, 25.804466167087288], [88.89752280990932, 25.804520820222088], [88.89748089861492, 25.804771365069094], [88.89766465601582, 25.80488027093835], [88.89794051377548, 25.805019739317544], [88.89784255619837, 25.805622261718256], [88.8976121531597, 25.80656842468196], [88.89739297006334, 25.80659558655316], [88.89667884742505, 25.806578196177338], [88.8966810977081, 25.806342148519025], [88.89674175542459, 25.806205231709], [88.89667947817136, 25.805804573600128], [88.8969106969322, 25.805776463464074], [88.89686583594096, 25.805632773047034], [88.89679469235115, 25.805476937353994], [88.89675737026934, 25.805231764487697], [88.89665828487311, 25.80524295843083], [88.89647913438958, 25.805349111335264], [88.89616213817447, 25.805376569596135], [88.89612492811612, 25.805119451611766], [88.89576845332834, 25.805134663452538], [88.89573911585533, 25.80474022806256], [88.89563359862214, 25.804733453712803], [88.89554865149462, 25.804643214694423], [88.89551072305984, 25.80446373904301], [88.89543076849044, 25.804546752501043], [88.89528072511975, 25.804360452100006], [88.89523009914767, 25.804127123645284], [88.89511072126477, 25.804191918623445], [88.89508238938146, 25.804400755435296], [88.89484418686173, 25.804470620059686], [88.89481391057913, 25.804177716987244], [88.89491360465355, 25.804100826817013], [88.89492180960342, 25.803927674570602], [88.8949568506527, 25.803706942936063], [88.89505643344121, 25.803641997641105], [88.89521578783462, 25.80353569601975], [88.89521722790288, 25.803380411085705], [88.89490101240413, 25.803324251807116], [88.89462372145381, 25.803340062779938], [88.89418823977864, 25.803336751470802], [88.89421258021424, 25.802847157363427], [88.8937739817061, 25.802766283623715], [88.89379394319548, 25.802422870574333]]]}
Babunal Road Dangapara;18328;Dangapara;14757;Shingpara;8292;1;43;0;{'type': 'Polygon', 'coordinates': [[[88.89997298798387, 25.805038278786192], [88.89889775994438, 25.806003100248986], [88.89888783246755, 25.80601200823942], [88.89834209692756, 25.805835099904915], [88.89843883714428, 25.805363972162287], [88.89807032526076, 25.805253667109866], [88.89812377478299, 25.80518239714584], [88.8991493041036, 25.80560229719901], [88.89928875232596, 25.80550778623373], [88.89933703774268, 25.805281180743115], [88.8992129389547, 25.805142864024212], [88.8992080515611, 25.804957666437094], [88.89922340057979, 25.80472483867727], [88.89821557412718, 25.804532044440506], [88.89833787613026, 25.80387063622352], [88.89834549050995, 25.803870140567287], [88.89902070207725, 25.80382618622615], [88.89937251326587, 25.803817619790035], [88.89966727608432, 25.803903213652593], [88.89979088684053, 25.803963130848448], [88.89996204682082, 25.80433976372652], [88.90011418630046, 25.804553758132084], [88.90028534222547, 25.804750632067517], [88.89997298798387, 25.805038278786192]]]}
Haji Para;18324;Haji Para;14753;Khalifapara;8292;1;100;1;{'type': 'Polygon', 'coordinates': [[[88.88854754397242, 25.806872194604576], [88.88731785189306, 25.80683086793245], [88.88692664753547, 25.80682233953601], [88.88690892792445, 25.80675579740664], [88.88698327079979, 25.8066512229865], [88.88707004707118, 25.806524608210218], [88.88714475153982, 25.806381299355145], [88.88690576198394, 25.806440342440066], [88.8867162479669, 25.806438891390382], [88.88667433371353, 25.806344494603582], [88.8865404607192, 25.806277062928682], [88.88649129530886, 25.80630435574709], [88.88647062745963, 25.806553221694898], [88.88646296220297, 25.806719179142217], [88.8864797504258, 25.806885323877722], [88.88650855854353, 25.807073696154955], [88.88632500171938, 25.807088891809393], [88.88632619167463, 25.8069616218818], [88.88630266943427, 25.806861832009712], [88.88614988678405, 25.80685512770105], [88.88591788906646, 25.806820146879762], [88.88580774483239, 25.806830370554273], [88.8857386342158, 25.807029060245785], [88.88597052876617, 25.807075108312684], [88.88602420370572, 25.807219400238267], [88.88604720826109, 25.80737452488873], [88.88617481352561, 25.807458510626685], [88.88625905593939, 25.807603036652516], [88.8861541447196, 25.807707376462655], [88.88603804151194, 25.80770095302389], [88.88603368766564, 25.80751276806095], [88.88600368990687, 25.807451665629266], [88.88586852211336, 25.80752257016636], [88.88571403035233, 25.80769847000112], [88.88558808609285, 25.80809040941174], [88.8854915690974, 25.808604319395926], [88.88541199050364, 25.808614777045307], [88.88521604890565, 25.808646477887358], [88.8852176026726, 25.808480473731553], [88.88525583711589, 25.80831475083613], [88.88517688022287, 25.808258806698657], [88.88506046577002, 25.808285583294552], [88.88493731616434, 25.80837871456347], [88.88479090421414, 25.80834438829985], [88.88486499091437, 25.808267482436275], [88.88492374186629, 25.807869494501677], [88.88477701967463, 25.80786836907219], [88.88466716669178, 25.807849042004822], [88.88520132989407, 25.80679182816359], [88.885922057457, 25.805339868158004], [88.88883598954844, 25.805985710078872], [88.88854754397242, 25.806872194604576]]]}
