City;Ward;Poverty Index (Score);Poverty Index (Quantile);Infrastructure Index (Score);Infrastructure Index (Quantile);Livelihood Index (Score);Livelihood Index (Quantile);Land Tenure and Housing Index (Score);Land Tenure and Housing Index (Quantile);Total Population
Barisal;1;40;1;31;1;35;1;51;1;16090
Barisal;2;45;1;33;1;33;1;58;2;12285
Barisal;3;51;1;25;1;41;1;65;3;36447
Barisal;4;59;3;50;3;57;3;63;2;11569
Barisal;5;55;2;40;2;41;1;51;1;32262
Barisal;6;41;1;27;1;33;1;49;1;21145
Barisal;7;44;1;27;1;43;1;47;1;12415
Barisal;8;60;3;43;2;57;3;63;2;1800
Barisal;9;67;4;53;3;55;2;63;2;16017
Barisal;10;48;1;43;2;49;2;38;1;9890
Barisal;11;70;4;59;4;63;4;64;3;11871
Barisal;12;58;3;55;4;62;4;48;1;3323
Barisal;13;60;3;52;3;57;3;55;2;5484
Barisal;14;72;4;60;4;60;3;67;3;5345
Barisal;15;58;3;48;3;55;2;57;2;8660
Barisal;16;59;3;67;4;61;3;51;1;1138
Barisal;17;54;2;49;3;58;3;50;1;2781
Barisal;18;67;4;52;3;63;4;72;3;2390
Barisal;19;56;2;49;3;59;3;61;2;5329
Barisal;20;75;4;67;4;74;4;78;4;2145
Barisal;21;60;3;53;3;65;4;63;2;3059
Barisal;22;55;2;41;2;50;2;70;3;10178
Barisal;23;71;4;54;4;65;4;78;4;18153
Barisal;24;50;1;28;1;34;1;61;2;44698
Barisal;25;54;2;39;1;47;1;70;3;12372
Barisal;26;56;2;40;2;62;4;76;4;13332
Barisal;27;51;1;37;1;52;2;79;4;11818
Barisal;28;62;4;53;3;61;3;75;4;9426
Barisal;29;58;3;43;2;54;2;72;3;18042
Barisal;30;58;3;45;2;54;2;75;4;9175
Chittagong city corporation;1;46;1;33;1;51;2;63;4;50209
Chittagong city corporation;2;46;1;33;1;48;1;51;2;99081
Chittagong city corporation;3;61;3;40;1;62;3;80;4;43484
Chittagong city corporation;4;42;1;37;1;49;1;32;1;98665
Chittagong city corporation;5;47;2;32;1;47;1;65;4;116605
Chittagong city corporation;6;60;3;64;3;77;4;62;3;5664
Chittagong city corporation;7;42;1;39;1;42;1;37;1;110635
Chittagong city corporation;8;47;2;43;2;50;1;49;2;83311
Chittagong city corporation;9;49;2;51;2;57;2;39;1;25003
Chittagong city corporation;10;86;4;83;4;84;4;82;4;6945
Chittagong city corporation;11;62;3;64;3;59;3;49;2;49505
Chittagong city corporation;12;66;4;74;4;64;4;52;3;16608
Chittagong city corporation;13;48;2;51;2;56;2;44;1;39755
Chittagong city corporation;14;60;3;56;3;62;3;57;3;19720
Chittagong city corporation;15;81;4;83;4;88;4;74;4;7387
Chittagong city corporation;16;51;2;49;2;57;2;46;2;6955
Chittagong city corporation;17;47;2;54;3;52;2;23;1;48650
Chittagong city corporation;18;46;1;40;1;63;3;50;2;13632
Chittagong city corporation;19;44;1;43;2;52;2;37;1;26820
Chittagong city corporation;20;66;4;67;4;73;4;62;3;4275
Chittagong city corporation;21;73;4;76;4;71;4;56;3;5655
Chittagong city corporation;22;53;2;56;3;61;3;49;2;10740
Chittagong city corporation;23;58;3;54;3;61;3;63;4;8911
Chittagong city corporation;24;63;4;70;4;74;4;55;3;14766
Chittagong city corporation;25;62;3;58;3;67;4;55;3;36498
Chittagong city corporation;26;56;3;50;2;33;1;59;3;46854
Chittagong city corporation;27;53;2;54;3;59;3;43;1;31671
Chittagong city corporation;28;58;3;49;2;40;1;47;2;120162
Chittagong city corporation;29;43;1;45;2;48;1;27;1;8845
Chittagong city corporation;30;49;2;48;2;55;2;43;1;28515
Chittagong city corporation;31;79;4;79;4;76;4;72;4;3074
Chittagong city corporation;32;69;4;70;4;61;3;56;3;3796
Chittagong city corporation;33;67;4;65;4;68;4;54;3;8465
Chittagong city corporation;34;39;1;34;1;40;1;44;1;25105
Chittagong city corporation;35;44;1;41;2;56;2;45;2;55928
Chittagong city corporation;36;59;3;55;3;51;2;50;2;23244
Chittagong city corporation;37;47;2;38;1;43;1;49;2;8762
Chittagong city corporation;38;51;2;44;2;51;2;51;2;14900
Chittagong city corporation;39;57;3;53;3;54;2;53;3;24920
Chittagong city corporation;40;58;3;39;1;60;3;71;4;48661
Chittagong city corporation;41;53;2;32;1;51;2;63;4;123725
Chandpur;1;45;1;27;1;33;1;52;1;19350
Chandpur;2;55;2;40;2;37;1;68;1;12230
Chandpur;3;71;4;44;3;75;4;78;3;10751
Chandpur;4;66;3;53;4;55;2;76;3;8719
Chandpur;5;57;2;34;2;54;2;75;3;13152
Chandpur;6;27;1;19;1;28;1;38;1;4387
Chandpur;7;32;1;15;1;33;1;35;1;39465
Chandpur;8;70;4;54;4;64;3;74;2;9933
Chandpur;9;51;1;25;1;43;2;73;2;10337
Chandpur;10;71;4;60;4;67;4;74;2;3096
Chandpur;11;65;3;42;3;65;3;78;3;12302
Chandpur;12;60;2;39;2;54;2;73;2;12622
Chandpur;13;64;2;39;2;74;4;85;4;10990
Chandpur;14;64;2;42;3;77;4;80;4;10475
Chandpur;15;70;4;53;4;66;3;80;4;8329
Cumilla;1;65;3;58;4;67;4;71;3;2380
Cumilla;2;43;1;51;3;50;2;22;1;1327
Cumilla;3;47;1;46;2;54;2;35;1;3440
Cumilla;4;55;2;47;2;61;3;60;2;2962
Cumilla;5;76;4;78;4;56;2;84;4;1330
Cumilla;6;65;3;57;4;59;3;72;3;4242
Cumilla;7;50;2;52;3;58;3;31;1;2136
Cumilla;8;55;2;54;3;54;2;50;2;2311
Cumilla;9;46;1;38;1;53;2;43;1;348
Cumilla;10;49;2;53;3;54;2;36;1;477
Cumilla;11;68;4;53;3;70;4;67;3;434
Cumilla;12;75;4;78;4;66;4;81;4;2372
Cumilla;13;82;4;83;4;75;4;91;4;874
Cumilla;14;;4;;4;;4;;4;
Cumilla;15;44;1;46;2;49;1;36;1;3525
Cumilla;16;49;2;45;2;49;1;67;2;10870
Cumilla;17;80;4;72;4;82;4;82;4;12442
Cumilla;18;43;1;31;1;47;1;65;2;4140
Cumilla;19;48;2;33;1;47;1;59;2;1185
Cumilla;20;65;4;46;2;74;4;78;3;5966
Cumilla;21;56;3;44;2;60;3;68;3;4697
Cumilla;22;46;1;36;1;44;1;49;1;6796
Cumilla;23;47;2;26;1;47;1;60;2;1990
Cumilla;24;64;3;53;3;62;3;74;3;4049
Cumilla;25;63;3;47;2;65;3;83;4;2558
Cumilla;26;46;1;33;1;38;1;63;2;2546
Cumilla;27;55;3;38;1;56;2;79;4;6387
DNCC;1;50;3;52;3;53;3;38;3;14700
DNCC;2;33;1;27;1;43;1;25;2;26678
DNCC;3;39;2;46;2;56;3;40;3;8132
DNCC;4;45;3;47;3;76;4;52;3;97
DNCC;5;24;1;24;1;21;1;24;2;84160
DNCC;6;35;2;40;2;51;3;28;2;82909
DNCC;7;76;4;74;4;77;4;67;4;27384
DNCC;8;37;2;44;2;52;2;31;2;7990
DNCC;9;49;3;52;3;63;4;46;3;7044
DNCC;10;51;3;45;2;58;3;58;4;6630
DNCC;11;55;4;51;3;50;2;51;4;16589
DNCC;12;56;4;64;4;68;4;56;4;6890
DNCC;13;34;1;42;2;52;2;16;1;3860
DNCC;14;38;2;48;3;62;4;22;1;12700
DNCC;15;37;2;45;2;66;4;29;2;20485
DNCC;16;37;2;45;3;54;3;21;1;29178
DNCC;17;54;3;61;4;63;4;57;4;4684
DNCC;18;39;2;47;2;57;3;21;1;6875
DNCC;19;36;2;37;1;43;1;15;1;123957
DNCC;20;30;1;30;1;38;1;15;1;38200
DNCC;21;80;4;84;4;66;4;70;4;4080
DNCC;22;28;1;32;1;40;1;8;1;4720
DNCC;23;57;4;58;4;48;2;56;4;7388
DNCC;24;46;3;49;3;54;3;37;2;5282
DNCC;26;25;1;28;1;33;1;13;1;2884
DNCC;27;56;4;55;4;45;2;41;3;4730
DNCC;28;31;1;25;1;39;1;28;2;20669
DNCC;29;36;2;36;1;43;1;24;2;6764
DNCC;30;39;3;41;2;43;2;30;2;10685
DNCC;31;30;1;26;1;39;1;14;1;2500
DNCC;32;58;4;48;2;49;2;46;4;24859
DNCC;33;56;4;55;3;45;2;48;3;9400
DNCC;34;62;4;60;4;46;2;51;3;5410
DNCC;35;53;3;56;3;54;3;49;3;6998
DNCC;36;50;3;52;3;50;2;40;3;18344
Faridpur;1;;2;;2;;3;;3;5996
Faridpur;2;;1;;2;;2;;1;3678
Faridpur;3;;4;;4;;4;;4;3576
Faridpur;4;;2;;1;;1;;2;5468
Faridpur;5;;3;;3;;4;;3;3810
Faridpur;6;;4;;4;;3;;4;3486
Faridpur;7;;3;;3;;1;;2;7269
Faridpur;8;;2;;2;;2;;2;8570
Faridpur;9;;1;;1;;2;;1;7048
Gazipur;1;;;;;;;;;1570
Gazipur;2;;;;;;;;;2010
Gazipur;3;;;;;;;;;9295
Gazipur;4;;;;;;;;;27000
Gazipur;5;;;;;;;;;5250
Gazipur;6;;;;;;;;;6855
Gazipur;7;;;;;;;;;6824
Gazipur;8;;;;;;;;;2000
Gazipur;9;;;;;;;;;8850
Gazipur;10;;;;;;;;;2200
Gazipur;11;;;;;;;;;790
Gazipur;12;;;;;;;;;3664
Gazipur;13;;;;;;;;;3070
Gazipur;14;;;;;;;;;475
Gazipur;15;;;;;;;;;3053
Gazipur;16;;;;;;;;;2623
Gazipur;17;;;;;;;;;2336
Gazipur;18;;;;;;;;;1800
Gazipur;19;;;;;;;;;730
Gazipur;20;;;;;;;;;455
Gazipur;21;;;;;;;;;174
Gazipur;22;;;;;;;;;3590
Gazipur;23;;;;;;;;;10330
Gazipur;24;;;;;;;;;14450
Gazipur;25;;;;;;;;;5910
Gazipur;26;;;;;;;;;1526
Gazipur;27;;;;;;;;;1390
Gazipur;28;;;;;;;;;1730
Gazipur;29;;;;;;;;;2905
Gazipur;30;;;;;;;;;865
Gazipur;31;;;;;;;;;198
Gazipur;32;;;;;;;;;1476
Gazipur;33;;;;;;;;;1452
Gazipur;34;;;;;;;;;3012
Gazipur;35;;;;;;;;;5105
Gazipur;36;;;;;;;;;3030
Gazipur;37;;;;;;;;;83
Gazipur;38;;;;;;;;;2040
Gazipur;39;;;;;;;;;7391
Gazipur;40;;;;;;;;;421
Gazipur;41;;;;;;;;;161
Gazipur;42;;;;;;;;;1500
Gazipur;43;;;;;;;;;1160
Gazipur;44;;;;;;;;;7048
Gazipur;45;;;;;;;;;13340
Gazipur;46;;;;;;;;;8949
Gazipur;47;;;;;;;;;27675
Gazipur;48;;;;;;;;;16850
Gazipur;49;;;;;;;;;12297
Gazipur;50;;;;;;;;;1160
Gazipur;51;;;;;;;;;9141
Gazipur;52;;;;;;;;;1576
Gazipur;53;;;;;;;;;4235
Gazipur;54;;;;;;;;;2426
Gazipur;55;;;;;;;;;68225
Gazipur;56;;;;;;;;;9275
Gazipur;57;;;;;;;;;11150
Gopalganj;1;42;2;34;2;44;3;52;3;2419
Gopalganj;2;41;2;32;2;45;2;33;1;475
Gopalganj;3;46;3;41;3;46;3;52;4;1563
Gopalganj;4;23;1;31;1;34;1;35;1;1269
Gopalganj;5;45;3;39;2;40;2;41;2;2021
Gopalganj;6;54;4;53;4;63;4;52;4;1534
Gopalganj;7;56;4;56;4;56;4;51;3;533
Gopalganj;8;39;2;26;1;35;1;45;2;5450
Gopalganj;9;37;1;34;2;40;2;43;2;2757
Khulna;1;65;4;41;3;66;4;76;4;21813
Khulna;2;53;3;38;2;55;2;55;3;21065
Khulna;3;71;4;50;4;70;4;79;4;16434
Khulna;4;66;4;44;3;58;3;76;4;18124
Khulna;5;59;3;47;3;65;3;56;3;13402
Khulna;6;38;2;27;1;34;1;32;2;76019
Khulna;7;31;1;33;1;33;1;27;1;12582
Khulna;8;34;1;28;1;41;2;28;2;10946
Khulna;9;21;1;19;1;24;1;21;1;51704
Khulna;10;46;2;37;2;29;1;44;3;43128
Khulna;11;30;1;26;1;25;1;27;1;38340
Khulna;12;42;2;41;3;52;2;27;1;22793
Khulna;13;18;1;20;1;15;1;20;1;69234
Khulna;14;74;4;60;4;76;4;76;4;9222
Khulna;15;27;1;21;1;26;1;29;2;59150
Khulna;16;58;3;38;2;47;2;62;4;61500
Khulna;17;48;3;50;4;66;4;29;2;28350
Khulna;18;36;1;31;1;54;2;17;1;51378
Khulna;19;42;2;37;2;66;4;33;2;16992
Khulna;20;78;4;59;4;75;4;81;4;5199
Khulna;21;35;1;35;2;39;1;34;2;18556
Khulna;22;46;2;40;2;53;2;40;3;15736
Khulna;23;57;3;58;4;64;3;38;2;1017
Khulna;24;41;2;39;2;57;3;18;1;44587
Khulna;25;58;3;58;4;66;4;43;3;12916
Khulna;26;45;2;45;3;65;3;32;2;13114
Khulna;27;60;4;46;3;52;2;58;3;23054
Khulna;28;72;4;72;4;65;3;59;4;8085
Khulna;29;48;3;48;4;61;3;46;3;6429
Khulna;30;37;2;38;2;44;2;18;1;62148
Khulna;31;62;4;44;3;70;4;61;4;44209
Kushtia;1;55;2;50;3;64;2;47;1;1809
Kushtia;2;64;4;55;3;68;3;52;1;5615
Kushtia;3;45;1;42;2;51;1;44;1;9587
Kushtia;5;60;3;61;4;68;3;56;2;2337
