City;Ward;Poverty Index (Score);Infrastructure Index (Score);Livelihood Index (Score);Land Tenure and Housing Index (Score);Total Population
Barisal;1;40;31;35;51;16090
Barisal;2;45;33;33;58;12285
Barisal;3;51;25;41;65;36447
Barisal;4;59;50;57;63;11569
Barisal;5;55;40;41;51;32262
Barisal;6;41;27;33;49;21145
Barisal;7;44;27;43;47;12415
Barisal;8;60;43;57;63;1800
Barisal;9;67;53;55;63;16017
Barisal;10;48;43;49;38;9890
Barisal;11;70;59;63;64;11871
Barisal;12;58;55;62;48;3323
Barisal;13;60;52;57;55;5484
Barisal;14;72;60;60;67;5345
Barisal;15;58;48;55;57;8660
Barisal;16;59;67;61;51;1138
Barisal;17;54;49;58;50;2781
Barisal;18;67;52;63;72;2390
Barisal;19;56;49;59;61;5329
Barisal;20;75;67;74;78;2145
Barisal;21;60;53;65;63;3059
Barisal;22;55;41;50;70;10178
Barisal;23;71;54;65;78;18153
Barisal;24;50;28;34;61;44698
Barisal;25;54;39;47;70;12372
Barisal;26;56;40;62;76;13332
Barisal;27;51;37;52;79;11818
Barisal;28;62;53;61;75;9426
Barisal;29;58;43;54;72;18042
Barisal;30;58;45;54;75;9175
Chittagong city corporation;1;46;33;51;63;50209
Chittagong city corporation;2;46;33;48;51;99081
Chittagong city corporation;3;61;40;62;80;43484
Chittagong city corporation;4;42;37;49;32;98665
Chittagong city corporation;5;47;32;47;65;116605
Chittagong city corporation;6;60;64;77;62;5664
Chittagong city corporation;7;42;39;42;37;110635
Chittagong city corporation;8;47;43;50;49;83311
Chittagong city corporation;9;49;51;57;39;25003
Chittagong city corporation;10;86;83;84;82;6945
Chittagong city corporation;11;62;64;59;49;49505
Chittagong city corporation;12;66;74;64;52;16608
Chittagong city corporation;13;48;51;56;44;39755
Chittagong city corporation;14;60;56;62;57;19720
Chittagong city corporation;15;81;83;88;74;7387
Chittagong city corporation;16;51;49;57;46;6955
Chittagong city corporation;17;47;54;52;23;48650
Chittagong city corporation;18;46;40;63;50;13632
Chittagong city corporation;19;44;43;52;37;26820
Chittagong city corporation;20;66;67;73;62;4275
Chittagong city corporation;21;73;76;71;56;5655
Chittagong city corporation;22;53;56;61;49;10740
Chittagong city corporation;23;58;54;61;63;8911
Chittagong city corporation;24;63;70;74;55;14766
Chittagong city corporation;25;62;58;67;55;36498
Chittagong city corporation;26;56;50;33;59;46854
Chittagong city corporation;27;53;54;59;43;31671
Chittagong city corporation;28;58;49;40;47;120162
Chittagong city corporation;29;43;45;48;27;8845
Chittagong city corporation;30;49;48;55;43;28515
Chittagong city corporation;31;79;79;76;72;3074
Chittagong city corporation;32;69;70;61;56;3796
Chittagong city corporation;33;67;65;68;54;8465
Chittagong city corporation;34;39;34;40;44;25105
Chittagong city corporation;35;44;41;56;45;55928
Chittagong city corporation;36;59;55;51;50;23244
Chittagong city corporation;37;47;38;43;49;8762
Chittagong city corporation;38;51;44;51;51;14900
Chittagong city corporation;39;57;53;54;53;24920
Chittagong city corporation;40;58;39;60;71;48661
Chittagong city corporation;41;53;32;51;63;123725
Chandpur;1;45;27;33;52;19350
Chandpur;2;55;40;37;68;12230
Chandpur;3;71;44;75;78;10751
Chandpur;4;66;53;55;76;8719
Chandpur;5;57;34;54;75;13152
Chandpur;6;27;19;28;38;4387
Chandpur;7;32;15;33;35;39465
